indicator_id,progress,summary,developments,row_ids
gov.policy--digital-transformation-strategy,No change,"The President [reaffirmed a fully digitalised electronic-government target for 2030](2026-08-04-president-herminie-receives-credentials-from-maltas-first-high-commissioner-to-seychelles) while receiving a foreign envoy's credentials, exploring bilateral technical cooperation.","The restatement came in August 2026 at a credentials ceremony ([target](2026-08-04-president-herminie-receives-credentials-from-maltas-first-high-commissioner-to-seychelles)).

No strategy document, delivery plan, milestone set or budget for the target is held at any date. What the base can show against it is a relaunched portal, an electronic case management system, a certificate of origin, a business one-stop portal in pilot, and an invoicing system at procurement — five services, no plan.",SYC-gov.policy-egov-2030-target
gov.policy--ai-strategy,Advanced,"A [national science, technology and innovation institute](2025-12-23-gazette-nisti-act) was established by Act with an artificial-intelligence strategy mandate, and the body was [reinstated under the Vice-President](2026-08-10-seychelles-nisti-reinstatement-digitalisation-priority) while no commencement notice for the Act is on record.","The Act was assented in December 2025, establishing a body corporate with an artificial-intelligence strategy mandate, a science academy, an open-access scientific-data repository and incubation centres ([Act](2025-12-23-gazette-nisti-act)).

The institute was reinstated with its secretariat under the Office of the Vice-President and is described as functioning; no commencement notice for the Act is cited anywhere ([reinstatement](2026-08-10-seychelles-nisti-reinstatement-digitalisation-priority)).

A body operating under a statute whose commencement cannot be evidenced is worth stating plainly. No artificial-intelligence strategy has been produced under the mandate; what exists instead is an education framework, recorded separately.",SYC-gov.legislate-nisti-act|SYC-gov.policy-nisti-institution
gov.legislate--data-protection-legislation,No change,"The [Data Protection Act 2023](2023-12-22-seychelles-data-protection-act-2023-act-24) is in force in full, its eighteen-month transition having elapsed, and it expressly recognises participation in a global cross-border privacy system.","The Act commenced in December 2023 with an eighteen-month transition; that period has elapsed and controllers and processors are now subject to it in full ([Act](2023-12-22-seychelles-data-protection-act-2023-act-24), [force](2024-03-25 Data Protection Law Now In Force In Seychelles), [review](2024-06-04 Review of Seychelles DPA)).

A continental review adds that the Act expressly recognises participation in a global cross-border privacy rules system ([reforms](2026-03-12 Africa’s Data Protection Reforms A Continental Perspective on the Drivers of Change in Legal Frameworks)).

A statute fully in force with an explicit cross-border interoperability provision puts this unit ahead of most in the frame on the law. What it lacks is recorded in the next cell.",SYC-gov.protect-dpa-2023
gov.legislate--access-to-information-legislation,Advanced,"An [access-to-information reform whitepaper](2025-11-10-infocom-atia-reform-whitepaper) recommends a centralised access unit, alignment with the data-protection Act and open-reuse licensing, with drafting targeted for end-2025.","The whitepaper was published in November 2025 with drafting by the attorney-general targeted for the end of that year ([whitepaper](2025-11-10-infocom-atia-reform-whitepaper)).

Nothing has entered the base since, so the drafting target has passed with no draft on record. The same body holds both the access and the protection mandates, which is why the whitepaper proposes aligning the two statutes rather than treating them separately.",SYC-gov.legislate-atia-reform
gov.protect--data-protection-authority,Advanced,"The Information Commission names [no clear power to enforce its orders](2025-11-10-infocom-atia-reform-whitepaper) as its own most urgent weakness, in its own reform whitepaper.","The finding is the Commission's own, set out in its access-to-information reform whitepaper, and it marked data protection day in January 2026 ([whitepaper](2025-11-10-infocom-atia-reform-whitepaper), [day](2026-01-28-infocom-data-protection-day-2026)).

The same body holds both the access-to-information and the data-protection mandates, so the enforcement gap it identifies runs across both.

A regulator publishing that it cannot enforce its own orders is unusually direct, and it is the fact that governs how much weight the fully-in-force statute above can carry.",SYC-gov.protect-infocom
gov.regional--regional-policy-collaboration,"Mixed, the corridor advanced elsewhere while the Seychelles memorandum stayed under review","The country is one of seven covered by a [programme for African developing island economies](2026-07-24-auda-nepad-island-economies-programme-launch), on a 2026 to 2031 roadmap with digital transformation among six pillars.","The continental trade secretariat signed a joint venture in Accra on 31 August 2026 with the same technology company to establish the digital trade corridor ([agreement](2026-08-31-afcfta-quest-ghana-digital-trade-corridor)), while the Seychelles memorandum with the two remains under review. The corridor is proceeding through Ghana rather than through Seychelles.

The programme was launched at a ministerial segment in July 2026 ([programme](2026-07-24-auda-nepad-island-economies-programme-launch)).

No national commitment, allocation or workplan beyond the communique is detailed. It is the same seven-state programme recorded for other island units in this frame, and in none of them can the base say what the individual country undertook.",SYC-gov.regional-auda-nepad-islands|SYC-dpi.exchange-afcfta-hub-mou
gov.regional--shared-regional-infrastructure,Advanced,"A [digital-trade hub memorandum](2026-03-17-seychelles-nation-digital-trade-hub-afcfta) was signed with the continental trade secretariat and a technology partner, and its terms are not held.","The signing was reported during the secretary-general's visit in March 2026, positioning the country as a digital-trade hub ([memorandum](2026-03-17-seychelles-nation-digital-trade-hub-afcfta)).

A separate claim that a digital trade corridor headquarters sits in the capital is not established and is not conflated with the memorandum here.

No value, term, workplan or infrastructure commitment is published, so what a digital-trade hub would consist of is unstated.",SYC-dpi.exchange-afcfta-hub-mou
gov.discourse--open-discussion-of-government-policy,Regressed,"Parliament amended the broadcasting Act in June 2026 to give [appointment and dismissal power over the broadcaster board](2026-08-11-seychelles-afrobarometer-media-oversight-access-information), and [perceived media freedom](2026-08-11-seychelles-afrobarometer-media-oversight-access-information) fell on a survey round fielded in 2025.","The base holds no primary text of the amendment; it is reported in a survey dispatch citing two press-freedom organisations ([amendment](2026-08-11-seychelles-afrobarometer-media-oversight-access-information)).

The perception measure is from a round fielded in 2025 and published in August 2026. It measures what people believe about media freedom rather than the media's legal position, and an international index placed the country 35th globally in 2026, up ten places ([perception](2026-08-11-seychelles-afrobarometer-media-oversight-access-information)).

Those two point in opposite directions and the cell carries both: a statutory change increasing executive control over the state broadcaster, and an external ranking improving.",SYC-gov.discourse-sbc-board-appointment|SYC-gov.discourse-media-freedom-perception
finance.mou--strategic-relationships,Advanced,A neighbouring operator [announced cross-border payment capabilities](2026-07-16-mauritius-telecom-allmyt-keynote-sovereign-ai-platformafrica) with a domestic fintech partner.,"The announcement is a single paragraph in an otherwise foreign-focused keynote ([announcement](2026-07-16-mauritius-telecom-allmyt-keynote-sovereign-ai-platformafrica)).

No agreement, value, timetable or regulatory approval is named. It is one of three cross-border payment intentions in this unit — the others being a continental interface memorandum and the domestic fintech's own platform — and none has a completed corridor on record.",SYC-finance.mou-mt-eboo
finance.new--mobilisation-of-non-state-finance,Advanced,"A [US$350,000 pre-seed round](2025-11-27-dabafinance-fusepay-preseed) closed for a domestic fintech, and a development lender [refinanced the telecommunications incumbent](2022-01-01-tdb-syc-cws-refinancing-2022-cable-wireless-seychelles-debt-refinancing-and) in a US$50m package after [arranging US$70m of acquisition financing](2019-01-01-tdb-syc-cws-acquisition-2019-cable-wireless-seychelles-acquisition-financing) in 2019.","The pre-seed closed in November 2025 with five named backers ([round](2025-11-27-dabafinance-fusepay-preseed)).

The refinancing package of US$50m replaced US$48.1m of 2019 debt ([refinancing](2022-01-01-tdb-syc-cws-refinancing-2022-cable-wireless-seychelles-debt-refinancing-and)); the lender took about 2.9 per cent of the operator's equity in December 2022, the operator listed on a domestic exchange in September 2022, and a local-currency bond of about US$12.5m was co-arranged in February 2024 ([refinancing](2022-01-01-tdb-syc-cws-refinancing-2022-cable-wireless-seychelles-debt-refinancing-and)).

The original acquisition financing of US$70m syndicated, US$50m on the lender's own book, took the operator out of foreign ownership in 2019 ([acquisition](2019-01-01-tdb-syc-cws-acquisition-2019-cable-wireless-seychelles-acquisition-financing)). A regional development lender holding equity in the telecommunications incumbent is a structural fact this base records and nothing examines.",SYC-finance.new-fusepay-preseed|SYC-finance.new-tdb-cws-refinancing-2022|SYC-finance.new-tdb-cws-acquisition-2019
