slug,title,publisher,author,published,date_precision,places,topics,entities,lens,body_completeness,finance,artefact,words,ingested,url
2026-08-28-sao-tome-bcstp-estatisticas-do-sistema-de-pagamentos,Estatísticas do Sistema de Pagamentos,Banco Central de São Tomé e Príncipe (BCSTP),,2026-08-28,day,STP,dpi.pay,banco-central-de-sao-tome-e-principe,,full,False,,678,,https://www.bcstp.st/Banco-Central?x=wOgqPO8BlRrdHdPOd1%2BEuA%3D%3D&z=UaqDemAwZxwMBbembGGx9g%3D%3D
2026-08-26-us-embassy-sao-tome-250-years-and-50-years-diplomatic-relations,United States Celebrates 250 Years of Independence and 50 Years of Diplomatic Relations with São Tomé and Príncipe,U.S. Embassy to Angola and São Tomé and Príncipe,,2026-08-26,day,STP,geopol.usa,us-embassy-sao-tome; starlink; guarda-costeira-sao-tome,,full,False,,528,,https://ao.usembassy.gov/united-states-celebrates-250-years-of-independence-and-50-years-of-diplomatic-relations-with-sao-tome-and-principe/
2026-08-26-sao-tome-csu-social-registry-expansion,PM defende reforço da proteção social para apoiar mais pessoas em situação de vulnerabilidade,Rádio Somos Todos Primos (RSTP),,2026-08-26,day,STP,dpi.registry; gov.policy; include.access,direcao-protecao-social-sao-tome; cadastro-social-unico-sao-tome; programa-familia-vulneravel-sao-tome,,full,False,,321,2026-09-01,https://rstp.st/2026/08/26/pm-defende-reforco-da-protecao-social-para-apoiar-mais-pessoas-em-situacao-de-vulnerabilidade/
2026-08-24-sao-tome-ustp-gradua-94-estudantes-tecnologias,USTP gradua pelo menos 94 estudantes com apelo à “maior responsabilidade e integridade”,Rádio Nacional de São Tomé e Príncipe (RSTP),,2026-08-24,day,STP,capacity.training; capacity.literacy,ustp; government-of-sao-tome-and-principe,,full,False,,501,,https://rstp.st/2026/08/24/ustp-gradua-pelo-menos-94-estudantes-com-apelo-a-maior-responsabilidade-e-integridade/
2026-08-24-observador-macau-stp-aml-data-agreement,Macau e Sao Tome e Principe vao assinar acordo para combater lavagem de dinheiro,Observador (Agencia Lusa),,2026-08-24,day,STP,dpi.exchange; gov.regional; geopol.china,gif-macau; uif-sao-tome; dspdp-macau; national-data-protection-agency-sao-tome,,full,False,,477,2026-08-27,https://observador.pt/2026/08/24/macau-e-sao-tome-e-principe-vao-assinar-acordo-para-combater-lavagem-de-dinheiro/
2026-08-18-rstp-sao-tome-pnud-equipamentos-direcao-geral-impostos,PNUD entrega equipamentos informaticos a Direcao-Geral dos Impostos,Radio Somos Todos Primos (RSTP),,2026-08-18,day,STP,finance.new; dpi.govtech; dpi.mis,undp; european-union,,full,False,,175,2026-08-23,https://rstp.st/2026/08/18/pnud-entrega-equipamentos-informaticos-a-direcao-geral-dos-impostos/
2026-08-17-springer-cplp-rare-disease-digital-health-interoperability,Strengthening rare disease response in the community of Portuguese-speaking countries: a position paper on digital health innovation and international cooperation,Journal of Rare Diseases (Springer Nature),,2026-08-17,day,STP; AGO; CPV; GNB; MOZ,dpi.exchange; gov.standards; dpi.mis,cplp; cplp-raras; orphanet; ga4gh,,full,False,,10937,2026-08-23,https://link.springer.com/article/10.1007/s44162-026-00229-8
2026-08-13-sao-tome-orcamento-participativo-cantagalo-lemba-piloto,Orçamento Participativo transforma São Tomé e Príncipe,Câmara Municipal de Cascais,,2026-08-13,day,STP,include.access,camara-municipal-de-cascais; fong-stp; acep; european-union,,full,False,,350,,https://www.cascais.pt/noticia/orcamento-participativo-transforma-sao-tome-e-principe
2026-08-07-afap-prorroga-solicitacao-novo-sistema-de-informacao-de-gestao-mis-para-a-emae,"AFAP prorroga a solicitação de fornecimento, instalação, treinamento e comissionamento do novo sistema de informação de gestão (MIS) para a EMAE",Téla Nón,,2026-08-07,day,STP,dpi.mis; finance.new,afap-sao-tome; emae,,excerpt,False,2026-08-07-afap-emae-mis-tender-extension-ref-45-g.pdf,126,2026-08-08,https://www.telanon.info/destaques/2026/08/07/53902/afap-prorroga-a-solicitacao-de-fornecimento-instalacao-treinamento-e-comissionamento-do-novo-sistema-de-informacao-de-gestao-mis-para-a-emae/
2026-08-03-telanon-bgfi-bank-sao-tome-primeiro-banco-certificado-iso-9001,BGFI Bank é o primeiro banco do país certificado pela ISO 9001:2015,Téla Nón,,2026-08-03,day,STP,gov.standards,bgfi-bank; bureau-veritas,,full,False,,902,,https://www.telanon.info/economia/2026/08/03/53828/bgfi-bank-e-o-primeiro-banco-do-pais-certificado-pela-iso-90012015/
2026-08-03-direcao-da-protecao-social-esclarece-sobre-cadastro-social-unico-stp,Direção da Proteção Social esclarece sobre Cadastro Social Único STP,Rádio Somos Todos Primos,,2026-08-03,day,STP,dpi.registry; include.access,cadastro-social-unico-sao-tome; direcao-protecao-social-sao-tome,,full,False,,64,2026-08-08,https://rstp.st/2026/08/03/direcao-da-protecao-social-esclarece-sobre-cadastro-social-unico-stp/
2026-07-31-eleicoes26-cen-lanca-campanha-de-consulta-e-atualizacao-de-dados,Eleições’26: CEN lança campanha de consulta e atualização de dados com mais de 146 mil eleitores inscritos,Rádio Somos Todos Primos,,2026-07-31,day,STP,dpi.registry; dpi.exchange,cen-sao-tome; dgrn; prese-sao-tome,,full,False,,431,2026-08-08,https://rstp.st/2026/07/31/eleicoes26-cen-lanca-campanha-de-consulta-e-atualizacao-de-dados-com-mais-de-146-mil-eleitores-inscritos/
2026-07-31-ager-1a-edicao-fgi-stp-sao-tome,AGER Realiza Com Sucesso a 1ª Edição do FGI STP,"AGER (Autoridade Geral de Regulação, São Tomé e Príncipe)",,2026-07-31,day,STP,gov.discourse; gov.protect; include.divides; gov.policy,ager-stp,,full,False,,401,2026-07-31,https://www.ager.st/index.php/en/news/19-annonces/122-ager-realiza-com-sucesso-a-1-edicao-do-fgi-stp
2026-07-30-unicef-aquisicao-de-tablets-computadores-e-acessorios-sistema-educativo-stp,"UNICEF - Aquisição de tablets, computadores e acessórios destinados ao reforço das tecnologias no sistema educativo.",Téla Nón,,2026-07-30,day,STP,capacity.literacy; finance.new,unicef; ministry-of-education-sao-tome; pnad-sao-tome,,full,False,2026-07-30-unicef-stp-tor-pnad-equipment-procurement.pdf,178,2026-08-08,https://www.telanon.info/destaques/2026/07/30/53795/unicef-aquisicao-de-tablets-computadores-e-acessorios-destinados-ao-reforco-das-tecnologias-no-sistema-educativo/
2026-07-29-sao-tome-telanon-dhis2-dcnt-analise-distrital,"Estudo revela elevada carga de hipertensão, diabetes e AVC em São Tomé e Príncipe",Téla Nón,,2026-07-29,day,STP,dpi.mis,ustp; ministerio-da-saude-sao-tome; dhis2,,full,False,,673,,https://www.telanon.info/sociedade/2026/07/29/53782/estudo-revela-elevada-carga-de-hipertensao-diabetes-e-avc-em-sao-tome-e-principe/
2026-07-29-rstp-sao-tome-terceira-edicao-empreende-mais-empreendedorismo-feminino,Terceira edição do Empreende+ arranca em São Tomé e Príncipe com foco no empreendedorismo feminino,Rádio Somos Todos Primos (RSTP),,2026-07-29,day,STP,tech.innovate,ministerio-da-economia-e-financas-sao-tome; reina-incubadora; undp,,full,False,,324,,https://rstp.st/2026/07/29/terceira-edicao-do-empreende-arranca-em-sao-tome-e-principe-com-foco-no-empreendedorismo-feminino/
2026-07-28-advancing-data-infrastructure-and-governance-in-lusophone-africa,Advancing Data Infrastructure and Governance in Lusophone Africa: Regional Workshop Concludes in Luanda,UNESCO,,2026-07-28,day,AGO; CPV; GNQ; GNB; MOZ; STP; XAF,gov.protect; gov.regional; dpi.exchange; infra.store,unesco; agencia-de-protecao-de-dados-angola; smart-africa; world-bank; cetic-br,,full,False,,774,2026-07-30,https://www.unesco.org/en/articles/advancing-data-infrastructure-and-governance-lusophone-africa-regional-workshop-concludes-luanda
2026-07-24-auda-nepad-island-economies-programme-launch,AUDA-NEPAD launches first continental programme dedicated to Africa's island economies,African Union Development Agency (AUDA-NEPAD),,2026-07-24,day,XAF; CPV; COM; GNB; MDG; MUS; STP; SYC,gov.policy; gov.regional; infra.connect; tech.ai,auda-nepad; african-union; african-development-bank,,full,False,,592,2026-08-01,https://www.nepad.org/news/auda-nepad-launches-first-continental-programme-dedicated-africas-island-economies
