Africa. Instead	7066
Airtel Money. Instead	8535
Asia-Pacific. Instead	8263
Authority. Instead	8955
Education Cloud. Instead	899
G. Instead	9560
Ghana Cards. Instead	7700
Instead	428,116,355,59,3,193,476,198,54,106,3,101,25,398,3,259,136,45,47,18,42,326,79,113,1,20,137,133,15,33,123,4,78,131,110,58,6,81,112,51,24,43,20,20,17,96,36,32,8,16,56,40,40,48,38,16,16,133,73,15,19,46,5,18,19,130,100,47,78,65,11,7,147,31,10,81,61,5,8,17,29,45,26,53,28,24,9,1,86,3,33,3,15,64,2,43,16,3,41,56,23,14,8,50,23,5,2,58,20,5,14,6,11,33,13,9,2,9,60,1,3,65,14,39,11,22,3,35,16,1,22,24,8,2,17,82,17,16,35,4,1,39,77,20,21,1,5,18,4,43,19,13,97,3,1,71,1,14,4,5,65,11,2,4,147,14,8,2,21,9,4,56,38,14,27,10,29,2,13,40,4,14,46,2,48,15,19,19,27,41,59,20,31,55,32,14,48,20,67,57,3,35,28,8,8,2,9,33,73,13,20,84,1,18,27,16,2,22,2,36,31,18,27,2,1,14,9,33,51,10,36,5,3,21,5,21,55,52,8,6,11,40,1,52,28,65,60,15,157,66,25,2,32,1,11,4,33,7,15,22,25
Instead of African	6186
Intellectual Property Tribunal. Instead	10041
RCs. Instead	6947
South Africans. Instead	2946,2380
SpaceX. Instead	6784
Sudan. Instead	1676
