ALLNEWS&taging subtype	9399
EMIS. Subtotal	11905
Facilities Subtitle	14778
Functionality Subtitle	14778
II Neighbourhood Data Subtitle	14778
III Real Estate Subtitle	14778
Joint Food Security Monitor Subtitle	18645,79
Manyoni DC Subtotal	19585
Output Subtotal	18985
Per Diem SUBTOTAL	1988
Rating I Location and Site Condition Subtitle	14778
SUBTOTAL	1988,9264,5633
SubTel Forum	7199,124,43
Subtitle	6441,5906,123,3150
Subtitle Income	17366
Subtitle Monitoring Food Insecurity	15024
Subtly	5700
Subtotal	10780,1125,1072,60,3934,312,2302
Subtotal Bobô-Forro	18793
Subtotal FOTOVOLTAICA	18793
Subtotal GUINEA-BISSAU	17283
Subtotal Goods	11955
Subtotal HEADING	18985
Subtotal Hidroelétrica	18793
Subtotal Isoladas	18793
Subtotal Local	13037
Subtotal Outside HEADING	18985
Subtotal Raw	11955
Subtotal Santo Amaro	18793
Subtotal Solar	18793
Subtotal SÃO TOMÉ E PRÍNCIPE	17283
Subtotal Termoelétrica	18793
Subtotal Térmica	18793
Subtotal Térmica Príncipe	18793
Subtotals	13037
Subtotals Section	13037
Subtrair	11416
Subtransmission	15017
Year Social Charges1 Overhead1 Subtotal Fee2	13037
