AFRIQUE CENTRALE Pierre Nolasque Oyono Bika	3658,2617,145
AGENTS DE SANTÉ BIGIRIMANA Salvator BIKORIMANA	13300
BIKERS INFORMATION MANAGEMENT SYSTEM Data Controller	7167
BIKERS INFORMATION MANAGEMENT SYSTEM Data Processor	7167
BIKORIMANA Jean de Dieu	12413
BIkart	5349
Beitbridge Belingwe Bikita Bindura Binga Bubi	12511
Bikakis	8605
Bikash Koley	13839
Bikini Atoll	10627
Bikketi	6948
Bikuan Ndong Mongomo	4209
Bikurga	4209
Dr. Owiso Owiso and Ashioya Biko	9645
Edward Bikketi	6948
Ines Bikurga Distrito de Evinayong Evinayong	4209
Instituto Municipal de Bikurga	4209
Mardoché Bikoukou	12036
Pierre Nolasque Oyono Bika	3658,2617,145
Steve Biko	4258
Theodore Bikoi	13868
