ACLED Armed Conflict Location	11887,267,3561
ACRONYMES AFD ARMP ARTEC BAD BIANCO	14425
ACRONYMS AF Additional Financing ARMP Burundi	1284
AF Additional Financing ARME Multisectoral Regulation	15983
AI Armory and Defense	16813
AKWASI OTI ALLENTER SMALL ARMS	15845
ANOR ANTIC API APICCAM ARMP ARSEL	15542
ARMAAN LTD Data Controller INST-284135866B1 NAIROBI	7167
ARMANDO EMILIO GUEBUZA	1829
ARMANDO NDAMBI GUEBUZA	1829
ARMD URL	13888,38,7
ARME BLINDEE ET CAVALERIE	15744
ARME BLINDEE ET CAVALERIE C	15744
ARME BLINDEE ET CAVALERIE III	15744
ARME Multisectoral Regulation Agency	11965
ARME and MMEAP	11965
ARME and NOSi	11965
ARMED	10776
ARMEE DE L’AIR	15744,157
ARMEE DE L’AIR Capitaine OKOUMOU TUEYRES	15744
ARMEE DE TERRE	15744,157
ARMEE DE TERRE B	15901
ARMEE DE TERRE II	15744
ARMEE DE TERRE Lieutenant MOUANDHA	15744
ARMEE DE TERRE SECTION	15744
ARMEMENT	15744
ARMIX	14468
ARMOIRE	13300
ARMOR	11469
ARMOR EAST AFRICA IMAGING SUPPLIES LIMITED	7167
ARMOURY Land Fraud	14760
ARMP Accelerating Governance Institutional Reforms General	11905
ARMP Bon Réseaux	14539
ARMP Citizen	15518
ARMP Coordonnateur Général des Activités	14539
ARMP Gère	10876
ARMP Mise	10876
ARMP Procurement Regulation Authority	969
ARMP Public Procurement Regulatory Authority	10829
ARMP Regulatory Agency for Public Procurement	15518
ARMP Regulatory Authority for Public Contracts ATM	13312,2
ARMP Semiannually Report	11905
ARMP-	8021
ARMP-3	8021
ARMP-4	8021
ARMP-5 and ARMP-1	8021
ARMP. Afin	16583
ARMP. Relation	10829
ARMYTEX INTERNATIONAL SECURITY SERVICES LIMITED Data	7167
Absence of Armed Conflict	10759,76,2,1,130,902,16,1,1,1,263,1,1,9,177,1,11,1,135
Absence of Armed Conflict Absence of Violence	10837,1315,188
Absence of Armed Conflict1	11889
Absence of Armed Conflict2	12352
Acronyms ACLED Armed Conflict Location	10759,76,2,1,130,902,16,3,264,10,177,1,11,1,135
Adjudant TSOUMBOU TSOUMBOU Armand	16381
African Development Bank ARMD Djibouti Multisector	13885
Angola Dominica Argentina El Salvador Armenia	10764
Arm's Length	11976
Arma da República de Cabo Verde	15380
Armada	6636
Armadas. Tem	10752
Armadilha	10751
Armagh Avenue	4896,642
Arman	15342
Arman Doskaliev	10714
Armand	15615,560
Armand Augustin	16100
Armand Carmef MOUTSINGA	16175
Armand Christ Kiyaloulou	11897
Armand Enoch	15615
Armand Fortuné	15744
Armand Hatchuel	8891
Armand Hatchuel Ahmed Abaddi Fouad Ben	8891
Armand Juldace	15524
Armand M. ZINGIRO	12358
Armand Marius	15744
Armand Mizaire	15524
Armand Nazaire	15524
Armand Swart	6727,7630
Armand ZINGIRO Chief Executive Officer Pagevii	12358
Armand Zingiro	15049
Armande Longo	8152
Armande Longo-Moulengui	8441
Armando Emílio Guebuza	12772
Armando Guebuza	2667
Armando Monsuy	17307
Armando Tchoba	11561
Armas	11513
Armas Amukoto	10148
Armas Nacionais	15344
Armas da República da Guiné-Bissau	11513
Armas da República de Cabo Verde	15344
Armazenagem de Armas Bacteriológicas	11365
Armazenagem de Armas Químicas	11365
Armazenamento	6970,8389
Armazenamento de Dados	15684
Armazenar	16027
Armazéns de Medicamentos Prestadores	6970
Armed	3583,1057,2307,390,572,1707,1213,108,80,840,922,2469,597,591,499,83,346
Armed Conflict	10835,3,130,902,16,466,1,135,2254
Armed Conflict Location	15715
Armed Conflict Location and Event Data	16359
Armed Conflict1	12353
Armed Forces	5270,4779,1468,340,2885,256,344,51,80,1366
Armed Forces Day Deputy Foreign	17025
Armed Forces Day REPORT	17025
Armed Forces Health Services	11401
Armed Forces Operations Authority	15473
Armed Forces SARHO Sudanese Agency for Relief	6947
Armed Forces SLA Sudan Liberation Movement	15342
Armed Forces and Nigeria Security and Civil Defence	10254
Armed Forces. Food and Food	17105
Armed Forces.53 Figure	15473
Armed Forces’ Information Systems Department	16046
Armed People	11131,3
Armed Robbery	12984,3951
Armed Services Integrated Information System Establishment	246,92
Armel	15615,165
Armel Aymar	15901
Armel Danny OBANGA. MMES	16381
Armel Fridelin	15488
Armel ITOUA	15685
Armel Marius	15744
Armel Ndoumba. L'attestation	2854
Armel Odilon Romary	15426
Armel Rodrigue	16100
Armel Samoue	15493
Armel Severin	15744
Armelle Claire NEWMAN ETEGUE	16175
Armelle Nambessa Ndoubenoue Albert Francis Atangana	16436
Armelle Ouédraogo	7353
Armelle Ouédraogo Dalilha Ky	10125
Armelle Ouédraogo Lefaso.net	16448
Armement	16047
Armenia	6849,2233,88,1615,59,2,159,351,253,285,1078,148,1348,1003
