row_id,place,subject,section,kind,name,status,published,milestone,since,movement,position_start,position_end,sources,probe_at,note
GNB-gov.policy-entd-gw,GNB,gov.policy,Governance,instrument,National Digital Transformation Strategy 2025-2030 (ENTD.GW),"Enacted, approved by Decree 10/2025",2025-03-28,"Approved by Decreto n.o 10/2025 and published in the Boletim Oficial n.o 12, 4.o Suplemento, 28 March 2025",2025-03-28,Advanced,"Launched Jan 2025 (10 pillars, 55 interventions, roadmap to 2030); Council of Ministers approval/decree still pending","Approved by Decreto n.o 10/2025 and gazetted in the Boletim Oficial on 28 March 2025, settling the Council of Ministers approval outstanding at the start of the period; the strategy itself is unchanged at 10 pillars, 6 objectives and 55 interventions to 2030",2025-03-28-guine-bissau-bo-12-4-suplemento-decreto-10-2025-entd-gw|2025-03-28-informea-decreto-10-2025-entd-gw-guine-bissau|2025-01-29 Guinea-Bissau launches ENTD.GW national digital transformation strategy (ANG)|2025-02-04 Digital Transformation Project in Guinea-Bissau with UNU-EGOV & UNDP|2024-01-01 National Strategy for Digital Transformation in Guinea-Bissau (project),,The gazetted decree carries the strategy as an annex; the InforMEA record is a secondary index entry for the same decree.
GNB-gov.legislate-access-to-information-bill,GNB,gov.legislate,Governance,instrument,Access to Information Bill,In development,2024-10-01,"Final draft examined at a UNESCO-convened validation meeting, October 2024",2024-10-01,Advanced,Did not exist,"Draft validated at a UNESCO workshop; no tabling, passage or gazettal on file",2024-10-01-unesco-guine-bissau-validation-projet-loi-acces-information,,
GNB-gov.legislate-arn-regulations-2010,GNB,gov.legislate,Governance,instrument,"ARN sector regulations (Decrees 14, 15 and 16 of 2010)",Enacted,2010-09-22,"Gazetted in the 2.o Suplemento to Boletim Oficial n.o 38, 22 September 2010",2010-09-22,No change,In force since 2010,"In force since 2010: supervision, sanctions and dispute resolution (14/2010), public-consultation procedure (15/2010) and the provision of communications networks and services (16/2010)",2010-09-22-guinebissau-bo-38-2010-decretos-14-15-16-arn-regulamentos|2010-09-22-guinebissau-bo-38-2010-decreto-14-arn-resolucao-conflitos,,The public-consultation procedure is the instrument the ARN used for the 2026 electronic-transactions bill.
GNB-gov.legislate-digital-integrity-law,GNB,gov.legislate,Governance,instrument,Digital Integrity (Dissemination of False Information on the Internet) Law,Enacted,2026-07-21,"CNT (transitional parliament) unanimously passed, with amendments, the Law on the Dissemination of False Information on the Internet - framed by spokesman Fernando Vaz as targeting those who spread hate and act against the State; enforcement mechanisms, including for citizens abroad, left unstated",,Advanced,Did not exist,"Enacted 21 May 2026 (CNT unanimous passage, with amendments); publication/in-force date and enforcement mechanisms unconfirmed; first invoked by the Ministry of Communication on 21 Jul 2026 over a false TikTok-shutdown claim",2026-05-23 Guinea-Bissau CNT passes Digital Integrity (online falsehoods) Law|2026-07-21-ang-ministerio-comunicacao-tiktok-desmentido,,
GNB-gov.legislate-electronic-communications-law,GNB,gov.legislate,Governance,instrument,Electronic Communications Law (revised),"Under review, Council of Ministers approved with amendments",2026-01-01,"Council of Ministers approved, with amendments, a proposed Electronic Communications Law replacing the outdated 2010 telecom regime, under the transitional presidency of Horta Inta-a; not confirmed passed by the CNT or published/in force",,Advanced,Did not exist - the 2010 Electronic Communications regime remained nominally in force,"Council of Ministers approved a revised bill, with amendments; not yet confirmed passed by the CNT or in force",2026-01-01 Guinea-Bissau Council of Ministers approves new Electronic Communications Law,,Event date is a year-precision proxy; exact Council of Ministers session date unconfirmed
GNB-gov.legislate-electronic-transactions-bill,GNB,gov.legislate,Governance,instrument,Electronic Transactions Bill 2025,In development,2026-05-08,"Put to public consultation by the ARN board under Aviso n.o 01/CA/ARN/2026, 8 May 2026",2026-05-08,Advanced,Did not exist,"Revised draft published for public consultation by the ARN; no submission deadline, transmission to government or enactment date on file",2026-05-08-aviso-01-ca-arn-2026-consulta-publica-projeto-lei-transacoes-eletronicas|2026-05-08-arn-projecto-lei-transaccoes-electronicas-guine-bissau,,The draft text itself carries a legislative-supplement header dated 6 September 2025.
GNB-gov.legislate-ict-base-law,GNB,gov.legislate,Governance,instrument,ICT Framework Law (Lei n.o 5/2010),Enacted,2010-05-27,"Enacted by Lei n.o 5/2010 of 27 May 2010, Boletim Oficial n.o 21, 3.o Suplemento",2010-05-27,No change,In force since 2010,In force since 2010; the base holds no amendment or replacement,2010-05-27-bo-guine-bissau-21-sup3-lei-5-2010-base-tic,,The framework statute the sector’s later decrees and the ARN’s mandate rest on.
GNB-gov.protect-data-governance-protection-policy,GNB,gov.protect,Governance,instrument,National Data Governance and Protection Policy (decree),In development,2025-07-10,Council of Ministers approved the draft decree (Politica Nacional de Governanca e Protecao de Dados) alongside decrees on interoperability and cybersecurity strategy; no confirmation on file of gazettal or entry into force,,No change,Draft decree approved by Council of Ministers 2025-07-10; not confirmed published or in force,Unchanged; no further movement on file,"2025-07-10 Guinea-Bissau Council of Ministers approves three digital decrees (interoperability, data governance, cybersecurity)",,
GNB-gov.regional-auda-nepad-island-economies,GNB,gov.regional,Governance,instrument,AUDA-NEPAD Programme for African Developing Island Economies (Guinea-Bissau participation),Planned,2026-07-24,"AUDA-NEPAD launched the Programme for African Developing Island Economies at the STC-TTIM Ministerial Segment in Abidjan, covering Guinea-Bissau among seven states; ministers adopted a communique committing to a 2026-2031 roadmap with six pillars including digital transformation",,Advanced,Did not exist,Ministerial communique adopted 24 Jul 2026 committing Guinea-Bissau to the Programme's 2026-2031 roadmap; no country-level implementation reported yet,2026-07-24-auda-nepad-island-economies-programme-launch,,Continental seven-state programme; Guinea-Bissau-specific national actions under it not yet reported
GNB-gov.regional-cplp-digital-rights-charter,GNB,gov.regional,Governance,instrument,CPLP digital rights charter,Implemented,2026-01-29,"Signed at São Tomé by all nine member states, 19 July 2024",,Advanced,Did not exist,"Expressly declaratory and non-binding, committing members to meaningful connectivity on non-discriminatory and affordable terms, personal data protection, cybersecurity cooperation, digital literacy and capacity building and non-fragmentation of the digital environment, and condemning blanket internet shutdowns; the first named activity in the Lusophone data-governance frame since is a Maputo workshop of 8-10 December 2025 at which UNESCO launched the Portuguese edition of its Data Governance Toolkit and more than 40 data-protection authorities and ICT regulators mapped national data ecosystems and governance gaps against the African Union Data Policy Framework and the Smart Africa Data Governance Blueprint",2024-07-19-carta-da-cplp-de-direitos-e-principios-em-ambientes-digitais|2026-01-29-lusophone-countries-in-africa-deepen-digital-cooperation-to-strengthen-data-governance,,declaratory: no domestic measure is recorded as taken under it
