indicator_id,progress,summary,developments,row_ids
gov.policy--broadband-strategy,Advanced,"A [National Broadband Strategy 2023-2028](2024-10-01-sierra-leone-mocti-national-broadband-strategy-2023-2028) is published, above a [spectrum framework](2026-03-13-natca-spectrum-pricing-mwc-barcelona) that exists as a regulator's stated position rather than an instrument.","The strategy was published by the ministry in October 2024, a year into the period it covers ([strategy](2024-10-01-sierra-leone-mocti-national-broadband-strategy-2023-2028)).

The regulator set out its asks on spectrum pricing and management at an international congress in March 2026 ([framework](2026-03-13-natca-spectrum-pricing-mwc-barcelona)). That is a position, not an instrument: no consultation, draft or adopting decision follows it.

The regulator does publish the operators' current network tariffs ([tariffs](2026-03-13-sierra-leone-natca-network-tariffs)). No target, milestone or delivery report under the broadband strategy is held, and its window closes in two years.",SLE-infra.connect-broadband-strategy|SLE-infra.connect-spectrum-framework|SLE-infra.connect-natca-tariff-publication
gov.policy--ai-strategy,Advanced,"A [National AI Strategy](2026-05-28-national-ai-strategy-readiness) is in development, with a draft readiness diagnostic produced and consultations run.","The draft diagnostic and the consultations are what the base holds; no strategy text, timetable or adopting decision is on record ([strategy](2026-05-28-national-ai-strategy-readiness)).

What exists instead is an artificial-intelligence-in-government partnership already delivering training, and a public awareness campaign on deepfakes. Both are recorded separately, and both run ahead of the strategy that would frame them.",SLE-tech.ai-ai-strategy
gov.policy--data-governance-policy,Advanced,"Cabinet [approved a National Data Protection Policy](2026-04-22-cabinet-data-protection-policy) in April 2026, above a [National Data Strategy](2023-01-01-sierra-leone-national-data-strategy) issued in 2023 and updated with donor support.","The policy was approved by Cabinet on 21 April 2026, and the same decision authorised the Bill that would give it force ([policy](2026-04-22-cabinet-data-protection-policy)).

The data strategy carries January 2023 as the date on the document; the ministry's own index files it as February 2023 and the formal launch was later again, so three dates exist for one instrument. It was updated over five months with donor support and aligned to the continental data policy framework ([strategy](2023-01-01-sierra-leone-national-data-strategy), [update](2025-01-01 Strengthening Sierra Leones national data strategy (DIAL))).",SLE-gov.policy-dp-policy|SLE-gov.policy-data-strategy
gov.legislate--data-protection-legislation,Advanced,"Cabinet [authorised a Data Protection and Right to Access Information Bill](2026-04-22-cabinet-data-protection-policy) in April 2026, and the country has had no data-protection law in force throughout the period.","The Bill was finalised in November 2025 and Cabinet approved the policy and authorised the Bill on 21 April 2026 ([bill](2026-04-22-cabinet-data-protection-policy), [finalisation](2025-11-09 Government Finalizes Sierra Leones Data Protection and Right to Access Information Bill)).

No data-protection law has been in force at any point in the period. That is the frame for everything else in this unit: a biometric register covering most of the population, subscriber data disclosed to police, an identity migration in pilot and two competing identity platforms, all operating with no statutory data-protection regime behind them.",SLE-gov.protect-dp-rti-bill
gov.legislate--legislation-covering-digital-id,Advanced,"The [National Civil Registration Act 2016](2016-08-04-sierra-leone-national-civil-registration-act-2016) is the governing statute, with a replacement Bill [validated in November 2025](2025-11-19-sierra-leone-ncra-validation-civil-registration-and-identification-bill).","The 2016 Act establishes the National Civil Registration Authority as an independent body with its own board and a confidentiality duty ([Act](2016-08-04-sierra-leone-national-civil-registration-act-2016)); a draft Civil Registration and Identification Bill completed final national validation on 19 November 2025 and is not yet before Parliament ([Bill](2025-11-19-sierra-leone-ncra-validation-civil-registration-and-identification-bill)).

The subscriber regulations phase-out of unregistered cards was announced on 30 July 2026, linking registration to the national identification number, and the instrument's own text is not held ([regulations](2026-07-30-natca-phase-out-unregistered-sims-link-national-id)). Government conceded on 4 August 2026 that the linkage is incomplete ([linkage](2026-08-05-government-unveils-multi-agency-strategy-to-tackle-rising-cyber-fraud)).

That concession matters because the fraud response recorded elsewhere rests on registration and identity verification as its principal control, and the control is admitted to be partial.",SLE-gov.legislate-ncr-act-2016|SLE-gov.legislate-cri-bill-2025|SLE-gov.legislate-subscribers-regs-2025|SLE-dpi.id-sim-nin-linkage
gov.legislate--digital-payments-legislation,Advanced,"The [National Payment Systems Act 2022](2022-06-23-sierra-leone-national-payment-systems-act-2022) is the governing statute, with a [Public Financial Management Act 2026](2026-08-18-sierraloaded-sierra-leone-finance-law-digital-payments) in consultation above it.","The payment systems Act is Act 8 of 2022, gazetted on 23 June 2022, with subsidiary legislation made under it ([Act](2022-06-23-sierra-leone-national-payment-systems-act-2022)).

A draft Public Financial Management Act was consulted on in Freetown in August 2026 covering digital payments; no text, parliamentary stage or commencement date is published ([draft](2026-08-18-sierraloaded-sierra-leone-finance-law-digital-payments)). The communications Act was tested against the mobile-money fraud wave in a published legal analysis in July 2026 ([Act](2026-07-23-whatsapp-scam-emptying-orange-money-sierra-leone)).

Between them and the cybercrime Act the country has statutes that reach the conduct. What it does not have, recorded separately, is a rule allocating the loss.",SLE-gov.legislate-nps-act-2022|SLE-gov.legislate-public-financial-management-act-2026|SLE-gov.legislate-nca-act-2022
gov.legislate--e-commerce-legislation,Advanced,"A public-private dialogue was convened to [operationalise the Electronic Transactions Act 2019](2026-07-29-sierra-leone-implement-electronic-transactions-act), seven years after enactment, and the Act as enacted and gazetted is not held.","The dialogue ran over two days in July 2026 with donor support ([dialogue](2026-07-29-sierra-leone-implement-electronic-transactions-act), [framework](2026-08-03-koica-itc-sierra-leone-e-transactions-legal-framework)).

The Act as enacted and gazetted is not held; every automated route to the text failed as at August 2026, and what the base has is a record of the instrument rather than its provisions ([record](2019-12-05-sierralii-record-electronic-transactions-act-2019)).

An Act that needs a dialogue to operationalise it seven years after passage is the clearest instance in this unit of the gap between enactment and effect.",SLE-gov.legislate-eta-2019
gov.protect--data-protection-authority,Advanced,Cabinet authorised [repeal of the information commission Act and a merged dual-mandate authority](2026-04-22-cabinet-data-protection-policy) covering data protection and access to information.,"The existing Right to Access Information Commission would be repealed and replaced by a single authority holding both mandates ([merger](2026-04-22-cabinet-data-protection-policy)).

No establishing text, commencement date, budget or staffing is published. Until the Bill passes, the country has an access-to-information regulator and no data-protection regulator at all.",SLE-gov.protect-raic
gov.protect--national-data-protection-readiness,Advanced,"[Data protection by design training](2026-08-21-techreviewafrica-sierra-leone-dsti-data-protection-by-design) was delivered to the state technical team, while [police requests for subscriber data](2026-08-05-government-unveils-multi-agency-strategy-to-tackle-rising-cyber-fraud) are answered with no warrant requirement or oversight mechanism on the record.","The training was delivered in August 2026, and no curriculum, attendance figure or follow-on compliance requirement is published ([training](2026-08-21-techreviewafrica-sierra-leone-dsti-data-protection-by-design)).

An operator answers police requests for subscriber verification data, and no warrant requirement, oversight mechanism or reporting duty governing those disclosures is on the record ([disclosures](2026-08-05-government-unveils-multi-agency-strategy-to-tackle-rising-cyber-fraud)).

Training the builders while the disclosure route is ungoverned is the shape of readiness here: the design principle is being taught and the statutory basis does not exist.",SLE-gov.protect-data-protection-by-design-training|SLE-dpi.pay-kyc-disclosures
gov.regional--regional-policy-collaboration,Advanced,"The country attended the [inaugural board meeting of a continental health intelligence body](2026-08-21-sierraloaded-sierra-leone-hica-health-information-hub) in August 2026, and no constitutive instrument, budget or data-sharing arrangement is published.","Membership was taken up and the inaugural board meeting attended ([membership](2026-08-21-sierraloaded-sierra-leone-hica-health-information-hub)).

Nothing published states what the body does with member states' health data, which is the question a country with no data-protection law in force most needs answered before joining a health information hub.",SLE-gov.regional-health-intelligence-centres-africa
