deal_id,place,state_level,spending_tier_name,fiscal_year_label,fy_start,fy_end,fy_calendar,budget_version,supplementary_basis,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,admin_head_basis,programme_basis,programme_level,line_name,purpose,primary_subject,scope_confidence,scope_basis,finance_origin,funding_source,is_transfer,transfer_to,currency,amount_scale,proposed,appropriated,revised,released,actual,audited,baseline_stage,current_stage,exec_vs_voted,exec_vs_revised,source_tier,doc_type,doc_locator,source_slug,extracted,origin_record,notes
tza-2025-002-1005,TZA,national,,2025/26,2025-07-01,2026-06-30,gregorian,original,,002,002 - Teachers' Service Commission,002,Teachers' Service Commission,10,Administration,1005,ICT and Statistics Unit,,printed,printed,programme,ICT and Statistics Unit,The Teachers' Service Commission's combined ICT and statistics unit.,dpi.govtech,partial,"Named as a combined ICT and statistics unit; the ICT half is a digital function and the statistics half is data compilation, and the subvote prints one budget for both.",domestic-state,domestic-revenue,false,,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,,529081005,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Volume II (Ministerial) recurrent estimates 2025/26, as passed, Vote 002, Programme 10, Subvote 1005, Total of Subvote, column 2025/2026 Estimates, PDF p. 24-25",2025-07-31-tza-vol-ii-ministerial-estimates-2025-26-as-passed-companion,2026-09-24,,15 GFS items sum to the printed subvote total in every column; the vote's subvotes sum to its printed estimate. The 2026/27 volume prints the same figure as 2025/26 Approved Estimates.
tza-2025-004-1004,TZA,national,,2025/26,2025-07-01,2026-06-30,gregorian,original,,004,004 - Archives Management Department,004,Archives Management Department,10,Administration,1004,Information and Communication Technology Unit,,printed,printed,programme,Information and Communication Technology Unit,The Archives Management Department's in-house ICT unit: staff and running costs of its information systems.,dpi.govtech,whole,"A subvote named as the institution's ICT function; its whole budget, staff and running costs, serves that function, as departmental IT subprogrammes are held elsewhere in this folder.",domestic-state,domestic-revenue,false,,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,,253340000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Volume II (Ministerial) recurrent estimates 2025/26, as passed, Vote 004, Programme 10, Subvote 1004, Total of Subvote, column 2025/2026 Estimates, PDF p. 35",2025-07-31-tza-vol-ii-ministerial-estimates-2025-26-as-passed-companion,2026-09-24,,9 GFS items sum to the printed subvote total in every column; the vote's subvotes sum to its printed estimate. The 2026/27 volume prints the same figure as 2025/26 Approved Estimates.
tza-2025-005-1007,TZA,national,,2025/26,2025-07-01,2026-06-30,gregorian,original,,005,005 - National Irrigation Commission,005,National Irrigation Commission,10,Administration,1007,Information Communication Technology Unit,,printed,printed,programme,Information Communication Technology Unit,The National Irrigation Commission's in-house ICT unit: staff and running costs of its information systems.,dpi.govtech,whole,"A subvote named as the institution's ICT function; its whole budget, staff and running costs, serves that function, as departmental IT subprogrammes are held elsewhere in this folder.",domestic-state,domestic-revenue,false,,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,,125650000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Volume II (Ministerial) recurrent estimates 2025/26, as passed, Vote 005, Programme 10, Subvote 1007, Total of Subvote, column 2025/2026 Estimates, PDF p. 42",2025-07-31-tza-vol-ii-ministerial-estimates-2025-26-as-passed-companion,2026-09-24,,9 GFS items sum to the printed subvote total in every column; the vote's subvotes sum to its printed estimate. The 2026/27 volume prints the same figure as 2025/26 Approved Estimates.
tza-2025-007-1006,TZA,national,,2025/26,2025-07-01,2026-06-30,gregorian,original,,007,007 - The Treasury Registrar,007,The Treasury Registrar,10,Administration,1006,Information and Communication Technology Division,,printed,printed,programme,Information and Communication Technology Division,The The Treasury Registrar's in-house ICT unit: staff and running costs of its information systems.,dpi.govtech,whole,"A subvote named as the institution's ICT function; its whole budget, staff and running costs, serves that function, as departmental IT subprogrammes are held elsewhere in this folder.",domestic-state,domestic-revenue,false,,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,,3545975520,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Volume II (Ministerial) recurrent estimates 2025/26, as passed, Vote 007, Programme 10, Subvote 1006, Total of Subvote, column 2025/2026 Estimates, PDF p. 55",2025-07-31-tza-vol-ii-ministerial-estimates-2025-26-as-passed-companion,2026-09-24,,15 GFS items sum to the printed subvote total in every column; the vote's subvotes sum to its printed estimate. The 2026/27 volume prints the same figure as 2025/26 Approved Estimates.
tza-2025-011-1008,TZA,national,,2025/26,2025-07-01,2026-06-30,gregorian,original,,011,011 - President's Office - Planning and Investment,011,President's Office - Planning and Investment,10,Administration,1008,Information and Communication Technology Unit,,printed,printed,programme,Information and Communication Technology Unit,The President's Office - Planning and Investment's in-house ICT unit: staff and running costs of its information systems.,dpi.govtech,whole,"A subvote named as the institution's ICT function; its whole budget, staff and running costs, serves that function, as departmental IT subprogrammes are held elsewhere in this folder.",domestic-state,domestic-revenue,false,,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,,695232000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Volume II (Ministerial) recurrent estimates 2025/26, as passed, Vote 011, Programme 10, Subvote 1008, Total of Subvote, column 2025/2026 Estimates, PDF p. 69",2025-07-31-tza-vol-ii-ministerial-estimates-2025-26-as-passed-companion,2026-09-24,,17 GFS items sum to the printed subvote total in every column; the vote's subvotes sum to its printed estimate. The 2026/27 volume prints the same figure as 2025/26 Approved Estimates.
tza-2025-012-1008,TZA,national,,2025/26,2025-07-01,2026-06-30,gregorian,original,,012,012 - Judicial Service Commission,012,Judicial Service Commission,10,Administration,1008,Information and Communication Technology Unit,,printed,printed,programme,Information and Communication Technology Unit,The Judicial Service Commission's in-house ICT unit: staff and running costs of its information systems.,dpi.govtech,whole,"A subvote named as the institution's ICT function; its whole budget, staff and running costs, serves that function, as departmental IT subprogrammes are held elsewhere in this folder.",domestic-state,domestic-revenue,false,,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,,826534000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Volume II (Ministerial) recurrent estimates 2025/26, as passed, Vote 012, Programme 10, Subvote 1008, Total of Subvote, column 2025/2026 Estimates, PDF p. 76",2025-07-31-tza-vol-ii-ministerial-estimates-2025-26-as-passed-companion,2026-09-24,,17 GFS items sum to the printed subvote total in every column; the vote's subvotes sum to its printed estimate. The 2026/27 volume prints the same figure as 2025/26 Approved Estimates.
tza-2025-013-1008,TZA,national,,2025/26,2025-07-01,2026-06-30,gregorian,original,,013,013 - Financial Intelligence Unit,013,Financial Intelligence Unit,10,Administration,1008,Information and Communication Technology Unit,,printed,printed,programme,Information and Communication Technology Unit,The Financial Intelligence Unit's in-house ICT unit: staff and running costs of its information systems.,dpi.govtech,whole,"A subvote named as the institution's ICT function; its whole budget, staff and running costs, serves that function, as departmental IT subprogrammes are held elsewhere in this folder.",domestic-state,domestic-revenue,false,,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,,209740000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Volume II (Ministerial) recurrent estimates 2025/26, as passed, Vote 013, Programme 10, Subvote 1008, Total of Subvote, column 2025/2026 Estimates, PDF p. 82",2025-07-31-tza-vol-ii-ministerial-estimates-2025-26-as-passed-companion,2026-09-24,,11 GFS items sum to the printed subvote total in every column; the vote's subvotes sum to its printed estimate. The 2026/27 volume prints the same figure as 2025/26 Approved Estimates.
tza-2025-015-1005,TZA,national,,2025/26,2025-07-01,2026-06-30,gregorian,original,,015,015 - Commission for Mediation and Arbitration,015,Commission for Mediation and Arbitration,10,Administration,1005,"Information, Communication and Technology Unit",,printed,printed,programme,"Information, Communication and Technology Unit",The Commission for Mediation and Arbitration's in-house ICT unit: staff and running costs of its information systems.,dpi.govtech,whole,"A subvote named as the institution's ICT function; its whole budget, staff and running costs, serves that function, as departmental IT subprogrammes are held elsewhere in this folder.",domestic-state,domestic-revenue,false,,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,,278391400,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Volume II (Ministerial) recurrent estimates 2025/26, as passed, Vote 015, Programme 10, Subvote 1005, Total of Subvote, column 2025/2026 Estimates, PDF p. 101",2025-07-31-tza-vol-ii-ministerial-estimates-2025-26-as-passed-companion,2026-09-24,,12 GFS items sum to the printed subvote total in every column; the vote's subvotes sum to its printed estimate. The 2026/27 volume prints the same figure as 2025/26 Approved Estimates.
tza-2025-016-1009,TZA,national,,2025/26,2025-07-01,2026-06-30,gregorian,original,,016,016 - Office of Attorney General,016,Office of Attorney General,10,Administration,1009,Information and Communication Technology Unit,,printed,printed,programme,Information and Communication Technology Unit,The Office of Attorney General's in-house ICT unit: staff and running costs of its information systems.,dpi.govtech,whole,"A subvote named as the institution's ICT function; its whole budget, staff and running costs, serves that function, as departmental IT subprogrammes are held elsewhere in this folder.",domestic-state,domestic-revenue,false,,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,,2388472000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Volume II (Ministerial) recurrent estimates 2025/26, as passed, Vote 016, Programme 10, Subvote 1009, Total of Subvote, column 2025/2026 Estimates, PDF p. 113",2025-07-31-tza-vol-ii-ministerial-estimates-2025-26-as-passed-companion,2026-09-24,,18 GFS items sum to the printed subvote total in every column; the vote's subvotes sum to its printed estimate. The 2026/27 volume prints the same figure as 2025/26 Approved Estimates.
tza-2025-019-1006,TZA,national,,2025/26,2025-07-01,2026-06-30,gregorian,original,,019,019 - The Office of the Solicitor General,019,The Office of the Solicitor General,10,Administration,1006,Information and Communication Technology Unit,,printed,printed,programme,Information and Communication Technology Unit,The The Office of the Solicitor General's in-house ICT unit: staff and running costs of its information systems.,dpi.govtech,whole,"A subvote named as the institution's ICT function; its whole budget, staff and running costs, serves that function, as departmental IT subprogrammes are held elsewhere in this folder.",domestic-state,domestic-revenue,false,,TZS,full shillings as printed; the vote tables state Shs and carry no scale factor,,827610000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Volume II (Ministerial) recurrent estimates 2025/26, as passed, Vote 019, Programme 10, Subvote 1006, Total of Subvote, column 2025/2026 Estimates, PDF p. 126-127",2025-07-31-tza-vol-ii-ministerial-estimates-2025-26-as-passed-companion,2026-09-24,,14 GFS items sum to the printed subvote total in every column; the vote's subvotes sum to its printed estimate. The 2026/27 volume prints the same figure as 2025/26 Approved Estimates.
