indicator_id,progress,summary,developments,row_ids
gov.policy--digital-transformation-strategy,Advanced,"A [third national development plan was adopted by decree on 30 June 2026](2026-06-30-conseil-ministres-pnd-adeeg-2025-2030-adoption-adi), after a period with no adopted successor plan.","There was no adopted successor plan at the window's opening. 2026-06-30 - the [2025-2030 plan was adopted by decree in the Council of Ministers](2026-06-30-conseil-ministres-pnd-adeeg-2025-2030-adoption-adi).

The plan text is not held, so its digital content, costing and delivery arrangements are not established from anything on file. The standing frame above it is [Vision 2035, in force at both ends of the window and restated at a Geneva summit in July 2026 as the basis of the digital-hub ambition](2026-07-09-geneva-wsis-djibouti-digital-hub-vision-lanation).",DJI-gov.policy-pnd-adeeg|DJI-gov.policy-vision-2035
gov.policy--ai-strategy,Advanced,The [first national artificial-intelligence strategy is complete and set to launch at a forum on 2 and 3 September 2026](2026-08-13-djibouti-ai-forum-sovereignty-snia-strategy).,"None existed at the window's opening; [development began with United Nations support](2026-01-29 Djibouti develops national AI strategy with UN support), and [support was sought from the telecommunications union and a continental body](2026-07-13 Djibouti Seeks ITU, Smart Africa Support for Telecoms and AI Development).

The strategy is now [complete and set for official launch at the country's first national artificial-intelligence forum, dated 2 and 3 September 2026 at Djibouti-Ville](2026-08-13-djibouti-ai-forum-sovereignty-snia-strategy), the ministry [announcing an artificial-intelligence village at the Palais du Peuple framed around domestic developers and researchers](2026-08-20-intelligence-artificielle-jeunesse-djibouti) and [interministerial coordination for it](2026-08-15-djibouti-ai-forum-interministerial-coordination).

The text is still not held, so the launch date is the only new fact and the content remains unpublished.",DJI-tech.ai-ai-strategy
gov.legislate--data-protection-legislation,No change,"The [data-protection regime sits inside the Digital Code at 156 articles](2025-11-05 Review of Djibouti Data Protection Law), with none of its obligations evidenced in operation.","The regime is [in force within the Digital Code across 156 articles, providing for seventy-two-hour breach notification, mandatory data-protection officers and a public register](2025-11-05 Review of Djibouti Data Protection Law), and [none is evidenced in operation](2025-07-01 Djibouti Digital Code adopted by National Assembly).

Alongside it a [tiered prior-authorisation regime for national-identifier and biometric processing is in force, with no authorisation on record for the police body-camera fleet](2025-11-05 Review of Djibouti Data Protection Law). Nothing amended either in the window: what changed is what is being processed under them, not the law.",DJI-gov.protect-dpl|DJI-gov.protect-prior-auth
gov.legislate--ai-legislation-regulations,No change,"[No artificial-intelligence law, decree or procurement rule is held](2026-01-29-national-ai-strategy-wearetech); the strategy in preparation is not an instrument.","The position is unchanged at both ends of the window: [no law, decree or procurement rule governing artificial-intelligence systems in public use is held](2026-01-29-national-ai-strategy-wearetech), and the strategy under preparation is not an instrument.

It matters more here than the absence alone suggests, because systems are already in public use: a weather early-warning system in service and a memorandum for a compute zone signed. Nothing published states what a public body must do before deploying such a system, who may audit it, or what a person subject to one may contest.",DJI-tech.ai-ai-governance
gov.legislate--e-commerce-legislation,No change,"The [Digital Code, eight volumes and about 800 articles adopted on 30 June 2025, is in force with no implementing decree held](2025-07-02-digital-code-enacted-techafricanews).","The code was [adopted by the National Assembly on 30 June 2025](2025-07-01 Djibouti Digital Code adopted by National Assembly), three weeks before the window opened, and is [in force across eight volumes and about 800 articles](2025-07-02-digital-code-enacted-techafricanews), [explained at length in the state daily](2025-07-13-code-du-numerique-digital-code-explainer-lanation).

No implementing decree is held for any of its volumes. It is the instrument on which the data-protection regime, the prior-authorisation regime and the supervisory commission all rest, and none of the three is evidenced in operation - so a code of eight hundred articles has produced no secondary instrument the base can show in the thirteen months since.",DJI-gov.legislate-digital-code
gov.protect--data-protection-authority,No change,"The [supervisory commission established by the Digital Code has no record of its constitution, membership, register or decisions](2025-11-05 Review of Djibouti Data Protection Law).","The commission is [established by the Digital Code, and the base holds no record of its constitution, membership, register or decisions](2025-11-05 Review of Djibouti Data Protection Law) at either end of the window.

Thirteen months after a code of about eight hundred articles took effect, the body that would enforce its data-protection volume cannot be shown to exist. The public register of processing the same code provides for is therefore also unevidenced, and the prior-authorisation regime has no authority on record to grant an authorisation.",DJI-gov.protect-cndp
gov.protect--national-data-protection-readiness,Regressed,"[Body-worn cameras are in routine police use](2026-08-04-djibouti-bodycam-police-nationale) with no retention period, access rule, data controller or authorising instrument published.","The cameras were not on record at the window's opening. They are now [described as standard issue for the national police and road-safety officers, in routine use in central Djibouti with visible wearing and notification protocols and manual or automatic triggers](2026-08-04-djibouti-bodycam-police-nationale). The account is the state daily's and is framed as reassurance.

No [retention period, access rule, data controller or authorising instrument is published](2026-08-04-djibouti-bodycam-police-nationale), and no prior authorisation for the fleet is on record under the regime the Digital Code requires for biometric processing. A biometric-capable surveillance capability entering routine use while its supervisor cannot be shown to exist is the readiness position.",DJI-gov.protect-bodycam|DJI-gov.protect-bodycam-instrument
gov.regional--regional-legal-harmonisation,Advanced,"The country [signed the United Nations cybercrime convention in Hanoi in October 2025](2025-11-12 Djibouti advances bill to create National Cybersecurity Authority), having ratified the continental convention in 2023.","The [continental convention on cyber security and personal data protection was ratified in November 2023 and is unchanged](2025-11-12 Djibouti advances bill to create National Cybersecurity Authority).

2025-10 - the country [signed the United Nations Convention against Cybercrime in Hanoi as one of seventy-one signatories](2025-11-12 Djibouti advances bill to create National Cybersecurity Authority); no ratification instrument is on file.

Both are ratified or signed by a state whose own data-protection supervisor is unevidenced, so the harmonisation is at treaty level and has no domestic enforcement body the base can point to.",DJI-gov.regional-malabo|DJI-gov.regional-un-cybercrime
finance.budget--sustainable-domestic-financing-of-digital-transformation,Regressed,"The digital agency's [2026 budget was approved at 396,120,056 FDJ, down from 556.7m the year before](2025-12-30-djibouti-conseil-des-ministres-30-decembre-2025).","No domestic digital appropriation was held at the window's opening. 2025-12-30 - the agency's [2026 budget was approved at 396,120,056 FDJ, down from 556.7m FDJ in 2025, with investment of 108.1m FDJ for application firewalls, an archiving system, datacentre colocation and support renewal on the data-exchange layer, the balance largely staff costs](2025-12-30-djibouti-conseil-des-ministres-30-decembre-2025).

That is the agency's whole operating budget rather than a purpose-matched digital line, and the digital-specific component is the investment figure. No separate ministry line or e-government envelope is published, and the [budget law itself carries digital obligations without appropriating against them](2025-12-31-djibouti-loi-de-finances-203-an-25-budget-initial-2026). The arrete is not published, so a Council of Ministers record is the strongest evidence reached.",DJI-finance.budget-budget
finance.new--mobilisation-of-non-state-finance,Advanced,"A [startup fund of funds is provided for in the Startup Act](2026-01-08-djibouti-loi-179-an-25-startup-act), with no implementing decree and no capital committed.","The fund did not exist at the window's opening. It is now [provided for at articles 25 to 28 of the Startup Act, with the management company to be tendered, no implementing decree and no capital committed](2026-01-08-djibouti-loi-179-an-25-startup-act).

It is the only instrument on this ledger addressed to mobilising non-state money for digital ventures, and it stands where the whole Act stands: in force, with every operative detail deferred to decrees that have not been made.",DJI-finance.new-fund-of-funds
