indicator_id,progress,summary,developments,row_ids
gov.policy--digital-transformation-strategy,Advanced,"A [National Digital Strategy](2025-09-22 Namibia to build national data centre under 2025-2029 digital strategy) was published in August 2025 and a [ministry strategic plan and ICT policy](2026-01-29-ict-ministry-launches-strategic-plan-policy-namibian) launched in January 2026, with neither text held.","The digital strategy is in force and the national data centre it calls for was still at concept-note stage a month after publication; the document itself is not held and two sources give its period differently ([strategy](2025-09-22 Namibia to build national data centre under 2025-2029 digital strategy), [readiness](2026-02-16-namibia-building-ai-readiness-coordination-collaboration-isc)).

The ministry's strategic plan and national ICT policy were launched at Opuwo in January 2026, prioritising affordable broadband and mobile coverage in rural and underserved areas, cybersecurity, data protection and electronic government, and naming high data costs, limited infrastructure and unequal access as the barriers; neither document text is held ([plan](2026-01-29-ict-ministry-launches-strategic-plan-policy-namibian)).",NAM-infra.store-digital-strategy|NAM-infra.connect-ministry-strategic-plan-2025-2030
gov.policy--ai-strategy,Advanced,"A [national artificial-intelligence strategy](2026-08-05-namibia-deloitte-ai-strategy-framework) is in development through the [research council working group](2026-02-16-namibia-building-ai-readiness-coordination-collaboration-isc), guided by a completed [readiness assessment](2026-02-16-namibia-building-ai-readiness-coordination-collaboration-isc).","Consultations began under the council's working group and its technical advisory committees; no draft is published, and the ministry states the strategy is sequenced ahead of legislation ([strategy](2026-08-05-namibia-deloitte-ai-strategy-framework), [framework](2026-08-05-namibia-deloitte-ai-strategy), [coordination](2026-02-16-namibia-building-ai-readiness-coordination-collaboration-isc)).

The working group is a multi-stakeholder platform with science, data and skills committees and runs the national strategy process ([group](2026-02-16-namibia-building-ai-readiness-coordination-collaboration-isc)).

A readiness assessment was completed by the council with the education ministry and an international body, and its findings were restated by the authors in February 2026; the report itself is not held ([assessment](2026-02-16-namibia-building-ai-readiness-coordination-collaboration-isc)).",NAM-gov.policy-artificial-intelligence-strategy|NAM-tech.ai-artificial-intelligence-working-group-research|NAM-tech.ai-artificial-intelligence-readiness-assessment
gov.legislate--ai-legislation-regulations,"No change, announced as following the strategy with nothing drafted or tabled","[Artificial-intelligence legislation](2026-08-05-namibia-deloitte-ai-strategy-framework) is announced as following the strategy, and the research council's own authors recorded no governance framework in place.","The minister sequenced legislation behind the strategy, and nothing has been drafted or tabled ([sequencing](2026-08-05-namibia-deloitte-ai-strategy-framework), [framework](2026-08-05-namibia-deloitte-ai-strategy)).

The research council's own authors recorded no artificial-intelligence governance framework in place as at February 2026. A strategy that is itself unpublished cannot yet ground a statute, so both halves of the governance question are pending on the same document.",NAM-gov.policy-artificial-intelligence-legislation
gov.legislate--data-protection-legislation,Stalled,"The [Data Protection Bill](2025-08-14-govt-to-introduce-data-protection-bill-september-namibian) has not been tabled about thirteen years after drafting began, and the [March 2022 draft](2022-03-01-namibia-draft-data-protection-bill-revised-version-mict) remains the last version published for comment.","A tabling was announced for September 2025 ([announcement](2025-08-14-govt-to-introduce-data-protection-bill-september-namibian), [return](2025-08-17-data-protection-bill-returns-to-parliament-namibiansun)) and the bill was still in finalisation in August 2026, with no data-protection statute in force ([finalisation](2026-07-14-namibia-pushes-cyber-security-reforms-itweb), [concerns](2026-08-04-namibia-mp-data-control-concerns-china-smart-city-grant)).

The March 2022 revised draft runs to fifty-nine pages and eight Parts, with the supervisory authority at Part 2 ([draft](2022-03-01-namibia-draft-data-protection-bill-revised-version-mict)).

The 2020 version carries a Part on rights of the data subject, together with Parts on recourse to the judicial authority and on offences and penalties, none of which appears in the 2022 version, where access and correction survive only as controller obligations ([2020 version](2020-01-01-namibia-draft-data-protection-bill-2020-version), [removal](2025-08-17-data-protection-bill-returns-to-parliament-namibiansun)).",NAM-gov.legislate-data-protection-bill|NAM-gov.legislate-data-protection-bill-latest-draft|NAM-gov.protect-data-subject-rights-provisions-data
gov.legislate--cybersecurity-legislation,"Advanced, marginal","A [Cybercrime Bill](2026-07-14-namibia-pushes-cyber-security-reforms-itweb) was named as being finalised in July 2026, with no draft published and no tabling date given.","Enforcement has relied on the electronic transactions statute, the communications statute and the penal code; cabinet approved cybercrime proposals in November 2025 ([proposals](2025-11-21-namibia-cabinet-approves-cyber-crime-proposals-itweb)) and the minister named the bill as being finalised alongside the data protection bill in July 2026 ([finalisation](2026-07-14-namibia-pushes-cyber-security-reforms-itweb)).

The base first names this bill in July 2026, and the national incident response team states in its own report that it cannot fully execute its mandate absent a cybersecurity law.",NAM-gov.legislate-cybercrime-bill
gov.legislate--e-commerce-legislation,No change,"The [Electronic Transactions Act 2019](2023-01-01 Digital Trade Regulatory Integration - Namibia Country Profile) has been in force since March 2021 and covers signatures, consumer protection and contracts but not personal data or cross-border flow.","The Act is the interim instrument law enforcement relies on for cybercrime, with the communications statute and the penal code ([Act](2026-07-14-namibia-pushes-cyber-security-reforms-itweb)).

A regulatory profile records that it does not reach cross-border data flow, data localisation or personal data protection ([profile](2023-01-01 Digital Trade Regulatory Integration - Namibia Country Profile)). Company process under the corporate laws reform is routed through it, so it is doing more work than it was written for.",NAM-gov.legislate-electronic-transactions-act-2019
gov.legislate--access-to-information-legislation,"Advanced, still not commenced","The [Access to Information Act 8 of 2022](2022-12-28-namibia-access-to-information-act-8-of-2022) is gazetted and not commenced, and no Information Commissioner has been appointed.","Section 86 leaves commencement to a date determined by the minister, no commencement notice is held, and the Act runs to ten Parts and eighty-six sections whose compliance deadlines run from commencement ([Act](2022-12-28-namibia-access-to-information-act-8-of-2022)).

Appointment machinery for the Commissioner and Deputy was itself gazetted in December 2024, setting five-year selection committee terms and a five-member quorum, made ahead of the Act's own commencement, so the annual report the Act requires cannot yet exist ([regulations](2024-12-09-namibia-information-commissioner-appointment-regulations)).",NAM-data.open-access-information-statute-information-commissioner
gov.legislate--legislation-covering-digital-id,Advanced,"The [Civil Registration and Identification Act 13 of 2024](2024-12-30 Civil Registration and Identification Act, 2024) is the statutory basis for a single civil register and a unique identity number, and a [gazette notice withdrawing older documents](2026-07-25-namibia-electronic-id-rollout-september-2026) has not issued.","The Act was assented in December 2024 as the basis for a single civil register, a unique identity number and identity-data confidentiality, and was read by officials in July 2026 as permitting institutions to accept either the physical card or its digital version, with disclosure conditional on the holder's consent; the commencement date is not established in this base ([Act](2024-12-30 Civil Registration and Identification Act, 2024), [reading](2026-07-25-namibia-electronic-id-rollout-september-2026)).

The notice that will end the validity of pre-independence cards, older documents and current machine-readable cards has not issued, so until it does the September 2026 card is additive rather than replacing anything ([notice](2026-07-25-namibia-electronic-id-rollout-september-2026)).",NAM-dpi.registry-civil-registration-identification-act-13|NAM-gov.protect-gazette-notice-withdrawing-existing-identity
gov.protect--data-protection-authority,Stalled,"A [Data Protection Supervisory Authority](2022-03-01-namibia-draft-data-protection-bill-revised-version-mict) sits at Part 2 of a draft bill that has not been tabled, and no authority exists.","The draft's stated objects are establishing the authority with its own powers and duties, obligations on controllers and processors, rights for data subjects, and codes of conduct ([draft](2022-03-01-namibia-draft-data-protection-bill-revised-version-mict), [earlier version](2020-01-01-namibia-draft-data-protection-bill-2020-version)).

A civil-society critique of the 2022 consultation argued the sections on the authority's independence need substantial redrafting. Four years on there is no authority, no commencement and no later text.",NAM-gov.legislate-data-protection-bill-latest-draft
gov.regional--regional-policy-collaboration,Advanced,"Memoranda were signed with [Angola](2026-06-11-namibia-and-angola-join-forces-angotic-mou) and [Botswana](2026-08-10-namibia-botswana-trans-kalahari-4g-mou), and cabinet [authorised signature with the Republic of Congo](2026-07-27-namibia-cabinet-approves-ict-mou-with-congo).","The Angolan memorandum covers joint events, exchange of expertise and cybersecurity, with no amount or instrument named ([Angola](2026-06-11-namibia-and-angola-join-forces-angotic-mou)).

The Botswana memorandum was signed at Kasane in August 2026 between the two ministries with their operators and regulators, covering digital transformation, cybersecurity, connectivity and skills; the two sides costed the corridor's remaining 4G gaps at about N$52 million across thirteen new sites and recorded a completed cross-border fibre link, the first direct one between the operators ([Botswana](2026-08-10-namibia-botswana-trans-kalahari-4g-mou), [cooperation](2026-08-07-botswana-namibia-ict-cooperation-mou)).

Cabinet approved a memorandum with the Republic of Congo and authorised the minister to sign, with no scope, financing or signature date published ([Congo](2026-07-27-namibia-cabinet-approves-ict-mou-with-congo)).",NAM-gov.regional-namibia-angola-information-technology-media|NAM-gov.regional-namibia-botswana-information-communication-technology|NAM-gov.regional-namibia-republic-congo-information-technology
