indicator_id,progress,summary,developments,row_ids
gov.policy--digital-transformation-strategy,"Mixed, the 2021-2025 action plan's horizon ended with no successor gazetted while a new national agenda went to strategic consultation","The [action plan's horizon ended on 31 December 2025 with no successor, extension or evaluation held](2025-03-26-cpv-eurico-monteiro-governacao-electronica-cplp), and a [new agenda went to consultation in August 2026](2026-08-07-consulta-estrategica-sobre-o-futuro-digital-de-cabo-verde).","The plan of record was [presented to a lusophone interministerial meeting in March 2025 with interoperability between systems and electronic authentication as its stated components](2025-03-26-cpv-eurico-monteiro-governacao-electronica-cplp). Its horizon ended and no successor plan, extension or evaluation is held, so the 2026 digital-nation statements run without a current published action plan.

2026-08-06 - a [strategic consultation was convened in Praia seating public administration, private sector, academia and named specialists, whose contributions are to feed a national diagnosis and the priorities of an agenda covering modernisation and interoperability, service digitisation, digital skills, business innovation, digital inclusion, data protection and cybersecurity](2026-08-07-consulta-estrategica-sobre-o-futuro-digital-de-cabo-verde). No draft, title, adoption date or budget is held.

The [digital economy strategy is named as an orienting instrument of a bank programme with no adoption instrument, publication date or text held](2026-03-18-bad-financia-segunda-fase-reforma-electronica-177-milhoes-expressodasilhas).

2026-09-10 - the strategy's priorities were restated to a donor rather than in a plan. The prime minister named [state modernisation and digital transformation, alongside climate action, decentralisation and youth opportunity, as the government's priorities for the new phase of its United Nations partnership, at a high-level meeting with the country team in Praia](2026-09-10-cpv-expressodasilhas-modernizacao-estado-parceria-onu). No cooperation framework document, envelope, timetable or named programme accompanies it.",CPV-gov.policy-paegdcv-2021-2025|CPV-gov.policy-national-digital-transformation-agenda|CPV-gov.policy-eedcv|CPV-gov.policy-governance-framework-digital-transformation|CPV-gov.policy-un-partnership-priorities
gov.policy--broadband-strategy,Movement,"A [national 5G strategy was approved by resolution on 20 February 2026](2026-02-16-national-5g-strategy-digital-nation-techafricanews), targeting 90% internet penetration by 2026.","The strategy was [presented as a proposal at the technology park on 10 September 2025 under a World Bank-financed project](2025-09-10-cpv-estrategia-nacional-5g-hub-digital-regional-2030) and [approved by resolution on 20 February 2026, targeting 90% internet penetration by 2026 and regional digital-hub status by 2030, with the economic impact put by government at more than CVE 77 billion by 2036](2026-02-16-national-5g-strategy-digital-nation-techafricanews).

No spectrum assignment, licence award or network build is on file. The [penetration target cannot be tested](2025-09-11-national-5g-strategy-hub-2030-techafricanews) because the repository holds no regulator quarter later than the second of 2025.",CPV-gov.policy-estrategia-nacional-5g
gov.policy--ai-strategy,Movement,"Drafting of a [national artificial-intelligence strategy was kicked off at an EU-supported meeting in April 2026](2026-05-04-national-data-ai-strategies-techafricanews), with no draft text held.","None was published at the window's opening; a [named analyst noted in April 2025 that more than sixty countries had national strategies and argued this one should adopt one](2025-04-07-revolucao-tecnologica-opiniao-expressodasilhas).

2026-04-28 - [drafting was kicked off with senior officials, the Secretary of State for the Digital Economy, external consultants and European Union representatives, the government stating the framework will be designed for responsible and ethical use in the public interest](2026-05-04-national-data-ai-strategies-techafricanews). No draft text, timetable or budget is held.

It was paired with the data strategy in one kick-off and the two are separate instruments, so both now stand at the same stage: launched, unpublished and undated.",CPV-tech.ai-national-ai-strategy
gov.policy--data-governance-policy,"Mixed, a data strategy for the public administration was kicked off while the data-governance diploma announced for 2024 is still unadopted","A [data strategy kicked off on 28 April 2026](2026-05-04-national-data-ai-strategies-techafricanews), while the [diploma announced as a 2024 deliverable is unadopted](2023-11-17-cpv-ministra-edna-oliveira-comissao-especializada-oe2024).","2026-04-28 - a [development process was launched with senior officials, the Secretary of State for the Digital Economy, external consultants and European Union representatives, its stated goal to move government from siloed systems to integrated collection and use of data across departments](2026-05-04-national-data-ai-strategies-techafricanews). No draft, adoption date or lead institution is published.

The binding instrument has not moved: a [diploma regulating data governance in the public administration was announced for drafting in 2024 and is unadopted at 2026-08-06, as is a companion diploma on documentary classification announced in the same statement](2023-11-17-cpv-ministra-edna-oliveira-comissao-especializada-oe2024). It is a distinct instrument from the data-protection law the commission enforces, and its absence is what leaves the strategy without a rule to write into.",CPV-gov.policy-data-strategy-public-administration|CPV-gov.legislate-data-governance-diploma
gov.policy--open-data-policy,Stalled,An [open-data portal named as a 2024 deliverable has not been delivered two years past its stated year](2023-11-17-cpv-ministra-edna-oliveira-comissao-especializada-oe2024).,"The portal was [named as a 2024 deliverable to the National Assembly's First Committee, alongside a database of public bodies, an integrated public-services portal and a human-resources database](2023-11-17-cpv-ministra-edna-oliveira-comissao-especializada-oe2024).

No open-data portal is held two years past that year. Of the four deliverables named together, the integrated services portal did arrive in February 2026, so the failure is specific to open data rather than to the programme as a whole. No policy, licence, catalogue or publication obligation exists in its place.",CPV-data.open-open-data-portal
gov.legislate--data-protection-legislation,No change,"[Lei 133/V/2001 is unamended in the window](2025-02-02-cnpd-faustino-varela-ia-big-data-direitos-expressodasilhas), last changed in 2021 to require designation of data-protection officers.","The [general regime closely mirrors the European standard, with administrative fines of CVE 50,000 to 3,000,000, cessation, blocking and deletion measures and criminal penalties up to two years, amended in 2013 to create the commission and in 2021 to require designation of data-protection officers](2024-01-01 Cabo Verde data protection - Digital Regulations in the Metaverse Era (IBA)).

No amendment is recorded in the window. A [named analyst argued in April 2025 for aligning it with artificial intelligence and adding mechanisms for algorithmic supervision](2025-04-07-revolucao-tecnologica-opiniao-expressodasilhas); no bill is held. The [commission's president said in February 2025 that several institutions had not complied with the officer obligation](2025-02-02-cnpd-faustino-varela-ia-big-data-direitos-expressodasilhas).",CPV-gov.protect-lei-133-v-2001
gov.legislate--legislation-enabling-data-interoperability,Stalled,The [interoperability standards diploma announced for 2024 is unadopted](2023-11-17-cpv-ministra-edna-oliveira-comissao-especializada-oe2024) while interoperability is asserted as working.,"The diploma was [announced for drafting in 2024 under the state-modernisation strategy, with no adoption on record](2023-11-17-cpv-ministra-edna-oliveira-comissao-especializada-oe2024).

There is no evidence it was adopted two years past its stated year, while [interoperability is asserted as a working property of the government portal](2026-02-24-governo-lanca-portal-govcv-modernizar-servicos-publicos-expressodasilhas) and of the company registry. The gap between an asserted interoperability layer and an unadopted standards instrument is the finding: what public systems must do to connect, and who decides, is set by nothing published.",CPV-gov.legislate-interoperability-standards-diploma
gov.legislate--e-commerce-legislation,Movement,"Legal frameworks for digital services, e-commerce and digital banking are [named among the 5G strategy's declared reach](2026-02-16-national-5g-strategy-digital-nation-techafricanews); no bill is held.","The frameworks were [declared as a component of the 5G strategy presented in September 2025](2025-09-10-cpv-estrategia-nacional-5g-hub-digital-regional-2030) and are [named among the declared reach of the strategy approved on 20 February 2026, alongside a regulatory and business framework to support investment](2026-02-16-national-5g-strategy-digital-nation-techafricanews). No bill, draft or diploma is held: it is a stated legislative programme covering three fields, not a named instrument.

Against that, a [dedicated startup law with tax benefits, a special technology economic zone, modern data-protection and digital-transactions laws, simplified business registration and a digital-nomad visa are all stated to be in place](2025-07-31-boost-cv-startup-ecosystem-wearetech), with no instrument number, adoption date, text or take-up figure for the startup law or the visa. That position rests entirely on a minister's summary in trade press.",CPV-gov.legislate-digital-services-legal-frameworks|CPV-tech.innovate-startup-law-nomad-visa
gov.legislate--statistics-legislation,"No change, a standing statute the repository holds for the first time","The national statistical system rests on [Lei 48/IX/2019, gazetted on 19 February 2019](2019-02-19-cpv-bo-lei-48-ix-2019-sistema-estatistico-nacional).","[Lei 48/IX/2019 was gazetted in Boletim Oficial n.o 18 on 19 February 2019 as the governing statute of the national statistical system](2019-02-19-cpv-bo-lei-48-ix-2019-sistema-estatistico-nacional).

The repository carries the statute and the statistical development strategy for 2022-2026, and nothing testing either against practice: no independent evaluation of the statistics institute is held, and the ledger carries that absence as a separate open row.",CPV-data.statistics-lei-48-ix-2019
gov.legislate--access-to-information-legislation,"No change, a standing statute the repository holds for the first time",Cabo Verde has a dedicated access-to-information statute: [Lei 10/X/2022 regulates access to and re-use of administrative documents](2022-05-16-cpv-bo-lei-10-x-2022-acesso-reutilizacao-documentos-administrativos).,"[Lei 10/X/2022, gazetted in Boletim Oficial n.o 47 on 16 May 2022, regulates access to and re-use of administrative documents and administrative information held by the bodies and entities listed in its article 2](2022-05-16-cpv-bo-lei-10-x-2022-acesso-reutilizacao-documentos-administrativos).

The repository holds the gazette's own summary of the law and not its text: the full-issue capture stops before the law begins, and no per-act text was reachable. Nothing on the file states how the right is exercised in practice, what the response times are, or whether any refusal has been appealed.",CPV-data.open-open-data-policy-rti-statute
