row_id,place,subject,section,name,what_would_settle_it,probe_at,disposition
CPV-infra.capacity-technical-capacity-workforce,CPV,infra.capacity,Infrastructure,National technical capacity and public-sector technical capability,"The base holds zero sources tagged infra.capacity for Cabo Verde; a national compute, HPC or public-sector technical-capability statement from the telecommunications directorate or NOSi would open the subject",,
CPV-infra.capacity-arme-institutional-capacity,CPV,infra.capacity,Infrastructure,"The regulator's own budget, staffing and activity",An ARME budget or activity report for any year; the 2026-08-04 acquisition pass recorded the regulator's website timing out on TCP 443 and holds none,,
CPV-infra.connect-5g-spectrum-assignment,CPV,infra.connect,Infrastructure,5G spectrum assignment or licence award,"An ARME spectrum-assignment decision or a national radio frequency plan; the strategy is approved but no band, auction, price or licensee is on file",,
CPV-infra.connect-arme-indicators-after-q2-2025,CPV,infra.connect,Infrastructure,Electronic communications market indicators after Q2 2025,The ARME market indicators report for Q3 2025 onward,,
CPV-infra.connect-submarine-cable-landings,CPV,infra.connect,Infrastructure,Submarine cable landings serving Cabo Verde,"A cable inventory from ARME or the incumbent naming each system, its landing station and its in-service date; the base names an inter-island cable and one branch and nothing else",,
CPV-infra.connect-national-fibre-length,CPV,infra.connect,Infrastructure,National fibre network length,An ARME or incumbent network statement; the only figure in the base is a Secretary of State's trade-press interview,,
CPV-infra.connect-fusi-expenditure,CPV,infra.connect,Infrastructure,"Universal service fund expenditure, projects and beneficiaries","A fund account or activity report, or a Conta Geral do Estado that breaks out the earmarked-revenue counterpart; only the unchanged appropriation figure is held",,
CPV-infra.store-data-centre-capacity,CPV,infra.store,Infrastructure,Installed data-centre capacity,"A technical specification from NOSi or TechPark CV giving rack count, floor area or delivered electrical load in MW for the Praia and Mindelo facilities",,
CPV-infra.store-government-cloud-localisation,CPV,infra.store,Infrastructure,"Government cloud, hosting or data-localisation rule",The interoperability-standards diploma and the public-administration data-governance diploma named as 2024 deliverables; the base holds no evidence either was adopted,,
CPV-infra.energy-electricity-supply-data-centres,CPV,infra.energy,Infrastructure,Electricity supply and cost to Cabo Verde's data centres,"NOSi's accounts for 2025, which would carry the photovoltaic project's implementation and the data centre's energy cost structure",,
CPV-infra.energy-digital-energy-policy,CPV,infra.energy,Infrastructure,Any national policy linking digital infrastructure to energy,"A named instrument; the section's only energy-tagged source carries an undated ministerial statement that electricity capacity will be stabilised, with no figures and no programme",,
CPV-infra.cybersec-national-cybersecurity-strategy,CPV,infra.cybersec,Infrastructure,National Cybersecurity Strategy,The strategy document itself; the base holds only a secondary report that the Secretary of State cited an update of it in a May 2025 interview,,
CPV-infra.cybersec-csirt-incident-statistics,CPV,infra.cybersec,Infrastructure,CSIRT incident statistics,"A CSIRT or SOC annual report giving incidents handled, sectors affected and response times since the 2025-10-30 launch",,
CPV-infra.cybersec-cybercrime-caseload,CPV,infra.cybersec,Infrastructure,Cybercrime caseload and prosecutions,"A judicial police annual report; the base holds three dated warnings from the cybercrime brigade and no case, charge or conviction count",,
CPV-infra.cybersec-election-night-final-audit,CPV,infra.cybersec,Infrastructure,Final forensic audit of the 2026-05-17 election-night incident,The completed external audit report NOSi commissioned; only preliminary findings dated 2026-05-26 are held,,
CPV-data.satellite-earth-observation-programme,CPV,data.satellite,Digital public infrastructure,State use of Earth observation or satellite data,A Cabo Verdean instrument or agreement naming an EO data source or programme; the base holds zero sources on this subject for Cabo Verde at any date,,
CPV-digital.rural-rural-inter-island-service-delivery,CPV,digital.rural,Digital public infrastructure,Rural and inter-island last-mile digital service delivery,"A programme document or budget sub-line naming rural or outer-island service points, or a deployment schedule with locations; the base holds zero sources on this subject for Cabo Verde",,
CPV-digital.localgov-municipal-digital-government,CPV,digital.localgov,Digital public infrastructure,Municipal digital government,"A municipal digital services plan or budget from Praia, Mindelo or the national municipalities association, or the municipal component of the state-modernisation programme broken out",,
CPV-dpi.govtech-services-online-count,CPV,dpi.govtech,Digital public infrastructure,Count or percentage of public services actually online,"The Digital Cabo Verde results framework or an implementation status report with the services-online indicator reported against the 60%-by-2026 target, or a portal service inventory",,
CPV-dpi.govtech-e-procurement-award-date,CPV,dpi.govtech,Digital public infrastructure,Award date and jury report for the e-procurement platform contract,"The jury report or adjudication notice for the electronic public procurement tender, or the contract's publication in the Boletim Oficial",,
CPV-dpi.id-cni-enrolment-count,CPV,dpi.id,Digital public infrastructure,Identity-card enrolment count and mobile-credential activation count,"A justice-modernisation institute or civil-identification activity report, or a registry issuance series; the reference pages carry no volume figure of any kind",,
CPV-dpi.pay-national-payment-switch,CPV,dpi.pay,Digital public infrastructure,National retail payment switch and its transaction volumes,A Banco de Cabo Verde payment-systems report or the national switch operator's annual report with dated transaction and value series,,
CPV-dpi.pay-instant-inclusive-payment-system,CPV,dpi.pay,Digital public infrastructure,Instant and inclusive payment system strategy,"The Banco de Cabo Verde or government instrument approving the strategy, with its date; a self-published NGO report states only that it was approved in 2025",,
CPV-dpi.pay-g2p-payment-digitisation,CPV,dpi.pay,Digital public infrastructure,Government-to-person payment digitisation,"A social-protection or treasury instrument stating how benefits and salaries are disbursed, and what share is electronic",,
CPV-dpi.registry-land-registry-cadastre,CPV,dpi.registry,Digital public infrastructure,Land registry and cadastre digitisation,A territorial management institute or registry directorate report on cadastral coverage and the state of the property register; the justice portal is stated to issue land certificates but nothing states the register behind it,,
CPV-dpi.mis-education-management-information-system,CPV,dpi.mis,Digital public infrastructure,Education management information system,A Ministry of Education systems document or budget sub-line naming a school or student information system,,
CPV-gov.discourse-public-policy-dialogue-mechanism,CPV,gov.discourse,Governance and regulation,"Any named instrument, forum or code of practice on public digital-policy debate",A public-consultation register or a formal policy-dialogue mechanism; the subject carries only two items for Cabo Verde and neither is a nameable object whose position could move,,
CPV-gov.protect-malabo-convention-108-ratification,CPV,gov.protect,Governance and regulation,Ratification of the AU Malabo Convention and accession to Convention 108,"The AU depositary's ratification list, the Council of Europe treaty office's status page, or the national ratification resolution in the Boletim Oficial; the base establishes no signature, ratification or entry-into-force date",,
CPV-gov.protect-cnpd-activity-report,CPV,gov.protect,Governance and regulation,Data-protection commission activity report and any enforcement measure,"A genuine annual activity report for any year after 2016; no complaint count, inspection count, breach notification count, sanction or fine can be stated for Cabo Verde from any date",,
CPV-gov.legislate-cybercrime-statute,CPV,gov.legislate,Governance and regulation,Cybercrime statute and national cybersecurity framework instrument,"The Boletim Oficial texts; the base carries an operational SOC and CSIRT and repeated police cybercrime warnings, but no statute and no prosecution or conviction figure",,
CPV-gov.legislate-artificial-intelligence-statute,CPV,gov.legislate,Governance and regulation,Artificial-intelligence statute,"A bill or diploma in the Boletim Oficial; a named analyst argued for one in April 2025 and the data-protection commission president argued that AI cannot be regulated by operators alone, and the base holds no bill",,
CPV-gov.standards-national-interoperability-framework,CPV,gov.standards,Governance and regulation,National interoperability framework or standards catalogue,"The adopted diploma on interoperability standards announced for 2024, or a published technical standards catalogue; interoperability is asserted as a pillar in every strategy statement from March 2025 onwards and no adopted standard is held",,
CPV-gov.standards-atu-membership-status,CPV,gov.standards,Governance and regulation,Membership status in the African Telecommunications Union,"The union's membership register or the readout of the 2026 ITU Council bilateral; the April 2026 account states that membership-related matters were addressed without saying whether Cabo Verde is a member, an applicant or in arrears",,
CPV-gov.regional-regional-instrument-ratification,CPV,gov.regional,Governance and regulation,Any act of ratification or transposition of a regional or continental digital instrument,"A ratification resolution or transposing diploma in the Boletim Oficial for an ECOWAS supplementary act on data protection or electronic transactions, or for an AU convention",,
CPV-data.open-open-data-policy-rti-statute,CPV,data.open,Governance and regulation,Open-data policy or right-to-information statute,"The Boletim Oficial text of an access-to-information law or an open-data policy instrument; the base holds an announced portal and a fiscal transparency portal in consultation, but no governing legal instrument and no dataset inventory",,
CPV-tech.ai-ai-binding-rule,CPV,tech.ai,Artificial intelligence and the technology sector,Any binding rule on the use of artificial intelligence,"A data-protection commission deliberation or guidance note on automated decision-making, or a draft AI base-law in the Assembly's legislative record",,
CPV-tech.industry-ict-share-of-gdp,CPV,tech.industry,Artificial intelligence and the technology sector,ICT sector share of GDP and ICT sector employment,"A statistics institute national-accounts or business-survey release breaking out the information and communication sector; the 7%-to-25% figures in circulation are ministerial targets, not measurements",,
CPV-tech.industry-techpark-disbursement,CPV,tech.industry,Artificial intelligence and the technology sector,Technology park disbursement statements and Phase I appraisal,African Development Bank disbursement statements for the two technology-park operations and the Phase I appraisal report; both are on the wiki's acquisition list,,
CPV-geopol.india-india-engagement,CPV,geopol.india,Artificial intelligence and the technology sector,Any Indian technology engagement with Cabo Verde,"Nothing is held. An Indian technical cooperation record, an EXIM Bank line of credit, or an India-CPLP or India-Africa Forum commitment naming Cabo Verde would settle it",,
CPV-geopol.gulf-gulf-engagement,CPV,geopol.gulf,Artificial intelligence and the technology sector,Any Gulf technology or data-centre engagement with Cabo Verde,"Nothing is held. A UAE, Saudi or Qatari investment agreement, or an entry in a Gulf sovereign fund's portfolio naming Cabo Verde, would settle it",,
CPV-capacity.literacy-digital-literacy-programme,CPV,capacity.literacy,Inclusion and capacity,National digital literacy programme and skills rate,"An adopted national digital skills and readiness strategy, or the statistics institute's household survey module on ICT use; the digital-readiness study of over a thousand respondents commissioned under Digital Cabo Verde has not been published",,
CPV-capacity.research-national-research-funding-line,CPV,capacity.research,Inclusion and capacity,National research funding line for digital or artificial-intelligence research,"A budget-table entry naming research or the national university's technology and engineering research centre, in any of the FY2024-FY2026 budget documents held",,
CPV-include.access-pracas-digitais,CPV,include.access,Inclusion and capacity,Free public internet points,"A digital economy ministry or universal service fund list of installed sites with dates, or a budget line naming the programme",,
CPV-include.divides-island-level-disaggregation,CPV,include.divides,Inclusion and capacity,Island-level and urban-rural access disaggregation,"The regulator's quarterly indicators broken down by island or municipality, or the census or household survey ICT module at sub-national grain",,
CPV-finance.budget-cnpd-fy2026-appropriation,CPV,finance.budget,Finance,Data-protection commission appropriation for FY2026,"The National Assembly resolution approving the private budget for 2026; no such resolution is indexed in the Boletim Oficial, breaking a series that ran CVE 35,255,451 for FY2024 and CVE 36,313,115 for FY2025",,
