indicator_id,progress,summary,developments,row_ids
gov.policy--digital-transformation-strategy,Stalled,"A [national digital strategy for 2025-2030](2025-05-28-wearetech-togo-digital-strategie-2025-2030) reached consultant procurement with no adoption reported, under a [government roadmap](2026-08-01-togo-vision-2040-deep-dive-secteur-prive) whose text is not held.","Neither the 2020 strategy nor the 2025-2030 draft is held, and the base does not settle whether the two names denote one instrument or two ([strategy](2025-05-28-wearetech-togo-digital-strategie-2025-2030), [toolbox](2026-06-10-atd-boite-outils-digitaux-tpme)).

The roadmap for 2026-2031 is present only through the government's own account of a private-sector contribution workshop convened under it; the government said it would specify by the end of 2026 the reciprocal commitments it will offer the private sector ([roadmap](2026-08-01-togo-vision-2040-deep-dive-secteur-prive), [financing](2026-08-03-ecofin-togo-secteur-prive-financement-vision-2040)).

Two overarching instruments, neither readable, is the frame against which every delivery below has to be read.",TGO-gov.policy-togo-digital-2025-2030-national|TGO-gov.policy-government-roadmap-for-2026-2031
gov.policy--ict-strategy,No change,The [electronic communications and posts regulator](2026-07-31-togo-michel-yaovi-galley-head-of-arcep-togo) was created in October 2020 in an institutional reform replacing its predecessor.,"The creation date is held at month precision, and a claim that the country's framework is a model for other African markets is the publisher's and uncorroborated ([regulator](2026-07-31-togo-michel-yaovi-galley-head-of-arcep-togo), [broadband](2026-04-21-artao-ppp-haut-debit)).

The regulator is the most active institution in this ledger — it runs the frequency plan, the fee decrees, the consumer tour and the quality regime — and no annual report, budget or enforcement series for it is held.",TGO-gov.policy-regulatory-authority-for-electronic-communications
gov.policy--broadband-strategy,Advanced,A [decree approving the national frequency allocation plan](2026-03-11-togo-decret-2026-037-pnaf) was adopted in March 2026 and published by the regulator in April.,"The decree was adopted in Council of Ministers on 11 March 2026 and published on 15 April; the superseded 2022 decree is not held and carries no exact date in the base ([plan](2026-03-11-togo-decret-2026-037-pnaf), [royalties](2026-07-31-togo-ajuste-reglementation-redevances-radioelectriques-innovation-connectivite)).

A frequency allocation plan adopted and published is the most concrete piece of connectivity policy this unit produced in the period, and no assignment, auction or award has followed it on the record.",TGO-gov.standards-decret-n-2026-037-pc
gov.legislate--data-protection-legislation,No change,"A [personal data protection law of ninety-seven articles](2019-10-29-togo-loi-2019-014-protection-donnees-caractere-personnel) was gazetted in October 2019, and what moved in the period is the base's holding of it rather than the instrument.","The law was gazetted on 29 October 2019 and the gazette's own signature block is dated a day after the title date ([law](2019-10-29-togo-loi-2019-014-protection-donnees-caractere-personnel), [implementation](2023-12-21 ISR - WURI Phase 2 Seq 06 (P169594))).

The instrument did not move in the window. It is the statute that created the protection authority by an article rather than by a separate constitutive act, and it is the basis for the corporate correspondents programme recorded separately.",TGO-gov.protect-loi-n-2019-014-on
gov.legislate--digital-payments-legislation,Advanced,"An [anti-money-laundering law](2025-12-30 Togo Adopts New Law to Strengthen Anti-Money Laundering Rules) was adopted in the December 2025 budget session, with no promulgation date, number or gazette reference held.","The source gives only the budget session, so the vote date is not established ([law](2025-12-30 Togo Adopts New Law to Strengthen Anti-Money Laundering Rules)).

It is the only payments-adjacent statute in this ledger, and its text cannot be read. Against six institutions live on the regional instant payment platform and a treasury prepaid card announced, the governing law is present as a headline.",TGO-gov.legislate-anti-money-laundering-law-of
gov.legislate--e-commerce-legislation,Advanced,"[Rules on mobile commercial offers](2026-07-22-maroc-telecom-rapport-financier-semestriel-2026) entered into force in April 2026, recorded in one line of an operator parent's half-year financial report.","No instrument number, title or text is held, and the sole account is a single line in a foreign-listed operator's financial filing ([rules](2026-07-22-maroc-telecom-rapport-financier-semestriel-2026)).

A rule that changes what operators may offer consumers, evidenced only in the accounts of the company it binds, is worth recording as exactly that. The consumer-rights tour recorded separately is running in the same period with no reference to it on file.",TGO-gov.legislate-rules-on-mobile-commercial-offers
gov.legislate--legislation-covering-digital-id,Advanced,"A [review of the 2009 civil registration law](2026-08-24-togo-civil-registration-law-review-togofirst) held its scoping meeting, with proposals due before the end of 2026.","The scoping meeting was held in August 2026 ([review](2026-08-24-togo-civil-registration-law-review-togofirst)).

It is the statute under which the birth-registration catch-up campaigns and the online certificate pilot operate, and the review is the first movement on it the base holds. No draft or proposal is on record.",TGO-gov.legislate-civil-registration-law-review
gov.standards--national-quality-standards,Advanced,"A [decree instituting a national conformity-assessment mechanism](2026-07-31-togo-conseil-des-ministres-30-juillet-2026-communique) was adopted in July 2026 with no number, text or entry-into-force date held, at the same session as a [fee and royalty amendment](2026-07-31-togo-conseil-des-ministres-30-juillet-2026-communique).","The conformity decree was adopted in Council of Ministers on 30 July 2026 and nothing about its content is published ([decree](2026-07-31-togo-conseil-des-ministres-30-juillet-2026-communique)).

The 2023 electronic-communications fees and royalties decree had one annex table amended at the same session; the held copy is an image scan with no text layer, so the rate tables are not machine-readable ([fees](2023-04-05-togo-decret-2023-040-frais-redevances-communications-electroniques), [amendment](2026-07-31-togo-conseil-des-ministres-30-juillet-2026-communique)).

Two instruments adopted in one session, neither readable, is a recurring condition in this unit rather than an accident of one meeting.

2026-08-31 — the National Accounting Council was launched in Lomé, the body a regional directive of 28 November 1997 requires each member state to establish, tasked with making accounting information reliable, comparable and consistent with international standards ([launch](2026-08-31-togofirst-national-accounting-council), [directive](1997-11-28-uemoa-directive-03-97-conseil-national-comptabilite)). Twenty-nine years between the obligation and the institution is the finding; unlike the two July decrees, this one has a named text behind it.",TGO-gov.standards-decree-instituting-a-national-conformity|TGO-gov.legislate-decret-n-2023-040-pr|TGO-gov.standards-national-accounting-council
gov.protect--data-protection-authority,Advanced,"The [data-protection authority](2025-03-29-ipdcp-demarre-activites) formally launched activities with a public campaign from April 2025, and [signed a cooperation accord with the broadcasting authority](2025-12-12 Personal data and digital rights in Togo - HAAC and IPDCP seal institutional cooperation accord).","The authority was created by an article of the 2019 statute rather than by a separate constitutive act, launched activities at the capital, certified a first cohort of corporate correspondents and held a second edition of a personal-data forum in July 2026 ([launch](2025-03-29-ipdcp-demarre-activites), [correspondents](2026-06-25-ipdcp-forme-premiers-correspondants), [forum](2026-07-29-togofirst-data-protection-forum-lome), [edition](2026-07-29-togo-ipdcp-deuxieme-edition-forum-protection-donnees-personnelles)).

The accord with the broadcasting authority was signed in December 2025; the sole account is sourced to the data-protection authority itself and carries no critical framing of that access ([accord](2025-12-12 Personal data and digital rights in Togo - HAAC and IPDCP seal institutional cooperation accord)).

No enforcement action, penalty, complaint volume or registration count is published at any date.",TGO-gov.protect-instance-de-protection-des-donnees|TGO-gov.protect-cooperation-accord-between-the-broadcasting
gov.regional--cross-border-data-transfers,Advanced,"A [regional dialogue on border interoperability](2026-08-14-togo-ghana-ecowas-enbic-sigmat-border-interoperability) was held at a joint border post, with no data-protection arrangement stated for the shared border and transit data.","The dialogue took place in August 2026 at a joint post on the coastal corridor ([dialogue](2026-08-14-togo-ghana-ecowas-enbic-sigmat-border-interoperability)).

No deployment figure, timetable or data-protection arrangement for the shared border and transit data is stated. The country has a data-protection statute and an operating authority, and neither is named in the arrangement.",TGO-gov.regional-abidjan-lagos-corridor-interoperability
gov.regional--regional-legal-harmonisation,No change,"[Transposition of the regional consumer-protection directive](2025-03-24 Togo Adopts WAEMU Consumer Protection Framework) has reached consultation only, a stakeholder workshop in March 2025 with no adoption instrument.","The source's headline says the framework was adopted and its body describes a workshop; the base has already corrected that ([workshop](2025-03-24 Togo Adopts WAEMU Consumer Protection Framework)).

Nothing since. The consumer-rights outreach tour recorded separately runs on the regulator's existing powers rather than on a transposed directive.",TGO-gov.regional-transposition-of-the-regional-consumer
