row_id,place,subject,section,kind,name,status,published,milestone,since,movement,position_start,position_end,sources,probe_at,note
SEN-infra.connect-2africa-cable-landing-station,SEN,infra.connect,Infrastructure,instrument,2Africa cable landing station,Implemented,2026-02-23,Commissioned December 2025,2025-12-01,Advanced,"Landing station built, not in service","In service: sixteen fibre pairs, 180 Tbps, carrier-neutral open access",2026-02-23-techafricanews-sonatel-2africa-cable,,a month-precision event date; the wiki holds no day
SEN-infra.connect-ebrd-network-facility,SEN,infra.connect,Infrastructure,instrument,EBRD network facility,Implemented,2026-07-13,The facility extended 2026-07-13,2026-07-01,Advanced,Did not exist: the bank held no Senegal investment,"A senior facility of up to EUR 270m, EUR 170m committed and EUR 100m uncommitted, for 4G, 5G and accelerated fibre in Senegal and Kenya","2026-07-13 EBRD Extends €270m Financing to Yas for Kenya, Senegal Network Expansion",,the bank's first Senegal project and its first sub-Saharan local-currency structure; Senegal's share is not disaggregated
SEN-infra.connect-fixed-broadband-subscribers,SEN,infra.connect,Infrastructure,measure,Fixed broadband subscribers,,2026-04-22,"Full-year 2025 results, reported 2026-04-22",,Advanced,"About 0.92m (2024, implied by the stated growth)","1.16m at 2025-12-31, of which more than 640,000 fibre-to-the-home",2026-04-22-techafricanews-sonatel-ftth-annual-report,,the operator committed to one million new fibre sockets between 2026 and 2028
SEN-infra.connect-gandoul-teleport-satellite-gateway,SEN,infra.connect,Infrastructure,instrument,Gandoul teleport satellite gateway,Implemented,2026-07-10,"Gateway in service, reported 2026-07-10",2026-07-01,Advanced,Did not exist: a 1972-era teleport with no low-orbit gateway,Sixteen new antennas and a Tier III room linking a low-orbit constellation to terrestrial networks,2026-07-10-techafricanews-sonatel-gandoul-oneweb,,the publication date is used; the source states no commissioning date
SEN-infra.connect-mobile-network-latency,SEN,infra.connect,Infrastructure,measure,Mobile network latency,,2026-07-21,A measurement covering January to July 2026,,Baseline not held,,"35.4 ms, second in sub-Saharan Africa behind Togo at 28.8 ms",2026-07-21-seneweb-latence-mobile-connectivite,,no prior Senegal latency figure is held
SEN-infra.connect-rural-household-internet-access,SEN,infra.connect,Infrastructure,measure,Rural household internet access,,2026-03-09,Stated at end-2025,,Baseline not held,,3% of rural households,2026-03-09-connectingafrica-free-internet-cyber-risks,,"sits against 4G reaching 97% of the population in 2025, so it is a usage gap rather than a coverage gap"
SEN-infra.connect-satellite-operating-authorisation,SEN,infra.connect,Infrastructure,instrument,Satellite operating authorisation,Implemented,2026-04-02,"A five-year authorisation granted, February 2026",2026-02-01,Advanced,Did not exist: no satellite-operator authorisation framework and no service live,"A five-year renewable authorisation with local-supervision, data-sovereignty and local-operator clauses, with the regulator enforcing against unauthorised Wi-Fi resale",2026-02-24-sen-aps-starlink-autorisation-cinq-ans|2026-02-05-sen-artp-starlink-cadre-autorisation|2026-04-02-senegal-artp-illegal-wifi-warning,,"commercial launch about 2026-02-04, Senegal the operator's 26th African market"
SEN-infra.connect-senegal-togo-benin-free,SEN,infra.connect,Infrastructure,instrument,"Senegal, Togo and Benin free roaming",Implemented,2026-04-27,Took effect 2026-04-24 at Lomé,2026-04-01,Advanced,Did not exist between the three states,"Free incoming calls for up to thirty consecutive days, outgoing calls and messages at visited-country local rates, and surcharges on incoming international traffic removed",2026-04-27-techreviewafrica-senegal-togo-benin-free-roaming,,"implements a regional regulation adopted in December 2017, applied only now"
SEN-infra.connect-tower-operator-investment,SEN,infra.connect,Infrastructure,instrument,Tower operator investment,Planned,2026-07-21,Announced at a presidential meeting 2026-07-16,,Advanced,Did not exist as a stated position,"An announced intent of US$150m, with no signed agreement, schedule, site count, disbursement window or counterparty operator",2026-07-20-helios-towers-150-million-senegal-digital-infrastructure|2026-07-21-helios-towers-commits-150m-to-senegal-expansion,,"the account traces solely to the Presidency; trade press moved from plans to commitment in a day with no new evidence, and the operator already ran 1,479 Senegal sites in the first quarter of 2026"
SEN-infra.connect-universal-connectivity-project,SEN,infra.connect,Infrastructure,instrument,Universal connectivity project,Piloting,2026-04-11,Deployment tour opened 2026-04-09,,"Advanced, slipped",No state free-connectivity programme and no satellite operator authorised,"A kit tour running across three regions, with a first lot of 200 of 1,000 gifted kits; the one-million-beneficiary target moved from the first half of 2026 to end-2026, with no beneficiary count published",2026-04-09-lesoleil-connectivite-universelle-tournee|2026-04-11-lesoleil-alioune-sall-kolda-starlink|2026-02-04-lesoleil-starlink-5000-kits,,the target was restated between February and April and the first half closed with nothing published
SEN-infra.connect-via-africa-cable-landing,SEN,infra.connect,Infrastructure,instrument,Via Africa cable landing,Planned,2026-05-23,Announced 2026-05-12 at a continental summit,,Advanced,Did not exist,"Senegal a named landing point on an Atlantic corridor of over 20,000 km; a three to four year build with no Senegal-specific date","2026-05-23 Orange-backed subsea cable to connect Nigeria, 19 other countries",,"no landing-site, financing or contract detail is held for the Senegal leg"
SEN-infra.store-cloud-residency-zones-operator,SEN,infra.store,Infrastructure,instrument,Cloud residency zones in operator data centres,Implemented,2024-05-30,In service from 2024-05-30,2024-05-01,No change,Operating: data-residency zones inside in-country operator data centres,"Operating; no expansion, region upgrade or usage figure reported",2024-05-30 Orange and AWS partner to deliver cloud services in Morocco and Senegal,,"Senegal has no full cloud region, and this is the residency substitute"
SEN-infra.store-diamniadio-data-centre,SEN,infra.store,Infrastructure,instrument,Diamniadio national data centre,Implemented,2025-09-18,Commissioned June 2021,2021-06-01,No change,"In operation, with a server-localisation requirement in force","In operation; no capacity, utilisation or migration-completion figure held",2025-09-18-bagwandeen-huawei-african-data-sovereignty-georgetown|2021-01-01-eximbank-cn-sen-003-diamniadio-data-centre-restructuring-and-smart,,"US$18.2m, externally financed and built; the figures come from an academic analysis citing secondary sources, with no Senegalese primary held"
