recipient_country,start_year,end_year,financier,sector,instrument,commitment_usd_m,amount_basis,amount_quality,status,title,description,beneficiary_type,recipient_organisation,original_amount,project_id,iati_activity_id,url,financier_slug,record
MOZ,2026,,European Union,Digital divides,MoU,,,stated commitment,Approved,EU commits €28 million to Mozambique digital transformation under Global Gateway,"""Digital transformation has been allocated €28 million, with a particular focus on
increasing women's participation in the digital economy."" One of four Global Gateway
agreements — clean energy €40m, digital transformation €28m, agricultural businesses and
sustainable value chains €60m, education and skills €50m — totalling €178 million,
described by the source as ""the signing of four agreements"".

Only the digital transformation slice is recorded here; the energy and agriculture slices
are out of the wiki's scope, and the €50m education and skills line is recorded on the
prose source rather than as a separate digital record because its stated purpose
(""to prepare Mozambican students for a digital and sustainable economy"") is not specific
enough to a digital activity to map cleanly.",Public Sector,recipient organisation unspecified,"EUR 28,000,000",,,https://360mozambique.com/economy/markets-finance-eu-and-mozambique-seek-to-take-partnership-to-the-next-level/,european-union,2026-06-09-eu-moz-001-global-gateway-digital-transformation
MOZ,2026,2030,U.S. Department of State,Sectoral management information systems,Unknown,83,commitment,verified,Pipeline,"U.S. Department of State — Mozambique health data systems under the America First Global Health Strategy MOU, 2025","""2.5.3 Funding Plan: The U.S. Government intends to provide the following amount of funding for data systems in each of the specified years, subject to the availability of funds: 2026 $16,666,385; 2027 $28,230,116; 2028 $18,533,429; 2029 $11,129,710; 2030 $8,512,439.""

The money builds SIS-RME (the integrated electronic medical record absorbing the US-built SESP patient tracking system, transferred to Mozambican management by 2026-06-20), SIS-LAB, the eVIDR outbreak surveillance platform, nSIMAM commodity logistics, a health data exchange due functional by end-2026 and a national health data warehouse due operational by end-2027. ""Development of data systems funded by the U.S. Government are expected to be fully led and owned by the Government of Mozambique with technical assistance and workplan oversight by the U.S. Government"" (2.5.1). The US reserves the right to ""revisit its funding levels"" if no mutually acceptable technology roadmap is agreed (2.5.3).

The sum is one line of a wider MOU whose total planned US support is US$1,829,380,000 against Mozambique's US$70,573,106 (Appendix 1). Non-binding: ""This MOU is not an international agreement"" (6.9).",Public Sector,Government of Mozambique / Ministry of Health,,,,https://www.citizen.org/wp-content/uploads/2026-0008QN-Mozambique-Health-12.15.2025.pdf,us-department-of-state,2025-12-15-state-moz-afghs-data-systems-2025-record
MOZ,2025,,Export-Import Bank of China (China Eximbank),Connectivity,Commercial Loan,200,commitment,estimated,Pipeline,Tmcel Telecommunications Network Second Expansion Financing,,Public Sector,Mozambique Telecom SA (Tmcel),,,,https://clubofmozambique.com/news/tmcel-secures-us200-million-on-very-good-terms-for-modernisation-and-expansion-151082/,china-eximbank,2025-01-01-eximbank-cn-moz-005-tmcel-telecommunications-network-second-expansion-financing
MOZ,2023,2027,International Telecommunication Union (ITU),Connectivity,Technical Assistance,2,commitment,estimated,Active,Laying the Foundation for VaMoz Digital (Mozambique),ITU is implementing agency for the regulatory and policy component of the EU-funded VaMoz Digital! programme in Mozambique. Project strengthens enabling environment for inclusive digital transformation through: policy and regulatory framework reform; institutional capacity development for telecom regulators; digital skills curriculum; and fostering a digital innovation ecosystem. ITU component (Outcome 1) of broader EUR 10M VaMoz Digital! programme (EU Global Gateway flagship). AICS implements complementary youth digital skills component.,Public Sector,Ministry of Communications and Digital Transformation; INTIC,"CHF 2,244,820",9MOZ23005,,https://www.itu.int/net4/ITU-D/CDS/projects/display.asp?ProjectNo=9MOZ23005,itu,2023-01-01-itu-moz-vamoz-digital-2023-laying-the-foundation-for-vamoz-digital
MOZ,2022,2028,World Bank,Connectivity,Concessional Loan,200,commitment,exact,Active,Mozambique Digital Acceleration Project,"Accelerates Mozambique's digital economy through expanded broadband access, digital government services, digital financial infrastructure, and digital skills programs.",Public Sector,Republic of Mozambique,,P176459,44000-P176459,https://projects.worldbank.org/en/projects-operations/project-detail/P176459,world-bank,2022-07-15-wb-moz-001-mozambique-digital-acceleration-project
MOZ,2022,2029,European Union,Strategies plans and policies,Grant,24,commitment,rounded,Active,VaMOZ Digital!,"Mozambique remains one of the bottom ten countries in the world in terms of human development, aggravated by increasing inequality in recent years, including significant gender differences, Gini-coefficient rose to 0.56 (2014/15) from 0.47 (2008/9), placing Mozambique among the most unequal countries in Sub-Saharan Africa, substantial disparities between North and south and urban versus rural area",Public Sector,,"EUR 22,500,000",2022600315,XI-IATI-EC_INTPA-2022-ACT-60671,https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-EC_INTPA-2022-ACT-60671,european-union,2022-01-01-ec-moz-002-vamoz-digital
MOZ,2022,2030,European Union,ICT Industry,Grant,8,commitment,rounded,Active,National Control Centre for Energy,"The country has set ambitious targets for its energy sector: by 2030, universal access as well as 62% of renewable energy in the energy mix, and 20% of solar and wind generation in 2043. However, these targets are hampered by the fact that Mozambique does not have an appropriate control of its electricity grid. The Mozambican power grid currently comprises two independent and unconnected sub-grids",Public Sector,,"EUR 8,008,000",2022600215,XI-IATI-EC_INTPA-2022-ACT-60663,https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-EC_INTPA-2022-ACT-60663,european-union,2022-01-01-ec-moz-007-national-control-centre-for-energy
MOZ,2021,2027,World Bank,Connectivity,Concessional Loan,343,commitment,rounded,Active,Sustainable Energy and Broadband Access in Rural Mozambique Project,Expands rural broadband access and provides sustainable energy in Mozambique through shared infrastructure investment. Supports last-mile broadband connectivity alongside rural electrification.,Public Sector,Republic of Mozambique,,P175295,44000-P175295,https://projects.worldbank.org/en/projects-operations/project-detail/P175295,world-bank,2021-12-14-wb-moz-002-sustainable-energy-and-broadband-access-in
MOZ,2021,2027,World Bank,Other GovTech and e-Gov,Grant,150,commitment,exact,Active,Digital Governance and Economy Project,"Supports Mozambique's digital governance and economy through improved digital government platforms, broadband infrastructure, and digital financial services.",Public Sector,Republic of Mozambique,,P172350,44000-P172350,https://projects.worldbank.org/en/projects-operations/project-detail/P172350,world-bank,2021-09-23-wb-moz-003-digital-governance-and-economy-project
MOZ,2021,2023,Global Affairs Canada,Digital Identity and CRVS,Grant,5,commitment,estimated,Closed,"Vital Statistics in Support of Maternal, Newborn and Child Health \u2014 Mozambique (Phase 2)","Phase 2 continuation: accelerates birth and death registration, expands civil registration digital infrastructure, and increases vital statistics data quality in Mozambique to support MNCH outcomes.",Public Sector,UNICEF Mozambique,"CAD 6,500,000",CA-3-P001300002,CA-3-P001300002,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=CA-3-P001300002,global-affairs-canada,2021-01-01-gac-moz-vital-stats-mnch-2021-vital-statistics-in-support-of-maternal
