recipient_country,start_year,end_year,financier,sector,instrument,commitment_usd_m,amount_basis,amount_quality,status,title,description,beneficiary_type,recipient_organisation,original_amount,project_id,iati_activity_id,url,financier_slug,record
MDG,2026,,Indonesian Agency for International Development (Indo-Aid),Other GovTech and e-Gov,Unknown,,,reported,Approved,"Indo-Aid — Madagascar Maritime Single Window, 2026","""Madagascar a bénéficié d'un financement de plus de 3,4 milliards de roupies indonésiennes, soit environ 816 millions d'ariary, à travers l'Agence indonésienne pour le Développement international (Indo-Aid). Ces fonds serviront à déployer le Maritime Single Window, une plateforme numérique destinée à centraliser les procédures administratives portuaires. Ce financement a été accordé à l'occasion du lancement officiel du projet Integrate à Jakarta, le 27 juillet, dans le cadre de la coopération bilatérale entre Madagascar et l'Indonésie.""

The programme also carries a capacity-building component: fifteen Malagasy experts will train in Indonesia, and six Indonesian experts will travel to Madagascar to support a Gap Analysis and the harmonisation of administrative procedures ahead of deployment, per IMO FAL Convention standards.",Public Sector,"Agence portuaire, maritime et fluviale (APMF)","IDR 3.4 billion (~MGA 816 million, as stated by the source, 7 August 2026)",*(none stated)*,,https://newsmada.com/2026/08/07/deploiement-de-maritime-single-window-lindonesie-debloque-816-millions-dariary/,indo-aid,2026-07-27-indo-aid-mdg-2026-maritime-single-window
MDG,2026,,World Bank,Registries,Unknown,225,commitment,exact,Approved,"World Bank — PRODUIRE2 Integrated Urban Development and Resilience Project for Jobs, Madagascar, 2026","""The World Bank Group has approved US$225 million in financing for the Integrated Urban Development and Resilience Project for Jobs (PRODUIRE2) to strengthen climate resilience, improve infrastructure, and create more and better jobs in Greater Antananarivo and Greater Toamasina."" ""By 2032, the project aims to bring climate-resilient infrastructure to 1.5 million people, reconstruct 20,000 homes to resilient standards, issue land documentation for 50,000 parcels, and generate approximately 17,000 jobs."" ""The project will also address insecure land tenure – nearly half of the land in Antanarivo lacks formal titles, a key barrier to urban development and investment. PRODUIRE2 will support land regularization and digital land services to help residents obtain legally recognized documentation and streamline transactions. At least 40 percent of new land documents issued will include women as sole or joint rights holders."" PRODUIRE2 is co-supported by the Global Facility for Disaster Reduction and Recovery (GFDRR) and the Quality Infrastructure Investment (QII) Partnership financed by the Government of Japan (technical/analytical assistance, not counted as separate co-financing sums here — none stated).",Public Sector,Government of Madagascar,"US$225,000,000",,,https://www.worldbank.org/en/news/press-release/2026/07/06/madagascar-to-boost-urban-resilience-and-jobs-in-antananarivo-and-toamasina,world-bank,2026-07-06-world-bank-mdg-2026-02-produire2-urban-resilience
MDG,2026,,World Bank,Energy,Unknown,250,commitment,exact,Approved,"World Bank — ASCENT Madagascar energy-access programme, 2026","""The World Bank Group has approved a $250 million program to help Madagascar accelerate and expand access to affordable and reliable energy while strengthening the financial and operational performance of the national electricity utility, JIRAMA."" ""The Accelerating Sustainable and Clean Energy Access Transformation in Madagascar (ASCENT Madagascar) program will boost Madagascar's efforts to provide electricity and modern cooking solutions to more than 2.5 million people by 2030."" ""The program represents a landmark achievement as Madagascar's first-ever Program for Results (PforR) operation, directly linking World Bank Group financing to independently verified outcomes."" Scope: 200,000 new JIRAMA grid connections; hybridisation of 30 isolated power centres with solar/battery; 312,500 off-grid connections via ADER (mini-grids, solar home systems); 1.5 million clean cooking appliances; JIRAMA financial/operational reform.",Public Sector,Government of Madagascar,"US$250,000,000",,,https://www.worldbank.org/en/news/press-release/2026/05/06/madagascar-new-world-bank-program-set-to-provide-reliable-and-affordable-energy-to-over-2-5-million-people-by-2030,world-bank,2026-05-06-world-bank-mdg-2026-ascent-madagascar-energy
MDG,2023,2028,World Bank,Connectivity,Concessional Loan,400,commitment,exact,Active,Digital and Energy Connectivity for Inclusion in Madagascar Project,"Expands access to electricity and broadband internet in rural Madagascar, covering last-mile connectivity and digital infrastructure for underserved communities. Combines digital and energy components.",Public Sector,Republic of Madagascar,,P178701,44000-P178701,https://projects.worldbank.org/en/projects-operations/project-detail/P178701,world-bank,2023-03-30-wb-mdg-001-digital-and-energy-connectivity-for-inclusion
MDG,2022,2027,World Bank,Digital Payments and Fintech,Concessional Loan,25,commitment,imputed,Active,Madagascar Safety Nets and Resilience Project \u2014 Mobile Money Delivery Component,"Digital payment delivery sub-component (~$25M imputed of $250M total) of the Madagascar Safety Nets and Resilience Project. Supports mobile money integration for direct cash transfer delivery, beneficiary digital ID registration, and electronic payment systems for social protection.",Public Sector,,,P179466,,https://projects.worldbank.org/en/projects-operations/project-detail/P179466,world-bank,2022-12-21-wb-mdg-003-madagascar-safety-nets-and-resilience-project
MDG,2021,2026,MIGA,Digital Payments and Fintech,Guarantee,5,commitment,exact,Closed,Airtel Mobile Money Madagascar \u2013 Digital Financial Services Guarantee,"MIGA political risk guarantee covering The Rise Fund II Aurora S.à r.l. (TPG private equity) equity investment in Airtel Mobile Commerce B.V.'s subsidiary providing Airtel Money digital financial services in Madagascar. Services include mobile wallet (cash-in/cash-out), airtime recharging, bill payments, merchant payments; with international transfers, savings and microloans in some markets. Risks: war and civil disturbance, expropriation, transfer restriction and inconvertibility for up to 5 years.",Private Sector,Airtel Mobile Commerce,,MIGA-14899,,https://www.miga.org/project/airtel-mobile-commerce,miga,2022-01-01-miga-mdg-airtel-mobile-money-2022-airtel-mobile-money-madagascar-digital-financial
MDG,2021,2026,African Development Bank (AfDB),Other GovTech and e-Gov,Technical Assistance,1,commitment,rounded,Active,Madagascar - Project to strengthen governance through digitisation,"The proposed Project for Strengthening Governance through Digitalisation (PREGODI) aims to support the Government of Madagascar's efforts to improve governance and public financial management through increased digitalisation. The grant is for a total amount of one million (1,000,000) Units of Accoun...",Public Sector,,"XDR 1,000,000",P-MG-KA0-013,46002-P-MG-KA0-013,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=46002-P-MG-KA0-013,african-development-bank,2021-01-01-afdb-mdg-001-madagascar---project-to-strengthen-governance
MDG,2020,2026,World Bank,Digital Identity and CRVS,Concessional Loan,143,commitment,exact,Active,Digital Governance and Identification Management System Project,"Supports Madagascar's digital governance and national ID system through digital identification infrastructure, e-government platforms, and digital financial services.",Public Sector,Government of Madagascar,,P169413,44000-P169413,https://projects.worldbank.org/en/projects-operations/project-detail/P169413,world-bank,2020-09-29-wb-mdg-002-digital-governance-and-identification-management-system
MDG,2020,,Export-Import Bank of China (China Eximbank),Connectivity,Concessional Loan,55,commitment,exact,Approved,China Eximbank provides RMB 337.9 million government concessional loan for Telecommunications Network Modernization Project,"On December 2, 2019, China Eximbank and the Government of Madagascar signed a preferential loan framework agreement for the Telecommunications Network Modernization Project. Then, on February 19, 2020, China Eximbank and the Government of Madagascar signed a RMB 337,998,700 (USD 42.7 million) government concessional loan (GCL) agreement for the project. The GCL carries the following borrowing terms: a 30 year maturity, a 5 year grace period, a 1.5% interest rate, a 0.25% management fee, and a 0.25% commitment fee.   Madagascar’s Senate approved the loan agreement on June 5, 2020. This project involves the deployment of a fiber-optic network using Huawei’s 4G eLTE technology across public safety and other government agencies in the capital, Antananarivo. This project also involves the creation of data management centers and the installation of software and equipment, including video-conferencing technology and surveillance cameras, intended to improve public services and reduce the cost of internal telecommunications within public administration. Huawei Technologies is the contractor responsible for implementation.",Public Sector,Government of Madagascar,"CNY 337,998,700",aiddata-gcdf3-60830,,http://www.tresorpublic.mg/tresorpublic/download.php?path=wp-content/themes/tresor-public/statik-content/tresor-public/temp/statistique/rapport_activite/&file=ra2017.pdf,china-eximbank,2020-01-01-eximbank-cn-mdg-002-china-eximbank-provides-rmb-3379-million
MDG,2019,,Norfund,ICT Industry,Equity,17,commitment,estimated,Active,WeLight Solar Mini-Grid and Rural Electrification \u2014 Madagascar,"Norfund is a co-founding equity shareholder in WeLight, established 2018 by Axian Group, Sagemcom, and Norfund. WeLight provides solar mini-grids with digital metering to rural communities in Madagascar (primary) and expanding to Mali. 2023 secured EUR 40M additional funding (EIB EUR 9.5M + EDFI ElectriFI + Triodos EUR 19M; Norfund shareholder loan EUR ~3M). Axian Group integration links to telecom infrastructure. Digital scope: digital smart metering, IoT energy monitoring, mobile payment for energy.",Private Sector,WeLight,"NOK 150,200,000",,,https://www.norfund.no/major-funding-round-secured-for-welight-in-madagascar/,norfund,2019-01-01-norfund-mdg-welight-minigrid-2019-welight-solar-mini-grid-and-rural-electrification
MDG,2018,,World Bank,Digital Payments and Fintech,Concessional Loan,45,commitment,reported,Approved,"World Bank — Madagascar Financial Inclusion Project, 2018","The Madagascar Financial Inclusion Project (P161491), a US$45 million IDA investment operation approved 28 February 2018 to promote financial inclusion of individuals and MSMEs. Documented via the project's 2021 COVID-era restructuring paper (Report No. RES47803).",Public Sector,Republic of Madagascar,,P161491,,https://documents.worldbank.org/en/publication/documents-reports/documentdetail/,world-bank,2018-02-28-world-bank-mdg-2018-madagascar-financial-inclusion-bw01
