row_id,place,subject,section,name,what_would_settle_it,probe_at,disposition
GAB-infra.cybersec-national-computer-emergency-response-team,GAB,infra.cybersec,Infrastructure,National computer emergency response team and security operations centre,"The ANINF or ministerial act creating a national incident response team, or an ANINF activity report stating whether the centre and team that SecBOM is designed to feed are in operation",,
GAB-infra.energy-grid-supply-position-for-data,GAB,infra.energy,Infrastructure,Grid supply position for data-centre load,"A national utility or energy ministry supply statement, or the two facilities' grid-connection agreements, establishing available and firm capacity against the more than 2 MW of Tier III load committed by end-2026",,
GAB-infra.capacity-information-and-communications-technology-workforce,GAB,infra.capacity,Infrastructure,Information and communications technology workforce measure,"An ANINF or ministry workforce return, or enrolment data from the training institutions named at the technical committee of 2026-07-31, giving a countable figure for Gabonese technical capacity",,
GAB-data.statistics-recensement-general-de-la-population,GAB,data.statistics,Digital public infrastructure,Recensement general de la population et de l'habitat,"The census report or a statistics office release giving the enumeration date, published population and dissemination status; the base knows the census exists only because the 2026 social census plans to reuse its data",,
GAB-data.statistics-national-statistical-office-output,GAB,data.statistics,Digital public infrastructure,National statistical office output,"Any dated release, statistical yearbook or dataset from the national statistics office; the section currently rests entirely on central-bank and bank-association figures",,
GAB-dpi.pay-national-platform-for-the-payment,GAB,dpi.pay,Digital public infrastructure,National platform for the payment and collection of public revenue,"The decree, operator contract or launch communique naming the platform announced at the ministerial session of 2026-01-13, which has produced nothing since",,
GAB-dpi.pay-electronic-invoicing-mandate,GAB,dpi.pay,Digital public infrastructure,Electronic invoicing mandate,"The tax instruction or finance-law article setting the mandate date, taxpayer thresholds and platform, announced at the same session of 2026-01-13",,
GAB-gov.protect-authority-s-authorisation-for-biometric,GAB,gov.protect,Governance and regulation,Authority's authorisation for biometric identity-card processing,"A published deliberation or authorisation of the data-protection authority under article 76, or a register of authorisations listing it; the identity-card programme has run three years and article 219 gave no grace period",,
GAB-gov.regional-position-under-the-african-union,GAB,gov.regional,Governance and regulation,Position under the African Union Convention on Cyber Security and Personal Data Protection,"The African Union list of signatures, ratifications and accessions, or a Gabonese ratification law and its instrument of deposit",,
GAB-data.open-open-government-data-portal-or,GAB,data.open,Governance and regulation,Open government data portal or policy,"A national open-data portal, a published open-data policy or directive, or a dataset catalogue; the base holds no Gabonese source on this subject at all",,
GAB-geopol.eu-european-union-digital-cooperation-instrument,GAB,geopol.eu,Governance and regulation,European Union digital cooperation instrument,"A Global Gateway country package, a bilateral digital cooperation agreement or a Team Europe initiative document; the base carries no Gabonese source on this subject at all",,
GAB-gov.policy-national-digital-strategy-document,GAB,gov.policy,Governance and regulation,National digital strategy document,"The named strategy text or the digital chapter of the national development and growth plan for 2026-2030, with its adoption date and horizon; the base holds programme labels and budget lines but no strategy document",,
GAB-tech.ai-national-artificial-intelligence-strategy-or,GAB,tech.ai,Artificial intelligence and the technology sector,National artificial-intelligence strategy or policy,"A published national strategy, policy, ethics framework or roadmap, or a ministerial statement that none is planned; the only artefact the wiki holds from Gabon on the subject is the minister's own commentary arguing against an early strategy",,
GAB-tech.ai-deployed-artificial-intelligence-system-or,GAB,tech.ai,Artificial intelligence and the technology sector,Deployed artificial-intelligence system or use-case register,"Any named operational system in Gabonese government or industry, or a ministry inventory of them; the base names artificial intelligence only as a category in curricula, a data-centre room and workshop agendas",,
GAB-tech.ai-artificial-intelligence-compute-capacity,GAB,tech.ai,Artificial intelligence and the technology sector,Artificial-intelligence compute capacity,"A processor count, accelerated-compute figure or dedicated power allocation for either Tier III facility; both are described as capable of it and neither has a compute figure on file",,
GAB-tech.innovate-start-up-labelling-criteria-and,GAB,tech.innovate,Artificial intelligence and the technology sector,Start-up labelling criteria and register,"The labelling criteria document and the list of firms labelled under Kimba Connect; the label makes the ministry the arbiter of which firms count as credible counterparties, and nothing on its criteria, committee or a single labelled firm is held",,
GAB-tech.industry-digital-sector-economic-weight,GAB,tech.industry,Artificial intelligence and the technology sector,Digital sector economic weight,"A national accounts series, ministry statistical annex or regulator market report giving the sector's share of gross domestic product, firm count or employment; the base holds penetration figures and an organisers' estimate of start-up numbers, and nothing measured",,
GAB-geopol.india-indian-digital-or-technology-cooperation,GAB,geopol.india,Artificial intelligence and the technology sector,Indian digital or technology cooperation instrument,"Any memorandum, line of credit, training-programme participation or Indian supplier contract naming Gabon; the base returns no source at this intersection",,
GAB-geopol.gulf-gulf-state-digital-or-technology,GAB,geopol.gulf,Artificial intelligence and the technology sector,Gulf-state digital or technology cooperation instrument,"Any investment, data-centre agreement or sovereign-fund commitment naming Gabon; the base returns no source at this intersection",,
GAB-include.divides-universal-service-fund,GAB,include.divides,Inclusion and capacity,Universal service fund,"The regulator or ministerial instrument creating the fund, its levy base, its disbursements and its coverage targets; the record holds only a statement that universal-service initiatives run with the regulator",,
GAB-capacity.literacy-named-national-digital-literacy-programme,GAB,capacity.literacy,Inclusion and capacity,Named national digital-literacy programme,"The national strategy for the digitalisation of teaching, or a ministerial programme document with a cohort target; digital literacy is named as a budget axis with no programme behind it",,
GAB-capacity.training-public-digital-training-institutions-under,GAB,capacity.training,Inclusion and capacity,Public digital-training institutions under the ministry,"The ministry's organisation decree listing the institutions under its supervision, or an annual report from any one of them",,
GAB-capacity.training-connected-schools-programme,GAB,capacity.training,Inclusion and capacity,Connected schools programme,"The Huawei memorandum of 2025-12-23, or a supplier or ministry statement giving the school count, the equipment supplied and the expansion terms; the programme is named only as one to be expanded",,
GAB-include.divides-gender-digital-divide,GAB,include.divides,Inclusion and capacity,Gender digital divide,"A published gender-gap figure for Gabon, or the Digital Gabon results framework reporting an actual against its target of 50,000 female beneficiaries, still at a zero baseline",,
GAB-include.divides-rural-and-urban-internet-access,GAB,include.divides,Inclusion and capacity,Rural and urban internet access split,"A regulator quarterly observatory with provincial coverage, or a census digital-access module; only the national urban population share is held",,
GAB-finance.budget-enacted-digital-appropriation-for-2026,GAB,finance.budget,Finance,Enacted digital appropriation for 2026,"The finance law for 2026 as gazetted, showing the ministry's voted line against the XAF 82bn presented in October 2025",,
GAB-capacity.research-named-national-research-funding-for,GAB,capacity.research,Inclusion and capacity,Named national research funding for digital technology or artificial intelligence,A research council or higher-education ministry programme document or budget line; the only capacity finance the base holds closed in 2023,,
