indicator_id,progress,summary,developments,row_ids
gov.policy--ai-strategy,"Mixed, a strategy text located and held while the document carries no date of its own and disagrees with itself about its horizon","The [National AI Strategy text](2024-11-21-zambia-national-artificial-intelligence-strategy) was located in the copy lodged with an international policy observatory, and the ministry says the [strategy is nearing the end of its cycle](2026-08-17-zambia-ai-sovereignty-conditions-china-cooperation) and due for review.","The document carries no date of its own — no adoption date and no month in 121,000 characters of extracted text — and is dated here from the ministry's own launch announcement ([text](2024-11-21-zambia-national-artificial-intelligence-strategy)). It disagrees with itself about its horizon: the cover reads 2024-2026 and every running header reads 2025-2027. No first-party copy was located ([text](2024-11-21-zambia-national-artificial-intelligence-strategy)).

The permanent secretary said in August 2026 that the strategy is nearing the end of its cycle and due for review; a successor reading is an inference from the dates and is stated in no source held ([review](2026-08-17-zambia-ai-sovereignty-conditions-china-cooperation), [partnership](2026-08-07-zambia-china-explore-deeper-ai-partnership-to-accelerate-digital-transformation), [leadership](2026-07-17-zambia-ai-leadership-robotics-challenge)).

A regional artificial-intelligence strategy sensitisation workshop was launched in the capital: the country is drafting a national instrument while helping shape the regional one that would frame it ([regional](2026-07-14 Zambia and COMESA Launch AI Initiative to Advance Regional Digital Transformation)).",ZMB-gov.policy-national-ai-strategy-text|ZMB-gov.policy-national-ai-strategy|ZMB-gov.policy-comesa-regional-ai-strategy
gov.legislate--cybersecurity-legislation,"Mixed, two 2025 Acts in force with their investigatory powers court-gated while a threatened legal challenge has produced no record","The [Cyber Security Act No. 3 of 2025](2025-04-15-zambia-cyber-security-act-no-3-of-2025) and the [Cyber Crimes Act No. 4 of 2025](2025-04-15-zambia-cyber-crimes-act-no-4-of-2025) are both in force, and the investigatory and interception powers in them are court-gated.","The gazetted text of the security Act was acquired from the National Assembly's own directory; it commenced on 12 May 2025 by statutory instrument ([Act](2025-04-15-zambia-cyber-security-act-no-3-of-2025), [signature](2025-04-15-zambia-cyber-security-act-no-3-of-2025)).

Enforcement of the crimes Act was declared fully operational in July 2026. The gazetted texts of both Acts are now held, and the investigatory powers in the crimes Act and the interception power in the security Act are both court-gated; the claim that the 2025 Acts authorise interception without prior judicial review is not borne out, while the presidential-control half of that claim is ([enforcement](2026-07-21-zambia-cyber-crimes-act-enforcement-begins), [warning](2025-04-18-us-warns-citizens-surveillance-law), [compliance](2026-07-22-zambia-cyber-crimes-act-compliance), [freedom](2026-04-01 State of Internet Freedom in Zambia 2026 6th Edition)).

The Law Association was reported set to mount a challenge in April 2025; the single held source is a lede-only capture and the absence of any subsequent record is itself the finding ([challenge](2025-04-22-laz-legal-challenge-cyber-laws)).",ZMB-gov.legislate-cyber-security-act-text|ZMB-infra.cybersec-cyber-crimes-act-2025|ZMB-infra.cybersec-cyber-security-act-2025|ZMB-infra.cybersec-laz-cyber-law-challenge
gov.legislate--data-protection-legislation,No change,"The [Data Protection Act 2021](2026-07-21-zambia-cyber-crimes-act-enforcement-begins) is named as part of the operative framework, and a reported Cabinet repeal intent has produced nothing in sixteen months.","The Act's number and year of enactment are not established beyond 2021, and the reported repeal intent has produced nothing on the record in sixteen months ([framework](2026-07-21-zambia-cyber-crimes-act-enforcement-begins), [safeguards](2024-09-17 DPI Safeguards come online in Zambias next phase of digital integration), [freedom](2026-04-01 State of Internet Freedom in Zambia 2026 6th Edition)).

A statute whose own enactment reference cannot be established, under a repeal intent that has produced nothing, is the legal basis under which the identity register, the health record and the refugee database all operate.",ZMB-gov.protect-data-protection-act-2021
gov.legislate--e-commerce-legislation,Advanced,"A [Postal and Courier Services Bill 2026](2026-07-23-zambia-postal-courier-services-bill-2026) went to public written submissions, replacing a 2009 Act that also underwrites postal banking and financial services.","Submissions closed on 27 July 2026 ([bill](2026-07-23-zambia-postal-courier-services-bill-2026), [submissions](2026-07-24-zambia-postal-courier-legislation-modernisation-public-submissions)).

The 2009 Act underwrites postal banking and financial services, so its replacement governs the postal service's agency-banking role — which makes a postal bill a payments instrument.

Submissions closed one working day after the consultations ended, and it is the only open public call for written comment on a domestic instrument the base holds for the whole window ([consultation](2026-07-24-zambia-postal-courier-legislation-modernisation-public-submissions)).",ZMB-gov.legislate-postal-courier-services-bill|ZMB-gov.discourse-postal-bill-consultation
gov.legislate--digital-payments-legislation,No change,"The [mobile money levy](2026-03-01 Mobile Money Taxes and Affordability in Sub-Saharan Africa) rate doubled during 2025, dated only to the year, and the source is an industry body arguing against such levies.","The doubling is dated only to the year, so it cannot be placed inside or outside the window ([levy](2026-03-01 Mobile Money Taxes and Affordability in Sub-Saharan Africa)).

Naming the source's interest matters here: an industry body arguing against mobile money levies is the only account of this one, and no government or regulator statement of the rate or its yield is held.",ZMB-gov.legislate-mobile-money-levy
gov.legislate--legislation-enabling-data-interoperability,Advanced,"A [Cabinet directive on open-source technology](2026-06-17 Zambia's govt leans towards open-source) was issued to ministries, reported only in an excerpt of a trade-press article with no government publication held.","It was issued alongside the spatial data infrastructure launch in June 2026 ([directive](2026-06-17 Zambia's govt leans towards open-source)).

No government publication of it is held. Officials elsewhere in this ledger name fragmented, vendor-locked systems as a governance and legal problem rather than a technical one, which is the case the directive would answer — and the directive itself cannot be read.",ZMB-dpi.govtech-open-source-directive
gov.protect--data-protection-authority,No change,"The [data protection commissioner](2026-07-31-civil-society-condemns-alleged-sms-linking-cash-transfers-to-voting-for-ruling-upnd) was asked by nine civil-society organisations to examine a beneficiary contact list, and nothing in the base shows the regulator acting.","The regulator exists and travels — it appeared at an international identity event — and nothing in the base shows it acting ([commissioner](2026-07-31-civil-society-condemns-alleged-sms-linking-cash-transfers-to-voting-for-ruling-upnd), [freedom](2026-04-01 State of Internet Freedom in Zambia 2026 6th Edition), [engagement](2026-05-18-zambia-id4africa-multi-sectoral-engagement)).

Tenders were opened in August 2026 for a data protection compliance management system and for guidelines consultancy; these are tenders rather than awards, with no value, delivery date or statement of the commission's current caseload or enforcement record held ([tender](2026-08-10-zambia-dzap-data-protection-compliance-system), [guidelines](2026-08-10-zambia-dzap-data-protection-guidelines-consultancy)).

A regulator with no recorded action, procuring the system that would let it record action, is the position.",ZMB-gov.protect-data-protection-commissioner|ZMB-gov.protect-data-protection-compliance-system
gov.regional--regional-policy-collaboration,Advanced,"A national was [elected Secretary-General of the continental telecommunications union](2026-07-27-atu-cpl26-abuja-declaration-sg-election-full-record) on the fourth round, and the country gains the secretariat and loses the council seat in the same cycle.","The election was won with 21 of 34 votes at a plenipotentiary conference, for a term beginning January 2027 ([election](2026-07-27-atu-cpl26-abuja-declaration-sg-election-full-record), [conference](2026-07-24-atu-cpl26-abuja-official)).

A declaration on meaningful connectivity was adopted at the same conference; it is a regional commitment with no domestic implementing measure in this base ([declaration](2026-07-27-atu-cpl26-abuja-declaration-sg-election-full-record), [connectivity](2026-07-25-atu-abuja-declaration-meaningful-connectivity-cpl26-thesun)).

Holding the continental secretariat while the national artificial-intelligence strategy is undated and the data-protection regulator has no recorded action is the shape of this unit's international position.",ZMB-gov.regional-atu-secretary-general|ZMB-data.open-abuja-declaration
gov.regional--shared-regional-infrastructure,Advanced,"A [regional programme steering committee](2026-07-30-comesa-idea-3rd-project-steering-committee) convened in the capital, the programme's stated policy and oversight body held by a regional body rather than by member states.","The third steering committee convened in July 2026, alongside the programme's annual digital forum ([committee](2026-07-30-comesa-idea-3rd-project-steering-committee), [forum](2026-07-27-comesa-idea-annual-digital-forum-launch-lusaka), [appraisal](2025-01-20 PID Appraisal Stage - Digital Zambia Acceleration Project (P505094))).

Policy and oversight for a national digital programme sitting with a regional secretariat rather than with member states is a governance arrangement the record states and nowhere explains.",ZMB-dpi.exchange-comesa-idea-coordination
gov.standards--national-quality-standards,Advanced,"[Quarterly network-performance reporting](2026-05-15-zambia-approves-k255m-digital-infrastructure) was announced, and a provincial minister names four districts where poor service blocks access to social cash transfers and farm input subsidies.","Both regulator items behind the enforcement regime are paywalled ledes ([reporting](2026-05-15-zambia-approves-k255m-digital-infrastructure), [disruption](2025-06-13-zicta-investigating-internet-disruption), [action](2026-02-17-zicta-action-mobile-operators-poor-network)).

Naming districts where poor service blocks social cash transfers and farm input subsidies makes quality of service a benefits-delivery question rather than a consumer one.

Health ministry ICT standards issued in January 2014 are the oldest instrument in this ledger and the only national sectoral data standard the base holds for the country ([standards](2014-01-01-moh-zambia-ict-standards-and-guidelines)).",ZMB-infra.connect-zicta-quality-of-service|ZMB-gov.standards-moh-ict-standards
