indicator_id,progress,summary,developments,row_ids
dpi.pay--governance-role-of-central-bank,"Movement, an instrument aimed at the cash economy rather than at payment","The Bank of Eritrea [gave holders of cash outside the banking system until 31 July 2026 to deposit it](2026-07-02 Eritrea's banking ultimatum - deposit cash by 31 July 2026), on pain of legal action.","2026-07-02 — a legal notice from the Bank of Eritrea [ordered cash held outside banks deposited by 31 July 2026](2026-07-02 Eritrea's banking ultimatum - deposit cash by 31 July 2026), with legal action threatened against holders who do not comply. The notice defines no threshold for the excessive holding it names and states no enforcement mechanism.

It is the only central-bank action on this ledger, and it addresses the cash economy rather than any payment system: no named mobile-money or digital-payments service appears anywhere on the repository for Eritrea.",ERI-gov.legislate-bank-of-eritrea-cash-ultimatum
finance.new--development-partner-project-financing,No change,"UNDP's [statistical-capacity grant](2019-01-01-undp-eri-data-stats-2019-economic-social-data-development-eritrea) runs to 2026, beside [US$14.02m of education grants](2024-04-19-gpe-eri-001-eritrea-emis-system-transformation-grant) committed in 2024.","The standing position is a US$1,676,837 UNDP grant to the Government of Eritrea and the National Statistics Office, [committed in 2019 with an end year of 2026](2019-01-01-undp-eri-data-stats-2019-economic-social-data-development-eritrea). Nothing in the twelve months to 2026-08-26 records a disbursement, an extension or a successor, and no disbursement figure for it is published. The grant funds the statistical work reported under Censuses and surveys, so what movement there is shows up there rather than here.

A second development partner is on the ledger after all: the Global Partnership for Education committed US$14.02m to the education ministry through UNICEF as grant agent in April 2024, for a foundational-learning reform programme including work on the education management information system ([grants](2024-04-19-gpe-eri-001-eritrea-emis-system-transformation-grant)).",ERI-finance.new-undp-data-stats-grant|ERI-finance.new-gpe-foundational-learning
infra.connect--national-fibre-backbone,"Movement, on the ministry's own figures",The ministry reports [about 73km of new cable laid and landline plant renovated in six towns](2026-05-19 Eritrea substantial investment in communication service expansion); no independent measure of the backbone exists.,"2026-05-19 — the minister responsible for communications [reported 184 towers installed, about 73km of new cable laid, and landline plant renovated in six named towns and at the Naval Force Base](2026-05-19 Eritrea substantial investment in communication service expansion), against a claimed cumulative investment above 35 billion Nakfa.

The figures are the ministry's own, carried by state media, and nothing on the ledger tests them: no operator disclosure, no regulator return and no third-party measurement of the network appears for Eritrea in the window. EriTel remains the sole operator.",ERI-infra.connect-eritel-network-expansion
infra.connect--international-internet-bandwidth,"Movement, on a ministry figure, with no cable landing behind it","Bandwidth is [reported at about 1,536 Mbps after a decade of growth](2026-05-19 Eritrea substantial investment in communication service expansion), and it is carried by satellite: [no submarine cable lands in Eritrea](2026-04-16 The Long View - What ICT4D did for Africa and why that deep past matters for today).","2026-05-19 — the ministry [put international bandwidth at about 1,536 Mbps, risen over the past decade](2026-05-19 Eritrea substantial investment in communication service expansion).

2026-04-16 — the industry position is unchanged: Eritrea [is still the only one of Africa's coastal states with no cable landing](2026-04-16 The Long View - What ICT4D did for Africa and why that deep past matters for today), and cable firms describe a country that does not answer landing requests. [An earlier account of the same position](2024-06-10-cable-firms-eye-eritrea-red-sea-houthi-attacks) dates it to June 2024.

EriTel's international transit therefore runs on geostationary satellite, which is what a bandwidth figure of this size describes. The growth is real and the ceiling is the technology carrying it.",ERI-infra.connect-eritel-network-expansion|ERI-infra.connect-submarine-cable
infra.connect--satellite-broadband-licensing-and-availability,No change,"Starlink [lists Eritrea with no planned launch date](2026-07-17-starlink-launches-27th-african-country-ivory-coast), one of seven African states without a timetable; the repository holds no licence application or refusal.","2026-07-17 — Starlink's own availability map [still lists Eritrea as having no planned launch date](2026-07-17-starlink-launches-27th-african-country-ivory-coast), leaving it one of seven African states with no announced timetable, all of them in North Africa and the Horn. The position is the one the repository carried at the start of the window.

What is not on the ledger is any Eritrean decision: no application, no refusal and no regulatory statement about satellite broadband appears, so the absence is recorded from the operator's side only.",ERI-infra.connect-starlink
infra.connect--mobile-penetration,Movement,"Active connections [reached 859,000, or 23.7% of the population, up 8.2% year on year](2025-11-08 Digital 2026 Eritrea (DataReportal)), among the lowest rates in Africa.","2025-11-08 — DataReportal's Digital 2026 report for Eritrea [puts active mobile connections at 859,000, 23.7% of the population, 49.3% of them broadband, and up 8.2% on the year](2025-11-08 Digital 2026 Eritrea (DataReportal)). [The previous edition](2025-03-03 Digital 2025 Eritrea (DataReportal)) is the comparison.

The direction is upward and the level is among the lowest in Africa. Both statements are true, and the second governs what sits downstream of it: a foundational digital ID, mobile money and any service assumed to reach a citizen through a handset all rest on this figure. No operator or regulator return on the ledger tests it.

Coverage is separately reported and much higher than connections: [85% of the population is covered by a mobile-cellular network but only 35% by at least third-generation service and 0% by at least fourth-generation](2025-01-01-eritrea-digital-watch-country-profile), on 2023 international figures. Nearly a quarter of the population holds a connection inside a network that reaches five-sixths of them.",ERI-include.divides-mobile-connections|ERI-infra.connect-network-coverage
dpi.mis--customs,Movement,"ASYCUDA World [was inaugurated on 8 January 2026](2026-01-08 Eritrea launches ASYCUDA World digital customs system), replacing customs software dating from 2007, with the source code transferred to the government.","2026-01-08 — [ASYCUDA World entered service](2026-01-08 Eritrea launches ASYCUDA World digital customs system), replacing customs software in use since 2007. UNDP supported the implementation and the source code was transferred in full to the Eritrean government, which is the part worth recording: the system is nationally held rather than run on the country's behalf.

It is the only sectoral management information system on this ledger, and nothing states what it connects to — no revenue system, no business register and no trade single window appears for Eritrea.",ERI-dpi.exchange-asycuda-world
dpi.id--robustness-of-system,No change,"The repository holds [no operational foundational digital ID](2025-07-26 Eritrea's population digital identity - challenges ahead), a position profiled in July 2025 and untouched since.","2025-07-26 — a digital identity index profile [found no operational foundational identity system](2025-07-26 Eritrea's population digital identity - challenges ahead) and set out what one would face: low connectivity and mobile penetration, thin digital infrastructure, a telecom monopoly and weak civil registration.

Nothing in the twelve months to 2026-08-26 changes that. No enrolment programme, procurement, pilot or legal instrument on digital identity appears on the ledger, so the standing position is carried forward on a single profile written just before the window opened.",ERI-dpi.id-foundational-id
dpi.id--registration-of-entire-population,No change,"With [no foundational digital system in service](2025-07-26 Eritrea's population digital identity - challenges ahead), the credential is a [card issued since 1992, handwritten until 2014](2018-09-26-eritrea-national-id-card-ecoi).","The same 2025-07-26 profile that finds [no operational foundational identity system](2025-07-26 Eritrea's population digital identity - challenges ahead) names weak civil registration among the barriers a future one would face, which is the nearest the repository comes to a statement about coverage.

No enrolment figure exists to report, because there is nothing to enrol into. The population counting the repository does hold is the survey work reported under Censuses and surveys, which is a statistical exercise and not a register.

The credential that does exist is documented: [identity cards are issued by the Department of Immigration and Nationality, were first issued in 1992 and were handwritten until 2014, with applicants submitting a municipality letter, a birth certificate and proof of citizenship to one of twelve branch offices which forward the application to headquarters for approval](2018-09-26-eritrea-national-id-card-ecoi). A [newer electronic card carries a laser-engraved photograph, the holder's fingerprint and a unique serial number](2018-09-26-eritrea-national-id-card-ecoi), and [citizens aged 18 and over are required to hold one](2024-10-17-eritrea-embassy-national-id).

No issuance volume, coverage rate or database behind the card is on record at any date, and the fullest account of the system is eight years old.",ERI-dpi.id-foundational-id|ERI-dpi.id-national-identity-card
tech.ai--development-of-national-regional-ai-systems,Movement,"[Eri-Chat, an offline AI application built by a ministry developer](2025-11-01 Eri-Chat offline AI app), launched in April 2025 and was shown at an Asmara diplomatic event in October.","2025-11-01 — a profile of the developer Naod Goitom Isaac [describes Eri-Chat, an offline AI application launched in April 2025](2025-11-01 Eri-Chat offline AI app) and shown to ambassadors and UN officials at an Asmara UN Day event on 24 October 2025. It works in English only; local-language support waits on training data the developer says does not exist in sufficient quantity.

It is one application written by a single software developer at the Ministry of Information rather than a national programme, and it is the only AI system of any kind on this ledger.",ERI-tech.ai-eri-chat
tech.innovate--tech-startup-ecosystem,Movement,"A self-organised collective [released five Tigrinya-language education applications](2026-08-15-eritrea-shambko-apps-group-local-language-education) built to the national curriculum, with no stated funding or distribution channel.","2026-08-15 — an interview carried by the state information ministry [describes five applications from the Shambko Apps Group](2026-08-15-eritrea-shambko-apps-group-local-language-education): literacy, puzzle, cultural-heritage and arithmetic tools written against the national curriculum, with a stated plan to extend them to Eritrea's eight other national languages.

The group is a private collective rather than a state programme. Nothing is stated about download counts, distribution channel or funding, and no hub, incubator, investor or company registration appears elsewhere on the ledger — so this is one collective on the record, not evidence of a startup base.",ERI-tech.innovate-shambko-apps-group
data.statistics--censuses-and-surveys,Movement,"The fourth [Eritrea Population and Health Survey completed fieldwork in 9,794 households](2026-05-08 Eritrea strengthens data systems with EPHS 2025 (UNDP)) across all six regions, with the report due in 2026.","2026-05-08 — the National Statistics Office [reported the fourth Eritrea Population and Health Survey complete: 9,794 households across 405 enumeration areas, a 98.4% household completion rate, and collection by computer-assisted personal interview](2026-05-08 Eritrea strengthens data systems with EPHS 2025 (UNDP)).

Around 400 tables over 20 chapters are drafted, with writing, printing and dissemination scheduled through 2026, so the fieldwork is finished and the published output is not. Technical support came from UNECA and an Oslo consultancy under the UNDP-led Joint Programme on Data for Development. It is the most substantial statistical work the repository holds for Eritrea.",ERI-data.statistics-ephs-2025
data.statistics--statistics-from-administrative-data,Movement,"The statistics office [compiled national accounts for 2023 and began collection for 2024](2026-05-08 Eritrea strengthens data systems with EPHS 2025 (UNDP)), the only administrative statistical production the repository records.","2026-05-08 — alongside the household survey, the National Statistics Office [is reported to have compiled the 2023 national accounts and started data collection for 2024](2026-05-08 Eritrea strengthens data systems with EPHS 2025 (UNDP)).

That is the whole of the ledger's evidence on statistics drawn from administrative sources, and it is second-hand: the accounts themselves are not on the repository, and no statement of which administrative systems feed them appears either. No statistics law and no national strategy for the development of statistics is on record for Eritrea, so this production rests on the office's own practice.",ERI-data.statistics-ephs-2025
gov.legislate--data-protection-legislation,No change,A verification pass dated August 2026 confirms no comprehensive data-protection law in force ([redetermination](2026-08-01-lawlab-africa-eritrea-data-protection)).,"A dated redetermination as of 1 August 2026 confirms the position is unchanged: no comprehensive data-protection law in force, no supervisory authority established and no enforcement decisions published ([redetermination](2026-08-01-lawlab-africa-eritrea-data-protection)).

A regional ministerial assessment places Eritrea's data-protection policy area at a nascent stage without legislation or regulatory oversight, grouped with Djibouti, South Sudan and Sudan against neighbours that have enacted frameworks with supervisory authorities ([policy matrix](2025-09-01-hoai-digital-policy-matrix-update-data-protection-nascent)).

A trade regulatory profile records that Eritrea lacks a comprehensive legal framework for data protection, with no data-protection officer, impact-assessment or retention requirements ([profile](2022-01-01-uneca-dtri-eritrea-digital-trade-regulatory-country-profile)).

This is a searched absence rather than an unexamined one: three independent assessments across four years agree.",ERI-gov.protect-none
gov.protect--national-data-protection-readiness,No change,No supervisory authority exists and none is provided for; the position was re-verified in August 2026 ([redetermination](2026-08-01-lawlab-africa-eritrea-data-protection)).,"The August 2026 verification pass records no comprehensive data-protection law, no supervisory authority and no published enforcement decisions ([redetermination](2026-08-01-lawlab-africa-eritrea-data-protection)).

The only body with sector-supervision power is the Communication Department, which a trade regulatory profile describes as having little to no decision-making authority ([profile](2022-01-01-uneca-dtri-eritrea-digital-trade-regulatory-country-profile)).

The nearest legal anchor is the privacy article of the 1997 Constitution, which has never been brought into force ([legal status](2026-06-08-levellers-ai-regulation-eritrea)).

Readiness here is not partial: there is no law, no regulator and no route to redress.",ERI-gov.protect-none
