fy,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,proposed,appropriated,revised,released,actual,audited,exec_vs_voted,exec_vs_revised,baseline_stage,current_stage,scope_confidence,is_transfer,currency,source_tier,doc_type,doc_locator,record,programme_line
—,,,,"Ministère de la Transition digitale, des Postes et des Communications électroniques (MTDPCE)",,"Projet de couverture de 750 zones blanches, under the « Chantier zéro zone blanche »",,,,,,,,,,,,unclear,unclear,whole,false,XOF,reporting,,—,2025-09-30-bfa-2025-mtdpce-zero-zone-blanche,"Projet de couverture de 750 zones blanches, under the « Chantier zéro zone blanche »"
—,,,,,,,,,,,,,,3000000000,,,,actual,actual,whole,false,XOF,reporting,,,2025-03-14-bfa-2025-state-network-restoration,bfa-2025-state-network-restoration
—,,,,"Ministère de la Transition digitale, des Postes et des Communications électroniques bf-ministry-digital-transition",,,,,,,,,,,,,,unclear,unclear,whole,false,XOF,reporting,,,2026-01-23-bfa-2026-transition-digitale-mini-datacenters,"Ministère de la Transition digitale, des Postes et des Communications électroniques bf-ministry-digital-transition"
2024,,,,Agence nationale de sécurité des systèmes d'information (ANSSI),,,,,,,444200000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,,"loi n°042-2023/ALT du 15 décembre 2023, chapitre 4013000311 « ANSSI », programme 006, section 03 Primature",2023-12-15-bfa-2024-03-anssi,Agence nationale de sécurité des systèmes d'information
2024,,,,"Office National d'Identification (ONI), and the Projet IRAPOL",,,,,,,4357486000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,,"loi n°042-2023/ALT du 15 décembre 2023, section 09, *Prévision des dépenses par actions* and *…par programmes, actions, par chapitres et par activités*, action 01208",2023-12-15-bfa-2024-09-01208,Documents biométriques d'identification
2024,,,,"Ministère de l'Économie, des Finances et de la Prospective",,,,,,,1450000000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,,"loi n°042-2023/ALT du 15 décembre 2023, section 14, programme 038, action 03805, chapitre 1803100311",2023-12-15-bfa-2024-14-1803100311,Projets Informatiques
2024,,,,"Ministère de la Transition digitale, des Postes et des Communications Electroniques (MTD-PCE)",,,,,,,1387136000,,,272081258,,19.6,19.6,appropriated,actual,whole,false,XOF,budget-document,,"loi n°042-2023/ALT du 15 décembre 2023, *Prévision des dépenses globales par programme* and *…par programme et par nature*, section 31",2023-12-15-bfa-2024-31-095,Developpement d'infrastructures de communications électroniques
2024,,,,"Ministère de la Transition digitale, des Postes et des Communications Electroniques (MTD-PCE)",,,,,,,926460000,,,663028000,,71.6,71.6,appropriated,actual,whole,false,XOF,budget-document,,"loi n°042-2023/ALT du 15 décembre 2023, *Prévision des dépenses globales par programme* and *…par programme et par nature*, section 31",2023-12-15-bfa-2024-31-136,Transformation et écosystème numérique
2024,,,,Commission de l'Informatique et des Libertés (CIL),,,,,,,857062000,,,799459500,,93.3,93.3,appropriated,actual,whole,false,XOF,budget-document,,"loi n°042-2023/ALT du 15 décembre 2023, section 59, *Prévision des dépenses globales par nature* and *…par programme*",2023-12-15-bfa-2024-59-122,Protection des données à caractère personnel
2025,,,,"Office National d'Identification (ONI), and the Projet IRAPOL",,,,,,,5174480000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,,"loi n°042-2024/ALT du 23 décembre 2024, section 13, *Prévision des dépenses par actions* and *…par programmes, actions, par chapitres et par activités*, action 01208",2024-12-23-bfa-2025-13-01208,Documents biométriques d'identification
2025,,,,Ministère de l'Économie et des Finances,,,,,,,300000000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,,"loi n°042-2024/ALT du 23 décembre 2024, section 14, programme 038, action 03805, chapitre 1803100311",2024-12-23-bfa-2025-14-1803100311,Projets Informatiques
2025,,,,"Ministère de la Transition digitale, des Postes et des Communications Electroniques (MTD-PCE)",,,,,,,1245357000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,,"loi n°042-2024/ALT du 23 décembre 2024, *Prévision des dépenses globales par programme* and *…par programme et par nature*, section 31",2024-12-23-bfa-2025-31-095,Developpement d'infrastructures de communications électroniques
2025,,,,"Ministère de la Transition digitale, des Postes et des Communications Electroniques (MTD-PCE)",,,,,,,5845994000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,,"loi n°042-2024/ALT du 23 décembre 2024, *Prévision des dépenses globales par programme* and *…par programme et par nature*, section 31",2024-12-23-bfa-2025-31-136,Transformation et écosystème numérique
2025,,,,Agence nationale de sécurité des systèmes d'information (ANSSI),,,,,,,498036000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,,"loi n°042-2024/ALT du 23 décembre 2024, section 31, programme 136, action 13604 « Sécurisation des systèmes d'information nationaux »",2024-12-23-bfa-2025-31-anssi,Agence nationale de sécurité des systèmes d'information
2025,,,,Commission de l'Informatique et des Libertés (CIL),,,,,,,498999000,,,480297496,,96.3,96.3,appropriated,actual,whole,false,XOF,budget-document,,"loi n°042-2024/ALT du 23 décembre 2024, section 59, *Prévision des dépenses globales par nature* and *…par programme*",2024-12-23-bfa-2025-59-122,Protection des personnes à l'égard du traitement des données à caractère personnel
2026,,,,"Office National d'Identification (ONI), and the Projet IRAPOL",,,,,,,5025702000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,,"loi n°021-2025/ALT du 27 décembre 2025 (Journal officiel du Faso, spécial n°1 du 2 janvier 2026), section 13, *Prévision des dépenses par actions* and *…par programmes, actions, par chapitres et par activités*, action 16803",2025-12-27-bfa-2026-13-16803,Documents biométriques d'identification
2026,,,,Ministère de l'Économie et des Finances,,,,,,,500000000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,,"loi n°021-2025/ALT du 27 décembre 2025 (Journal officiel du Faso, spécial n°1 du 2 janvier 2026), section 14, programme 038, action 03805, chapitre 1803100311",2025-12-27-bfa-2026-14-1803100311,Projets Informatiques
2026,,,,"Ministère de la Transition digitale, des Postes et des Communications Electroniques (MTD-PCE)",,,,,,,1187169000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,,"loi n°021-2025/ALT du 27 décembre 2025 (Journal officiel du Faso, spécial n°1 du 2 janvier 2026), *Prévision des dépenses globales par programme* and *…par programme et par nature*, section 31",2025-12-27-bfa-2026-31-095,Developpement d'infrastructures de communications électroniques
2026,,,,"Ministère de la Transition digitale, des Postes et des Communications Electroniques (MTD-PCE)",,,,,,,1916611000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,,"loi n°021-2025/ALT du 27 décembre 2025 (Journal officiel du Faso, spécial n°1 du 2 janvier 2026), *Prévision des dépenses globales par programme* and *…par programme et par nature*, section 31",2025-12-27-bfa-2026-31-136,Transformation et écosystème numérique
2026,,,,Agence nationale de sécurité des systèmes d'information (ANSSI),,,,,,,489236000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,,"loi n°021-2025/ALT du 27 décembre 2025 (Journal officiel du Faso, spécial n°1 du 2 janvier 2026), section 31, programme 136, action 13604 « Sécurisation des systèmes d'information nationaux »",2025-12-27-bfa-2026-31-anssi,Agence nationale de sécurité des systèmes d'information
2026,,,,Commission de l'Informatique et des Libertés (CIL),,,,,,,489799000,,,,,,,appropriated,appropriated,whole,false,XOF,budget-document,,"loi n°021-2025/ALT du 27 décembre 2025 (Journal officiel du Faso, spécial n°1 du 2 janvier 2026), section 59, *Prévision des dépenses globales par nature* and *…par programme*",2025-12-27-bfa-2026-59-122,Protection des personnes à l'égard du traitement des données à caractère personnel
