fy,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,admin_head_basis,programme_basis,programme_level,proposed,appropriated,revised,released,actual,audited,exec_vs_voted,exec_vs_revised,baseline_stage,current_stage,scope_confidence,is_transfer,currency,source_tier,doc_type,doc_locator,source_slug,origin_record,record,programme_line
2024/25,5,Vote 5: Home Affairs,,Department of Home Affairs,1,Administration,,Transversal Information Technology Management,,printed,printed,programme,,1190100000,1110636000,,,1020700000,85.8,91.9,appropriated,audited,whole,false,ZAR,budget-document,budget-estimates,"ENE 2024 full volume, Vote 5, Table 5.6, row 'Transversal Information Technology Management', column Medium-term expenditure estimate 2024/25 (PDF p. 106 of 1073); revised: AENE 2024 full volume, Vote 5 adjustments by subprogramme, column Adjusted appropriation; audited: ENE 2026 full volume, Table 5.6, column Audited outcome 2024/25 (PDF p. 103 of 1095)",2024-02-21-zaf-ene-2024-full-estimates-of-national-expenditure-companion,,budgets/ZAF/2024.csv#zaf-2024-5-1-transversal-information-technology-management,Transversal Information Technology Management
2024/25,5,Vote 5: Home Affairs,,Department of Home Affairs,2,Citizen Affairs,,Identification Services,,printed,printed,programme,,184700000,169554000,,,168300000,91.1,99.3,appropriated,audited,whole,false,ZAR,budget-document,budget-estimates,"ENE 2024 full volume, Vote 5, Table 5.8, row 'Identification Services', column Medium-term expenditure estimate 2024/25 (PDF p. 108 of 1073); revised: AENE 2024 full volume, Vote 5 adjustments by subprogramme, column Adjusted appropriation; audited: ENE 2026 full volume, Table 5.8, column Audited outcome 2024/25 (PDF p. 105 of 1095)",2024-02-21-zaf-ene-2024-full-estimates-of-national-expenditure-companion,,budgets/ZAF/2024.csv#zaf-2024-5-2-identification-services,Identification Services
2024/25,5,Vote 5: Home Affairs,,Department of Home Affairs,2,Citizen Affairs,,Status Services,,printed,printed,programme,,99800000,1157392000,,,828500000,830.2,71.6,appropriated,audited,partial,false,ZAR,budget-document,budget-estimates,"ENE 2024 full volume, Vote 5, Table 5.8, row 'Status Services', column Medium-term expenditure estimate 2024/25 (PDF p. 108 of 1073); revised: AENE 2024 full volume, Vote 5 adjustments by subprogramme, column Adjusted appropriation; audited: ENE 2026 full volume, Table 5.8, column Audited outcome 2024/25 (PDF p. 105 of 1095)",2024-02-21-zaf-ene-2024-full-estimates-of-national-expenditure-companion,,budgets/ZAF/2024.csv#zaf-2024-5-2-status-services,Status Services
2024/25,5,Vote 5: Home Affairs,,Department of Home Affairs,3,Immigration Affairs,,Admission Services,,printed,printed,programme,,208000000,,,,,,,appropriated,appropriated,whole,false,ZAR,budget-document,budget-estimates,"ENE 2024 full volume, Vote 5, Expenditure overview, 'Modernising ICT infrastructure' (PDF p. 103 of 1073): R208 million in 2024/25 in the Admission Services subprogramme",2024-02-21-zaf-ene-2024-full-estimates-of-national-expenditure-companion,,budgets/ZAF/2024.csv#zaf-2024-5-3-passenger-name-record,Passenger name record system (project within Admission Services)
2024/25,8,Vote 8: National Treasury,,National Treasury,5,Financial Accounting and Supply Chain Management Systems,,Financial Systems,,printed,printed,programme,,335700000,353747000,,,347100000,103.4,98.1,appropriated,audited,whole,false,ZAR,budget-document,budget-estimates,"ENE 2024 full volume, Vote 8, Table 8.14, row 'Financial Systems', column Medium-term expenditure estimate 2024/25 (PDF p. 163 of 1073); revised: AENE 2024 full volume, Vote 8 adjustments by subprogramme, column Adjusted appropriation; audited: ENE 2026 full volume, Table 8.14, column Audited outcome 2024/25 (PDF p. 162 of 1095)",2024-02-21-zaf-ene-2024-full-estimates-of-national-expenditure-companion,,budgets/ZAF/2024.csv#zaf-2024-8-5-financial-systems,Financial Systems
2024/25,8,Vote 8: National Treasury,,South African Revenue Service,8,Revenue Administration,,South African Revenue Service,,printed,printed,programme,,2719100000,,,,2675800000,98.4,,appropriated,audited,partial,false,ZAR,budget-document,budget-estimates,"ENE 2024 full volume, Vote 8, Table 8.78 South African Revenue Service expenditure trends and estimates by programme/objective/activity, row 'Deputy commissioner: Strategy, enabling and modernisation', column 2024/25 (PDF p. 203 of 1073); audited: ENE 2026 full volume, Table 8.69, column Audited outcome 2024/25 (PDF p. 195 of 1095)",2024-02-21-zaf-ene-2024-full-estimates-of-national-expenditure-companion,,budgets/ZAF/2024.csv#zaf-2024-8-8-south-african-revenue-service,"Deputy commissioner: Strategy, enabling and modernisation"
2024/25,9,"Vote 9: Planning, Monitoring and Evaluation",,"Department of Planning, Monitoring and Evaluation",5,Evidence and Knowledge Systems,,"Evaluation, Research, Knowledge and Data Systems",,printed,printed,programme,,34700000,37831000,,,33500000,96.5,88.6,appropriated,audited,partial,false,ZAR,budget-document,budget-estimates,"ENE 2024 full volume, Vote 9, Table 9.14, row 'Evaluation, Research, Knowledge and Data Systems', column Medium-term expenditure estimate 2024/25 (PDF p. 221 of 1073); revised: AENE 2024 full volume, Vote 9 adjustments by subprogramme, column Adjusted appropriation; audited: ENE 2026 full volume, Table 9.14, column Audited outcome 2024/25 (PDF p. 212 of 1095)",2024-02-21-zaf-ene-2024-full-estimates-of-national-expenditure-companion,,budgets/ZAF/2024.csv#zaf-2024-9-5-evaluation-research-knowledge-and-data-systems,"Evaluation, Research, Knowledge and Data Systems"
2024/25,11,Vote 11: Public Service and Administration,,Department of Public Service and Administration,4,e-Government Services and Information Management,,e-Enablement and ICT Service Infrastructure Management,,printed,printed,programme,,6600000,6240000,,,3600000,54.5,57.7,appropriated,audited,whole,false,ZAR,budget-document,budget-estimates,"ENE 2024 full volume, Vote 11, Table 11.12, row 'e-Enablement and ICT Service Infrastructure Management', column Medium-term expenditure estimate 2024/25 (PDF p. 260 of 1073); revised: AENE 2024 full volume, Vote 11 adjustments by subprogramme, column Adjusted appropriation; audited: ENE 2026 full volume, Table 11.12, column Audited outcome 2024/25 (PDF p. 255 of 1095)",2024-02-21-zaf-ene-2024-full-estimates-of-national-expenditure-companion,,budgets/ZAF/2024.csv#zaf-2024-11-4-e-enablement-and-ict-service-infrastructure-management,e-Enablement and ICT Service Infrastructure Management
2024/25,11,Vote 11: Public Service and Administration,,Department of Public Service and Administration,4,e-Government Services and Information Management,,ICT Governance and Management,,printed,printed,programme,,7500000,7283000,,,7100000,94.7,97.5,appropriated,audited,whole,false,ZAR,budget-document,budget-estimates,"ENE 2024 full volume, Vote 11, Table 11.12, row 'ICT Governance and Management', column Medium-term expenditure estimate 2024/25 (PDF p. 260 of 1073); revised: AENE 2024 full volume, Vote 11 adjustments by subprogramme, column Adjusted appropriation; audited: ENE 2026 full volume, Table 11.12, column Audited outcome 2024/25 (PDF p. 255 of 1095)",2024-02-21-zaf-ene-2024-full-estimates-of-national-expenditure-companion,,budgets/ZAF/2024.csv#zaf-2024-11-4-ict-governance-and-management,ICT Governance and Management
2024/25,11,Vote 11: Public Service and Administration,,Department of Public Service and Administration,4,e-Government Services and Information Management,,Information and Stakeholder Management,,printed,printed,programme,,4700000,4678000,,,2700000,57.4,57.7,appropriated,audited,whole,false,ZAR,budget-document,budget-estimates,"ENE 2024 full volume, Vote 11, Table 11.12, row 'Information and Stakeholder Management', column Medium-term expenditure estimate 2024/25 (PDF p. 260 of 1073); revised: AENE 2024 full volume, Vote 11 adjustments by subprogramme, column Adjusted appropriation; audited: ENE 2026 full volume, Table 11.12, column Audited outcome 2024/25 (PDF p. 255 of 1095)",2024-02-21-zaf-ene-2024-full-estimates-of-national-expenditure-companion,,budgets/ZAF/2024.csv#zaf-2024-11-4-information-and-stakeholder-management,Information and Stakeholder Management
