deal_id,place,state_level,spending_tier_name,fiscal_year_label,fy_start,fy_end,fy_calendar,budget_version,supplementary_basis,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,admin_head_basis,programme_basis,programme_level,line_name,purpose,primary_subject,scope_confidence,scope_basis,finance_origin,funding_source,is_transfer,transfer_to,currency,amount_scale,proposed,appropriated,revised,released,actual,audited,baseline_stage,current_stage,exec_vs_voted,exec_vs_revised,source_tier,doc_type,doc_locator,source_slug,extracted,origin_record,notes
nga-2026-0161005001,NGA,national,,2026,2026-01-01,2026-12-31,gregorian,original,,0161,SECRETARY TO THE GOVERNMENT OF THE FEDERATION,0161005001,NATIONAL IDENTITY MANAGEMENT COMMISSION,,NATIONAL IDENTITY MANAGEMENT COMMISSION,,,"total allocation (personnel, overhead and capital)",printed,printed,body,NATIONAL IDENTITY MANAGEMENT COMMISSION,"Whole appropriation of the national identity authority: enrolment, the identity database and card issuance.",dpi.id,whole,"Single-mandate body: its statutory remit is the national identity management system, so its appropriation records whole.",domestic-state,unstated,false,,NGN,"naira, full units as printed; no scale factor",33617097708,33617097708,,,,,proposed,appropriated,,,budget-document,appropriation-act,"2026 Appropriation Bill (Details), PDF p. 539, MDA 0161005001, TOTAL ALLOCATION; 2026 Appropriation Act (Details, April 2026), PDF p. 403-404, MDA 0161005001, TOTAL ALLOCATION",2026-01-08-nga-2026-0161005001,2026-09-25,,"Baseline is the bill (proposed); the Act gives the appropriated figure. Bill and Act print the same total. Personnel 18,425,655,318 + overhead 749,442,001 + capital 17,942,000,389 = 37,117,097,708; the ministry summary prints the same total, and the 10 capital projects sum to 17,942,000,389. The appropriated figure is from the 2026 Appropriation Act (Details), which OSINT does not hold (fetched from budgetoffice.gov.ng, md5 7c93a3756df705ec0fbc31412861f17f); source_slug names the held bill. Less project ERGP29246453, 3,500,000,000: provision of infrastructure in selected locations in Kaduna, a constituency project. The row is the printed total less 3,500,000,000. Funding source unstated: the Act appropriates from the Consolidated Revenue Fund and names a financier only for tied-loan lines, and this line is not one."
nga-2026-0157007001,NGA,national,,2026,2026-01-01,2026-12-31,gregorian,original,,0157,NATIONAL SECURITY ADVISER,0157007001,NATIONAL CYBERCRIME COORDINATION CENTRE (NCCC),,NATIONAL CYBERCRIME COORDINATION CENTRE (NCCC),,,"total allocation (personnel, overhead and capital)",printed,printed,body,NATIONAL CYBERCRIME COORDINATION CENTRE (NCCC),"Whole appropriation of national cybercrime coordination, the national CERT and critical information infrastructure protection.",infra.cybersec,whole,Single-mandate body: coordination of the national response to cybercrime and cyber threats; its appropriation records whole.,domestic-state,unstated,false,,NGN,"naira, full units as printed; no scale factor",39325011031,39325011031,,,,,proposed,appropriated,,,budget-document,appropriation-act,"2026 Appropriation Bill (Details), PDF p. 519, MDA 0157007001, TOTAL ALLOCATION; 2026 Appropriation Act (Details, April 2026), PDF p. 394-395, MDA 0157007001, TOTAL ALLOCATION",2026-01-08-nga-2026-0157007001,2026-09-25,,"Baseline is the bill (proposed); the Act gives the appropriated figure. Bill and Act print the same total. Personnel 3,025,011,031 + overhead 11,800,000,000 + capital 24,500,000,000 = 39,325,011,031; the ministry summary prints the same total, and the 14 capital projects sum to 24,500,000,000. The appropriated figure is from the 2026 Appropriation Act (Details), which OSINT does not hold (fetched from budgetoffice.gov.ng, md5 7c93a3756df705ec0fbc31412861f17f); source_slug names the held bill. Funding source unstated: the Act appropriates from the Consolidated Revenue Fund and names a financier only for tied-loan lines, and this line is not one."
nga-2026-0238004001,NGA,national,,2026,2026-01-01,2026-12-31,gregorian,original,,0238,FEDERAL MINISTRY OF BUDGET AND ECONOMIC PLANNING,0238004001,NATIONAL BUREAU OF STATISTICS,,NATIONAL BUREAU OF STATISTICS,,,"total allocation (personnel, overhead and capital)",printed,printed,body,NATIONAL BUREAU OF STATISTICS,"Whole appropriation of the national statistics office: surveys, national accounts and statistical reports.",data.statistics,whole,"National statistics office, held whole under the statistics-office rule; the vote prints no programmes, so the body is the finest grain above its line items.",domestic-state,unstated,false,,NGN,"naira, full units as printed; no scale factor",10974318208,10974318208,,,,,proposed,appropriated,,,budget-document,appropriation-act,"2026 Appropriation Bill (Details), PDF p. 1229, MDA 0238004001, TOTAL ALLOCATION; 2026 Appropriation Act (Details, April 2026), PDF p. 962-964, MDA 0238004001, TOTAL ALLOCATION",2026-01-08-nga-2026-0238004001,2026-09-25,,"Baseline is the bill (proposed); the Act gives the appropriated figure. Bill and Act print the same total. Personnel 7,946,756,617 + overhead 1,740,248,568 + capital 1,287,313,023 = 10,974,318,208; the ministry summary prints the same total, and the 30 capital projects sum to 1,287,313,023. The appropriated figure is from the 2026 Appropriation Act (Details), which OSINT does not hold (fetched from budgetoffice.gov.ng, md5 7c93a3756df705ec0fbc31412861f17f); source_slug names the held bill. Funding source unstated: the Act appropriates from the Consolidated Revenue Fund and names a financier only for tied-loan lines, and this line is not one."
nga-2026-0543001001,NGA,national,,2026,2026-01-01,2026-12-31,gregorian,original,,0543,NATIONAL POPULATION COMMISSION,0543001001,NATIONAL POPULATION COMMISSION,,NATIONAL POPULATION COMMISSION,,,"total allocation (personnel, overhead and capital)",printed,printed,body,NATIONAL POPULATION COMMISSION,"Whole appropriation of the population census, sample surveys, and birth and death registration.",data.statistics,whole,"Single-mandate data body: census enumeration, demographic surveys and vital registration, all data functions; held whole.",domestic-state,unstated,false,,NGN,"naira, full units as printed; no scale factor",31959208037,31959208037,,,,,proposed,appropriated,,,budget-document,appropriation-act,"2026 Appropriation Bill (Details), PDF p. 2744, MDA 0543001001, TOTAL ALLOCATION; 2026 Appropriation Act (Details, April 2026), PDF p. 2587-2589, MDA 0543001001, TOTAL ALLOCATION",2026-01-08-nga-2026-0156001001,2026-09-25,,"Baseline is the bill (proposed); the Act gives the appropriated figure. Bill and Act print the same total. Personnel 17,991,244,223 + overhead 1,173,647,529 + capital 12,794,316,285 = 31,959,208,037; the ministry summary prints the same total, and the 23 capital projects sum to 12,794,316,285. The appropriated figure is from the 2026 Appropriation Act (Details), which OSINT does not hold (fetched from budgetoffice.gov.ng, md5 7c93a3756df705ec0fbc31412861f17f); source_slug names the held bill. Funding source unstated: the Act appropriates from the Consolidated Revenue Fund and names a financier only for tied-loan lines, and this line is not one."
nga-2026-0156003001,NGA,soe,,2026,2026-01-01,2026-12-31,gregorian,original,,0156,FEDERAL MINISTRY OF COMMUNICATIONS AND DIGITAL ECONOMY,0156003001,NIGERIA COMMUNICATION SATELLITE,,NIGERIA COMMUNICATION SATELLITE,,,"total allocation (personnel, overhead and capital)",printed,printed,body,NIGERIA COMMUNICATION SATELLITE,"Whole appropriation of the state satellite operator's communications satellites, ground stations and broadband services.",infra.connect,whole,"Single-mandate state company: satellite communications and broadband, wholly connectivity infrastructure.",domestic-state,unstated,false,,NGN,"naira, full units as printed; no scale factor",9412876431,9412876431,,,,,proposed,appropriated,,,budget-document,appropriation-act,"2026 Appropriation Bill (Details), PDF p. 489, MDA 0156003001, TOTAL ALLOCATION; 2026 Appropriation Act (Details, April 2026), PDF p. 376-377, MDA 0156003001, TOTAL ALLOCATION",2026-01-08-nga-2026-0156003001,2026-09-25,,"Baseline is the bill (proposed); the Act gives the appropriated figure. Bill and Act print the same total. Personnel 2,640,278,983 + overhead 240,946,815 + capital 7,021,650,633 = 9,902,876,431; the ministry summary prints the same total, and the 16 capital projects sum to 7,021,650,633. The appropriated figure is from the 2026 Appropriation Act (Details), which OSINT does not hold (fetched from budgetoffice.gov.ng, md5 7c93a3756df705ec0fbc31412861f17f); source_slug names the held bill. Less project ERGP10244239, 350,000,000: solar panels in schools in Rivers West, a constituency project. Less project ERGP10244240, 140,000,000: streetlight maintenance training in Rivers West, a constituency project. The row is the printed total less 490,000,000. Funding source unstated: the Act appropriates from the Consolidated Revenue Fund and names a financier only for tied-loan lines, and this line is not one."
nga-2026-0517015001,NGA,regulator,,2026,2026-01-01,2026-12-31,gregorian,original,,0517,FEDERAL MINISTRY OF EDUCATION,0517015001,COMPUTER REGISTRATION COUNCIL OF NIGERIA,,COMPUTER REGISTRATION COUNCIL OF NIGERIA,,,"total allocation (personnel, overhead and capital)",printed,printed,body,COMPUTER REGISTRATION COUNCIL OF NIGERIA,Whole appropriation of regulation and registration of the computing profession and accreditation of IT training.,gov.standards,whole,Single-mandate regulator of the computing profession; its appropriation records whole.,domestic-state,unstated,false,,NGN,"naira, full units as printed; no scale factor",765354346,765354346,,,,,proposed,appropriated,,,budget-document,appropriation-act,"2026 Appropriation Bill (Details), PDF p. 1640, MDA 0517015001, TOTAL ALLOCATION; 2026 Appropriation Act (Details, April 2026), PDF p. 1896-1897, MDA 0517015001, TOTAL ALLOCATION",2026-01-08-nga-2026-0156001001,2026-09-25,,"Baseline is the bill (proposed); the Act gives the appropriated figure. Bill and Act print the same total. Personnel 265,354,346 + overhead 200,000,000 + capital 300,000,000 = 765,354,346; the ministry summary prints the same total, and the 5 capital projects sum to 300,000,000. The appropriated figure is from the 2026 Appropriation Act (Details), which OSINT does not hold (fetched from budgetoffice.gov.ng, md5 7c93a3756df705ec0fbc31412861f17f); source_slug names the held bill. Funding source unstated: the Act appropriates from the Consolidated Revenue Fund and names a financier only for tied-loan lines, and this line is not one."
nga-2026-0111009001-ergp15234847,NGA,national,,2026,2026-01-01,2026-12-31,gregorian,original,,0111,PRESIDENCY,0111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),ERGP15234847,COMPUTER SOFTWARE/ HARDWARE ACQUISITION AND FORENSIC,,,capital project,printed,printed,project,COMPUTER SOFTWARE/ HARDWARE ACQUISITION AND FORENSIC,"Capital project of the Economic And Financial Crimes Commission (Efcc) for cybersecurity, digital forensics or interception systems. The same line also pays for items outside the digital frame.",infra.cybersec,partial,Partial: software bundled with hardware; the document prints no split.,domestic-state,unstated,false,,NGN,"naira, full units as printed; no scale factor",700000000,700000000,,,,,proposed,appropriated,,,budget-document,appropriation-act,"2026 Appropriation Bill (Details), PDF p. 28, MDA 0111009001, project ERGP15234847, column AMOUNT; 2026 Appropriation Act (Details, April 2026), PDF p. 45, MDA 0111009001, project ERGP15234847, column AMOUNT",2026-01-08-nga-2026-0156001001,2026-09-25,,"Baseline is the bill (proposed); the Act gives the appropriated figure. Bill and Act print the same figure under the same code. The appropriated figure is from the 2026 Appropriation Act (Details), which OSINT does not hold (fetched from budgetoffice.gov.ng, md5 7c93a3756df705ec0fbc31412861f17f); source_slug names the held bill. In the 2026 Appropriation Bill (Details) the MDA's 21 projects sum to its printed total capital 22,824,517,033. Funding source unstated: the Act appropriates from the Consolidated Revenue Fund and names a financier only for tied-loan lines, and this line is not one."
nga-2026-0111009002-ergp15112815,NGA,national,,2026,2026-01-01,2026-12-31,gregorian,original,,0111,PRESIDENCY,0111009002,NIGERIAN FINANCIAL INTELLIGENCE UNIT (NFIU),ERGP15112815,PURCHASE OF COMPUTER SOFTWARE AND HARDWARE,,,capital project,printed,printed,project,PURCHASE OF COMPUTER SOFTWARE AND HARDWARE,"Capital project of the Nigerian Financial Intelligence Unit (Nfiu) for digitalisation of an agency's services, records or processes. The same line also pays for items outside the digital frame.",dpi.govtech,partial,Partial: software bundled with hardware; the document prints no split.,domestic-state,unstated,false,,NGN,"naira, full units as printed; no scale factor",710500000,710500000,,,,,proposed,appropriated,,,budget-document,appropriation-act,"2026 Appropriation Bill (Details), PDF p. 31, MDA 0111009002, project ERGP15112815, column AMOUNT; 2026 Appropriation Act (Details, April 2026), PDF p. 47, MDA 0111009002, project ERGP15112815, column AMOUNT",2026-01-08-nga-2026-0156001001,2026-09-25,,"Baseline is the bill (proposed); the Act gives the appropriated figure. Bill and Act print the same figure under the same code. The appropriated figure is from the 2026 Appropriation Act (Details), which OSINT does not hold (fetched from budgetoffice.gov.ng, md5 7c93a3756df705ec0fbc31412861f17f); source_slug names the held bill. In the 2026 Appropriation Bill (Details) the MDA's 4 projects sum to its printed total capital 1,690,780,929. Funding source unstated: the Act appropriates from the Consolidated Revenue Fund and names a financier only for tied-loan lines, and this line is not one."
nga-2026-0116005003-ergp1247595,NGA,national,,2026,2026-01-01,2026-12-31,gregorian,original,,0116,MINISTRY OF DEFENCE,0116005003,AIR POWER CENTRE OF EXCELLENCE,ERGP1247595,ACQUISITION OF TRAINING AND VISUAL EQUIPMENT/SOFTWARE,,,capital project,printed,printed,project,ACQUISITION OF TRAINING AND VISUAL EQUIPMENT/SOFTWARE,"Capital project of the Air Power Centre Of Excellence for training in digital, ICT or data skills. The same line also pays for items outside the digital frame.",capacity.training,partial,Partial: software bundled with hardware; the document prints no split.,domestic-state,unstated,false,,NGN,"naira, full units as printed; no scale factor",425000000,425000000,,,,,proposed,appropriated,,,budget-document,appropriation-act,"2026 Appropriation Bill (Details), PDF p. 87, MDA 0116005003, project ERGP1247595, column AMOUNT; 2026 Appropriation Act (Details, April 2026), PDF p. 89, MDA 0116005003, project ERGP1247595, column AMOUNT",2026-01-08-nga-2026-0156001001,2026-09-25,,"Baseline is the bill (proposed); the Act gives the appropriated figure. Bill and Act print the same figure under the same code. The appropriated figure is from the 2026 Appropriation Act (Details), which OSINT does not hold (fetched from budgetoffice.gov.ng, md5 7c93a3756df705ec0fbc31412861f17f); source_slug names the held bill. In the 2026 Appropriation Bill (Details) the MDA's 5 projects sum to its printed total capital 2,000,000,000. Funding source unstated: the Act appropriates from the Consolidated Revenue Fund and names a financier only for tied-loan lines, and this line is not one."
nga-2026-0116018001-ergp14231354,NGA,national,,2026,2026-01-01,2026-12-31,gregorian,original,,0116,MINISTRY OF DEFENCE,0116018001,DEFENCE SPACE ADMINISTRATION,ERGP14231354,PROCUREMENT OF EARTH OBSERVATION AND IMAGERY EQUIPMENT/SOFTWARE REQUIREMENT,,,capital project,printed,printed,project,PROCUREMENT OF EARTH OBSERVATION AND IMAGERY EQUIPMENT/SOFTWARE REQUIREMENT,"Capital project of the Defence Space Administration for geospatial, mapping or earth-observation data. The same line also pays for items outside the digital frame.",data.satellite,partial,Partial: software bundled with hardware; the document prints no split.,domestic-state,unstated,false,,NGN,"naira, full units as printed; no scale factor",262500000,262500000,,,,,proposed,appropriated,,,budget-document,appropriation-act,"2026 Appropriation Bill (Details), PDF p. 116, MDA 0116018001, project ERGP14231354, column AMOUNT; 2026 Appropriation Act (Details, April 2026), PDF p. 106, MDA 0116018001, project ERGP14231354, column AMOUNT",2026-01-08-nga-2026-0156001001,2026-09-25,,"Baseline is the bill (proposed); the Act gives the appropriated figure. Bill and Act print the same figure under the same code. The appropriated figure is from the 2026 Appropriation Act (Details), which OSINT does not hold (fetched from budgetoffice.gov.ng, md5 7c93a3756df705ec0fbc31412861f17f); source_slug names the held bill. In the 2026 Appropriation Bill (Details) the MDA's 14 projects sum to its printed total capital 8,297,979,460. Funding source unstated: the Act appropriates from the Consolidated Revenue Fund and names a financier only for tied-loan lines, and this line is not one."
