indicator_id,progress,summary,developments,row_ids
gov.policy--digital-transformation-strategy,Advanced,"The [2030 strategy's targets are unchanged](2025-05-13-national-digital-transformation-strategy-2030--wearetech), and the high commission [seated a scientific committee in October 2025](2025-10-29-expert-panel-digital-overhaul--wearetech).","The strategy was [published in May 2025 targeting all public services online by 2030, 500,000 information and communication technology jobs and a fifth of national output from the digital economy](2025-05-13-national-digital-transformation-strategy-2030--wearetech), [announced the day before](2025-05-12-national-digital-transformation-strategy-announced-echorouk). Its targets did not move in the window.

2025-10-23 - the high commission for digitalisation, created by decree in 2023, [seated a fifteen-member scientific and technical committee, three of them from the diaspora](2025-10-29-expert-panel-digital-overhaul--wearetech). It had been operating without one.

No delivery figure against any of the three targets is published, so what has been added is a governance organ rather than a measured position.",DZA-gov.policy-digital-algeria-2030|DZA-gov.policy-hcn
gov.policy--ai-strategy,Advanced,A [joint interministerial roadmap to deploy artificial intelligence across public services was agreed in August 2026](2026-08-12-algeria-launches-public-service-ai); the strategy text is still unpublished.,"The strategy was adopted by the national artificial-intelligence council in December 2024 on six pillars, and its [deployment plan was reviewed by government on 25 May 2026 ahead of a Council of Ministers adoption that is not recorded as having happened](2026-05-25-government-reviews-national-ai-strategy-elmoudjahid).

2026-08-05 - a [first interministerial meeting fixed five priorities: sovereign open-source government models, national high-performance computing, specialised training and university curricula, a national research centre with specialised units, and administrative and public data processed and hosted in national data centres, and created a follow-up commission](2026-08-05-algerie-premieres-etapes-mise-en-oeuvre-strategie-nationale-intelligence-artificielle), the [roadmap being fixed by the higher-education minister](2026-08-06-strategie-nationale-de-lintelligence-artificielle-kamel-baddari-fixe-la-feuille-de-route) and the [deployment agreed jointly](2026-08-12-algeria-launches-public-service-ai). The [underlying research and innovation strategy was drawn up by 150 national and diaspora experts](2026-08-05-intelligence-artificielle-et-souverainete-numerique-lheure-de-laction-a-sonne).

No budget, dates or implementing institutions are stated, and the strategy itself is still not published.",DZA-tech.ai-national-strategy
gov.policy--data-localisation-policies,No change,"[In-country data localisation has been in force since September 2024](2024-09-19 Algeria Digital Economy (US Country Commercial Guide)), and no global hyperscaler operates in-country.","Localisation has been [in force since September 2024, with no global hyperscaler operating in-country](2024-09-19 Algeria Digital Economy (US Country Commercial Guide)), and the [position is restated in an analysis of digital-sovereignty policy](2026-04-19-algerian-cyber-policy-digital-sovereignty-analysis-echorouk). The instrument imposing it is not itself held.

Nothing moved in the window, but what sits on top of it did: a national data centre entered service, a sovereign cloud launched on it, and the data-protection authority ruled that publishing images through platforms reachable from outside the country is a transfer of data abroad. Localisation is therefore the single policy on this ledger with the most instruments now resting on it and the least documentation of its own.",DZA-gov.protect-localisation
gov.policy--data-governance-policy,Advanced,A [national public-data governance framework was gazetted on 30 December 2025](2025-12-30-joradp-decret-25-320-gouvernance-donnees) in twenty articles.,"The framework did not exist at the window's opening. Presidential Decree 25-320 was [gazetted in twenty articles, its article 15 giving the data-protection authority a supervisory hook and article 18 excluding defence, security and judicial data](2025-12-30-joradp-decret-25-320-gouvernance-donnees), and was [reported as a launch in February 2026](2026-02-09-algeria-data-governance-launch-maghrebinfo).

Its article 19 classification and cataloguing duties are [not shown to have commenced](2026-02-10 Algeria launches national public-data governance framework (Decree 25-350)). A framework in force whose classification work has not started, and whose interoperability obligations wait on two reference documents that cannot be traced, is a legal position rather than an operating one.",DZA-gov.legislate-decree-25-320
gov.policy--open-data-policy,No change,[No open-data instrument or portal is held](2026-02-09-algeria-data-governance-launch-maghrebinfo); the data-governance decree keeps public data inside institutions.,"The position is unchanged at both ends of the window: [no open-data policy or portal exists, the data-governance decree keeps public data inside institutions, and a named expert criticises it for omitting open data and valorisation](2026-02-09-algeria-data-governance-launch-maghrebinfo).

It is a cited absence rather than an unexamined one, and it is a design choice rather than an oversight: the decree that governs public data was gazetted inside the window and is built around exchange between administrations on a network kept physically separate from the internet, not around publication.",DZA-data.open-open-data
gov.legislate--data-protection-legislation,No change,"[Law 18-07 stands as amended, its officer and breach-notification duties added by the 2025 amendment](2026-01-11 The Year of the Teeth Data Protection in Africa Roundup, 2025, Projections for 2026).","The law was [enacted in 2018 and in force from August 2023](2024-09-19 Algeria Digital Economy (US Country Commercial Guide)), and the [2025 amendment added data-protection-officer and breach-notification duties](2026-01-11 The Year of the Teeth Data Protection in Africa Roundup, 2025, Projections for 2026).

Nothing amended it further in the window. What moved is enforcement practice rather than the statute: the authority ran a compliance push on officers, processing registers and audit logs, and issued a deliberation treating images as personal data - both under a law whose own text the base does not hold.",DZA-gov.protect-law-18-07
gov.legislate--legislation-covering-digital-id,Advanced,A [digital-identity and trust-services law has been before the Assembly since 2 November 2025](2025-11-05 Algeria approves draft law on national digital ID and trust services); no promulgation is held.,"The law did not exist at the window's opening. It was [approved by the Council of Ministers on 2 November 2025 and is before the National Assembly](2025-11-05 Algeria approves draft law on national digital ID and trust services), [reported in the biometrics press](2025-11-10-digital-id-trust-services-draft-law--biometricupdate), [in the state daily](2025-12-01-projet-loi-services-confiance-numeriques-apn-elmoudjahid) and [as a digital-trust and electronic-transactions measure](2025-11-04-digital-trust-e-transactions-law--wearetech). No promulgation or gazette reference is held as at 2026-08-03.

Meanwhile a unified national digital identity is already issued and in use as a single credential across the government services portal, so the credential is running nine months ahead of the statute that would govern it.",DZA-dpi.id-trust-law
gov.legislate--ai-legislation-regulations,Advanced,"An [ethical-artificial-intelligence law is reported in preparation](2025-11-10-ai-ethics-legislation-in-preparation-echorouk), with no draft text, sponsor or timetable held.","Nothing existed at the window's opening. The law is [described as in preparation, with no draft text, sponsor or timetable held](2025-11-10-ai-ethics-legislation-in-preparation-echorouk) as at 2026-08-03.

That is nine months of a stated preparation with nothing published, against a national strategy whose deployment roadmap was agreed in the same period and a university assistant announced to steer module allocation and mark student answers from the 2026-2027 academic year. No rule, appeal route or disclosure duty governs any of it.",DZA-tech.ai-ethics-law
gov.legislate--e-commerce-legislation,No change,"[Law 18-05 is in force while most online selling runs through social-media pages outside its obligations](2026-08-04-algerie-commerce-electronique-cadre-reglementaire), cash on delivery dominant.","The law is [in force, and the great majority of online selling runs through social-media pages outside its obligations, with cash on delivery dominant](2026-08-04-algerie-commerce-electronique-cadre-reglementaire).

The assessment is named-analyst opinion from a consumer organisation rather than a state position; the law's own date and text are not held, and no enforcement action or compliance figure is on file. A statute whose scope most of the activity it governs sits outside, with no published enforcement, is the position - and the payment side matches it, with fewer than a tenth of merchants operating a card terminal.",DZA-gov.legislate-law-18-05-ecommerce
gov.protect--data-protection-authority,"Advanced, in activity rather than in enforcement",The authority [ruled that images are personal data](2026-07-15-anpdp-algeria-deliberation-04-images-plateformes-numeriques) and ran a compliance push; [no enforcement decision is held](2025-12-01-anpdp-data-conservation-law-compliance-elmoudjahid).,"The authority was operating with no enforcement decision held at the window's opening, and ran a [compliance push on officers, processing registers and audit logs from December 2025](2025-12-01-anpdp-data-conservation-law-compliance-elmoudjahid), [alongside the national police on digital-space data protection](2026-07-01-dgsn-digital-space-data-protection-elmoudjahid) and [under continental review](2026-06-23 Bimonthly Update on Privacy in Africa (January & February 2026)). Still no enforcement decision or penalty is held.

2026-07-15 - [deliberation no. 04 treats images as personal data; its article 6 holds that publishing images via platforms hosted, storing or processing data, or reachable, from outside the country is a transfer of data outside national territory, and its article 11 provides that it takes effect on publication on the Authority's own website with no gazette step](2026-07-15-anpdp-algeria-deliberation-04-images-plateformes-numeriques), [twelve members being named](2026-07-20-algerie-anpdp-regles-publication-images-plateformes).",DZA-gov.protect-anpdp|DZA-gov.protect-image-deliberation
gov.protect--national-data-protection-readiness,Advanced,"[Presidential Decree 26-07 requires security and data-protection structures in every public body](2026-01-18-algerie-jo-04-decret-presidentiel-26-07-securite-systemes-information), gazetted on 18 January 2026.","No such requirement was on record at the window's opening. The decree was [signed on 7 January 2026 and gazetted on 18 January](2026-01-18-algerie-jo-04-decret-presidentiel-26-07-securite-systemes-information), [reported as mandating security and data-protection structures in every public body](2026-01-23-decree-26-07-cybersecurity-data-protection-structures-echorouk).

Commencement is not established from the summary and the operative text is not held, so what a public body must actually stand up, by when, and to whom it answers is not checkable from anything on file. No count of bodies compliant, and no supervisory report, has followed it.",DZA-infra.cybersec-decree-26-07
