slug,title,publisher,author,published,date_precision,places,topics,entities,lens,body_completeness,finance,artefact,words,ingested,url
2026-08-31-arulos-e-doleances-plateforme-gestion-doleances,E-DOLÉANCES | Plateforme de gestion des doléances de l'ARULoS,Agence de Réhabilitation Urbaine et de Logement Social (ARULoS),,2026-08-31,day,DJI,include.access,arulos-djibouti,,full,False,,83,2026-09-01,https://www.doleances.arulos.dj/
2026-08-26-djibouti-numerique-emploi-diplomes-recruteurs-wearetech,"Face au chomage, Djibouti mise sur le numerique pour connecter diplomes et recruteurs",wearetech.africa,,2026-08-26,day,DJI,dpi.govtech; include.access; data.statistics,djibouti-emploi; ministere-travail-djibouti; world-bank,,full,False,,356,2026-08-26,https://www.wearetech.africa/fr/fils/actualites/tech/face-au-chomage-djibouti-mise-sur-le-numerique-pour-connecter-diplomes-et-recruteurs
2026-08-26-dji-intelligence-artificielle-ou-en-est-reellement-djibouti,Intelligence artificielle : ou en est reellement Djibouti ?,La Nation,,2026-08-26,day,DJI,tech.ai; gov.policy; infra.store,mdeni-djibouti; unesco; djibouti-digital-code; djibouti-port-community-systems,,full,False,,445,2026-08-27,https://www.lanation.dj/intelligence-artificielle-ou-en-est-reellement-djibouti/
2026-08-26-dji-forum-national-sur-l-ia-les-medias-reunis-pour-preparer-la-c,Forum national sur l'IA : les medias reunis pour preparer la couverture de l'evenement,ADI News,,2026-08-26,day,DJI,tech.ai; gov.policy,mdeni-djibouti; unesco; escwa,,full,False,,245,2026-08-27,https://www.adi.dj/article/138846
2026-08-24-dji-un-cadre-national-pour-transformer-le-carbone-en-opportunite,Un cadre national pour transformer le carbone en opportunite,La Nation,,2026-08-24,day,DJI,gov.policy; dpi.registry; dpi.exchange,ministere-environnement-djibouti; unfccc; agence-souveraine-carbone-djibouti,,full,False,,1000,2026-08-27,https://www.lanation.dj/un-cadre-national-pour-transformer-le-carbone-en-opportunite/
2026-08-20-intelligence-artificielle-jeunesse-djibouti,L'intelligence artificielle ouvre un nouveau champ pour la jeunesse,La Nation,,2026-08-20,day,DJI,tech.ai; capacity.training; tech.innovate,ministere-economie-numerique-innovation-djibouti; smart-solution-ai,,full,False,,890,2026-08-21,https://www.lanation.dj/lintelligence-artificielle-ouvre-un-nouveau-champ-pour-la-jeunesse/
2026-08-15-djibouti-ai-forum-interministerial-coordination,Djibouti intensifies preparations for National Artificial Intelligence Forum,TechReview Africa,,2026-08-15,day,DJI,gov.policy; tech.ai,mdeni-djibouti,,full,False,,126,2026-08-18,https://www.techreviewafrica.com/news/6777/djibouti-intensifies-preparations-for-national-artificial-intelligence-forum
2026-08-13-djibouti-ai-forum-sovereignty-snia-strategy,Premier Forum djiboutien sur l'intelligence artificielle : Un pari sur la souveraineté numérique,La Nation,,2026-08-13,day,DJI,gov.policy; tech.ai,mdeni-djibouti; unesco; escwa,sovereignty,full,False,,533,2026-08-18,https://www.lanation.dj/premier-forum-djiboutien-sur-lintelligence-artificielle-un-pari-sur-la-souverainete-numerique/
2026-08-06-scio-china-ai-global-south-africa,China empowers Global South nations through AI technology,State Council Information Office (China) / Xinhua,,2026-08-06,day,DJI; EGY,tech.ai; geopol.china,,sovereignty,full,False,,815,2026-08-11,http://english.scio.gov.cn/chinavoices/2026-08/06/content_118636471.html
2026-08-06-igad-capacity-building-programme-regional-statistical-systems-sdmx,IGAD Convenes Capacity-Building Programme to Strengthen Regional Statistical Systems Through SDMX,Intergovernmental Authority on Development (IGAD),,2026-08-06,day,XEA; DJI,gov.standards; dpi.exchange; data.statistics; gov.regional,igad; african-development-bank,,full,False,,531,2026-08-08,https://igad.int/igad-convenes-capacity-building-programme-to-strengthen-regional-statistical-systems-through-sdmx/
